Model,Holdout,bin,rows,fraud_rows,score_min,score_max,mean_score,observed_fraud_rate,abs_calibration_error
XGBoost[Raw],sampled,2,2008,0,5.720953595e-07,9.762183026e-07,7.666240348e-07,0.0,7.666240348e-07
XGBoost[Raw],sampled,3,2008,0,9.764576134e-07,1.47526282e-06,1.211870481e-06,0.0,1.211870481e-06
XGBoost[Raw],sampled,4,2008,0,1.475283966e-06,2.142497124e-06,1.787745551e-06,0.0,1.787745551e-06
XGBoost[Raw],sampled,5,2008,0,2.143527126e-06,3.101030416e-06,2.59372723e-06,0.0,2.59372723e-06
XGBoost[Raw],sampled,6,2007,0,3.101051107e-06,4.538169833e-06,3.767989863e-06,0.0,3.767989863e-06
XGBoost[Raw],sampled,7,2007,1,4.540385817e-06,7.079169336e-06,5.668659607e-06,0.000498256,0.000492587
XGBoost[Raw],sampled,8,2007,1,7.081795502e-06,1.253544542e-05,9.461081706e-06,0.000498256,0.000488795
XGBoost[Raw],sampled,9,2007,2,1.253706068e-05,3.109488534e-05,1.94183955e-05,0.000996512,0.000977094
XGBoost[Raw],sampled,10,2007,71,3.111390106e-05,0.999948859,0.028571845,0.035376183,0.006804338
XGBoost[Raw],full,1,5697,0,1.000000012e-07,5.648902288e-07,3.592519957e-07,0.0,3.592519957e-07
XGBoost[Raw],full,2,5697,0,5.649026207e-07,9.732307262e-07,7.62174835e-07,0.0,7.62174835e-07
XGBoost[Raw],full,3,5696,0,9.732677881e-07,1.479905791e-06,1.21134534e-06,0.0,1.21134534e-06
XGBoost[Raw],full,4,5696,0,1.479990487e-06,2.147969553e-06,1.794245289e-06,0.0,1.794245289e-06
XGBoost[Raw],full,5,5696,0,2.148071871e-06,3.123862143e-06,2.606054343e-06,0.0,2.606054343e-06
XGBoost[Raw],full,6,5696,0,3.12408838e-06,4.625134807e-06,3.820609619e-06,0.0,3.820609619e-06
XGBoost[Raw],full,7,5696,1,4.626114332e-06,7.243100299e-06,5.805500334e-06,0.000175562,0.000169756
XGBoost[Raw],full,8,5696,1,7.243238088e-06,1.25980896e-05,9.554368269e-06,0.000175562,0.000166007
XGBoost[Raw],full,9,5696,2,1.259886903e-05,3.040728916e-05,1.920054074e-05,0.000351124,0.000331923
XGBoost[Raw],full,10,5696,71,3.041523269e-05,0.999948859,0.010830957,0.012464888,0.00163393
XGBoost[Raw] Calibration Base,sampled,1,2008,0,1.000000012e-07,6.873227676e-07,4.050659183e-07,0.0,4.050659183e-07
XGBoost[Raw] Calibration Base,sampled,2,2008,0,6.875686154e-07,1.195739628e-06,9.426227046e-07,0.0,9.426227046e-07
XGBoost[Raw] Calibration Base,sampled,3,2008,0,1.195909476e-06,1.811892048e-06,1.497634116e-06,0.0,1.497634116e-06
XGBoost[Raw] Calibration Base,sampled,4,2008,0,1.812049504e-06,2.556243089e-06,2.182992659e-06,0.0,2.182992659e-06
XGBoost[Raw] Calibration Base,sampled,5,2008,0,2.559023869e-06,3.541658543e-06,3.0224226e-06,0.0,3.0224226e-06
XGBoost[Raw] Calibration Base,sampled,6,2007,1,3.543624871e-06,5.082413736e-06,4.241889751e-06,0.000498256,0.000494014
XGBoost[Raw] Calibration Base,sampled,7,2007,0,5.083611086e-06,7.743100468e-06,6.284433271e-06,0.0,6.284433271e-06
XGBoost[Raw] Calibration Base,sampled,8,2007,3,7.74525779e-06,1.318933573e-05,1.013373366e-05,0.001494768,0.001484635
XGBoost[Raw] Calibration Base,sampled,9,2007,2,1.319002604e-05,3.027748062e-05,1.978685543e-05,0.000996512,0.000976725
XGBoost[Raw] Calibration Base,sampled,10,2007,69,3.030105108e-05,0.999943733,0.028917517,0.034379671,0.005462154
XGBoost[Raw] Calibration Base,full,1,5697,0,1.000000012e-07,6.826403478e-07,4.023106173e-07,0.0,4.023106173e-07
XGBoost[Raw] Calibration Base,full,2,5697,0,6.826403478e-07,1.191563001e-06,9.391962436e-07,0.0,9.391962436e-07
XGBoost[Raw] Calibration Base,full,3,5696,0,1.191620868e-06,1.807406647e-06,1.493881359e-06,0.0,1.493881359e-06
XGBoost[Raw] Calibration Base,full,4,5696,0,1.807598096e-06,2.561279871e-06,2.174527135e-06,0.0,2.174527135e-06
XGBoost[Raw] Calibration Base,full,5,5696,0,2.561328529e-06,3.580041493e-06,3.03547833e-06,0.0,3.03547833e-06
XGBoost[Raw] Calibration Base,full,6,5696,1,3.580239763e-06,5.105790933e-06,4.278562944e-06,0.000175562,0.000171283
XGBoost[Raw] Calibration Base,full,7,5696,0,5.10688642e-06,7.83944779e-06,6.326283173e-06,0.0,6.326283173e-06
XGBoost[Raw] Calibration Base,full,8,5696,3,7.840046237e-06,1.32146306e-05,1.017137592e-05,0.000526685,0.000516514
