Model,Evaluation Window,Type,Value,Alerts,Precision,Recall
XGBoost[Raw all-history incumbent] Calibrated,holdout,target_recall,0.9,1013,0.32576505429417574,0.9016393442622951
XGBoost[Raw],holdout,top_rate,0.05,79,0.6708860759493671,0.1448087431693989
XGBoost[Raw],holdout,top_rate,0.1,158,0.620253164556962,0.2677595628415301
XGBoost[Raw],holdout,top_rate,0.2,315,0.49523809523809526,0.4262295081967213
XGBoost[Raw],holdout,top_rate,0.3,472,0.3940677966101695,0.5081967213114754
XGBoost[Raw],holdout,target_recall,0.5,430,0.4255813953488372,0.5
XGBoost[Raw],holdout,target_recall,0.7,722,0.3559556786703601,0.7021857923497268
XGBoost[Raw],holdout,target_recall,0.8,890,0.3292134831460674,0.8005464480874317
XGBoost[Raw],holdout,target_recall,0.9,1112,0.29676258992805754,0.9016393442622951
XGBoost[Raw] Calibration Base,holdout,top_rate,0.05,79,0.5949367088607594,0.1284153005464481
XGBoost[Raw] Calibration Base,holdout,top_rate,0.1,158,0.5949367088607594,0.2568306010928962
XGBoost[Raw] Calibration Base,holdout,top_rate,0.2,315,0.4793650793650794,0.412568306010929
XGBoost[Raw] Calibration Base,holdout,top_rate,0.3,472,0.3813559322033898,0.4918032786885246
XGBoost[Raw] Calibration Base,holdout,target_recall,0.5,476,0.38445378151260506,0.5
XGBoost[Raw] Calibration Base,holdout,target_recall,0.7,747,0.34404283801874164,0.7021857923497268
XGBoost[Raw] Calibration Base,holdout,target_recall,0.8,870,0.3367816091954023,0.8005464480874317
XGBoost[Raw] Calibration Base,holdout,target_recall,0.9,1142,0.28896672504378285,0.9016393442622951
XGBoost[Raw] Calibrated,holdout,top_rate,0.05,79,0.5949367088607594,0.1284153005464481
XGBoost[Raw] Calibrated,holdout,top_rate,0.1,158,0.5949367088607594,0.2568306010928962
XGBoost[Raw] Calibrated,holdout,top_rate,0.2,315,0.4793650793650794,0.412568306010929
XGBoost[Raw] Calibrated,holdout,top_rate,0.3,472,0.3813559322033898,0.4918032786885246
XGBoost[Raw] Calibrated,holdout,target_recall,0.5,476,0.38445378151260506,0.5
XGBoost[Raw] Calibrated,holdout,target_recall,0.7,747,0.34404283801874164,0.7021857923497268
XGBoost[Raw] Calibrated,holdout,target_recall,0.8,870,0.3367816091954023,0.8005464480874317
XGBoost[Raw] Calibrated,holdout,target_recall,0.9,1142,0.28896672504378285,0.9016393442622951
XGBoost[Raw + TabPFN embeddings],holdout,top_rate,0.05,79,0.759493670886076,0.16393442622950818
XGBoost[Raw + TabPFN embeddings],holdout,top_rate,0.1,158,0.6518987341772152,0.2814207650273224
XGBoost[Raw + TabPFN embeddings],holdout,top_rate,0.2,315,0.5238095238095238,0.45081967213114754
XGBoost[Raw + TabPFN embeddings],holdout,top_rate,0.3,472,0.4322033898305085,0.5573770491803278
XGBoost[Raw + TabPFN embeddings],holdout,target_recall,0.5,378,0.48412698412698413,0.5
XGBoost[Raw + TabPFN embeddings],holdout,target_recall,0.7,668,0.3847305389221557,0.7021857923497268
XGBoost[Raw + TabPFN embeddings],holdout,target_recall,0.8,833,0.3517406962785114,0.8005464480874317
XGBoost[Raw + TabPFN embeddings],holdout,target_recall,0.9,1157,0.28522039757994816,0.9016393442622951
XGBoost[Raw + TabPFN embeddings] Calibration Base,holdout,top_rate,0.05,79,0.7974683544303798,0.1721311475409836
XGBoost[Raw + TabPFN embeddings] Calibration Base,holdout,top_rate,0.1,158,0.689873417721519,0.2978142076502732
XGBoost[Raw + TabPFN embeddings] Calibration Base,holdout,top_rate,0.2,315,0.526984126984127,0.453551912568306
XGBoost[Raw + TabPFN embeddings] Calibration Base,holdout,top_rate,0.3,472,0.4300847457627119,0.5546448087431693
XGBoost[Raw + TabPFN embeddings] Calibration Base,holdout,target_recall,0.5,425,0.43058823529411766,0.5
XGBoost[Raw + TabPFN embeddings] Calibration Base,holdout,target_recall,0.7,638,0.40282131661442006,0.7021857923497268
XGBoost[Raw + TabPFN embeddings] Calibration Base,holdout,target_recall,0.8,849,0.3451118963486455,0.8005464480874317
XGBoost[Raw + TabPFN embeddings] Calibration Base,holdout,target_recall,0.9,1150,0.28695652173913044,0.9016393442622951
XGBoost[Raw + TabPFN embeddings] Calibrated,holdout,top_rate,0.05,79,0.7974683544303798,0.1721311475409836
XGBoost[Raw + TabPFN embeddings] Calibrated,holdout,top_rate,0.1,158,0.689873417721519,0.2978142076502732
XGBoost[Raw + TabPFN embeddings] Calibrated,holdout,top_rate,0.2,315,0.526984126984127,0.453551912568306
