Model,Primary Target Quantile,Sensitivity Target Quantile,Sensitivity Threshold,Holdout High Vol Rows,Holdout High Vol Rate,Average Precision,ROC AUC,Top 20% Alerts,Top 20% Precision,Top 20% Recall,Alerts for 80% Recall,Precision at 80% Recall,Actual Recall at 80% Target,Refit Policy
Rule[SPY Parkinson realized volatility 20d],0.8,0.9,0.2745066089938816,157,0.09993634627625717,0.45031995329156194,0.8417643402192811,315,0.3396825396825397,0.6815286624203821,459,0.27450980392156865,0.802547770700637,no refit; same trained scores evaluated against alternate pre-holdout thresholds
Rule[SPY Garman-Klass realized volatility 20d],0.8,0.9,0.2745066089938816,157,0.09993634627625717,0.44568812874939523,0.8290525139866125,315,0.3142857142857143,0.6305732484076433,530,0.23773584905660378,0.802547770700637,no refit; same trained scores evaluated against alternate pre-holdout thresholds
Rule[VIX close],0.8,0.9,0.2745066089938816,157,0.09993634627625717,0.4536906123696719,0.8165704195533293,315,0.3142857142857143,0.6305732484076433,553,0.22784810126582278,0.802547770700637,no refit; same trained scores evaluated against alternate pre-holdout thresholds
Rule[VIX z-score 252d],0.8,0.9,0.2745066089938816,157,0.09993634627625717,0.4401595771772065,0.8710934332741735,315,0.3142857142857143,0.6305732484076433,465,0.2709677419354839,0.802547770700637,no refit; same trained scores evaluated against alternate pre-holdout thresholds
Rule[VIX/realized volatility gap 20d],0.8,0.9,0.2745066089938816,157,0.09993634627625717,0.07891041913898168,0.3504445985999874,315,0.06031746031746032,0.12101910828025478,1494,0.08433734939759036,0.802547770700637,no refit; same trained scores evaluated against alternate pre-holdout thresholds
XGBoost[Raw all-history incumbent],0.8,0.9,0.2745066089938816,157,0.09993634627625717,0.3882286580485979,0.8543815710051443,315,0.37142857142857144,0.7452229299363057,354,0.3559322033898305,0.802547770700637,no refit; same trained scores evaluated against alternate pre-holdout thresholds
XGBoost[Raw],0.8,0.9,0.2745066089938816,157,0.09993634627625717,0.32440073917888634,0.8190749466211407,315,0.3142857142857143,0.6305732484076433,562,0.22419928825622776,0.802547770700637,no refit; same trained scores evaluated against alternate pre-holdout thresholds
XGBoost[Raw + TabPFN embeddings],0.8,0.9,0.2745066089938816,157,0.09993634627625717,0.38844200601471557,0.8009711799205399,315,0.32063492063492066,0.643312101910828,553,0.22784810126582278,0.802547770700637,no refit; same trained scores evaluated against alternate pre-holdout thresholds
XGBoost[Raw + TabICL embeddings],0.8,0.9,0.2745066089938816,157,0.09993634627625717,0.4311073778893471,0.821223614627159,315,0.3238095238095238,0.6496815286624203,526,0.23954372623574144,0.802547770700637,no refit; same trained scores evaluated against alternate pre-holdout thresholds
TabPFN[Direct all-history],0.8,0.9,0.2745066089938816,157,0.09993634627625717,0.4675755154296147,0.8482711555959964,315,0.3746031746031746,0.7515923566878981,361,0.3490304709141274,0.802547770700637,no refit; same trained scores evaluated against alternate pre-holdout thresholds
TabICL[Direct all-history],0.8,0.9,0.2745066089938816,157,0.09993634627625717,0.5000631588098524,0.8607104568509626,315,0.3492063492063492,0.7006369426751592,394,0.3197969543147208,0.802547770700637,no refit; same trained scores evaluated against alternate pre-holdout thresholds
