Model,Evaluation Window,bin,rows,high_vol_rows,score_min,score_max,mean_score,observed_high_vol_rate,abs_calibration_error
XGBoost[Raw + TabPFN embeddings] Calibrated,calibration,2,51,12,0.21312737541105492,0.21424731749964743,0.21374888606204046,0.23529411764705882,0.021545231585018365
XGBoost[Raw + TabPFN embeddings] Calibrated,calibration,3,51,2,0.21426614060828347,0.2148086518389599,0.21450811665510927,0.0392156862745098,0.17529243038059947
XGBoost[Raw + TabPFN embeddings] Calibrated,calibration,4,50,0,0.2148205851804723,0.21517717008609302,0.2150129491212456,0.0,0.2150129491212456
XGBoost[Raw + TabPFN embeddings] Calibrated,calibration,5,50,4,0.21518804258588334,0.21562541322272757,0.21540417550250063,0.08,0.1354041755025006
XGBoost[Raw + TabPFN embeddings] Calibrated,calibration,6,50,6,0.21562780307408158,0.21622138030477336,0.21587628403500392,0.12,0.09587628403500392
XGBoost[Raw + TabPFN embeddings] Calibrated,calibration,7,50,8,0.2162422947928801,0.21718509629794241,0.2167325519553219,0.16,0.0567325519553219
XGBoost[Raw + TabPFN embeddings] Calibrated,calibration,8,50,12,0.21718614444259138,0.21876426513408243,0.217836458496612,0.24,0.02216354150338798
XGBoost[Raw + TabPFN embeddings] Calibrated,calibration,9,50,12,0.21877214411827794,0.22536976545617066,0.22103321016442984,0.24,0.018966789835570153
XGBoost[Raw + TabPFN embeddings] Calibrated,calibration,10,50,23,0.225391758542456,0.5106329708240355,0.2841796770280851,0.46,0.1758203229719149
XGBoost[Raw + TabPFN embeddings] Calibrated,holdout,1,158,17,0.21302875577022343,0.21370833435352515,0.2132932904171379,0.10759493670886076,0.10569835370827714
XGBoost[Raw + TabPFN embeddings] Calibrated,holdout,2,157,7,0.21370948962838227,0.2143523734920615,0.21402028749582835,0.044585987261146494,0.16943430023468187
XGBoost[Raw + TabPFN embeddings] Calibrated,holdout,3,157,23,0.21435711282392206,0.21615724496765404,0.2149266663029214,0.1464968152866242,0.0684298510162972
XGBoost[Raw + TabPFN embeddings] Calibrated,holdout,4,157,11,0.21622504873302203,0.22331541515531395,0.21972442160494013,0.07006369426751592,0.1496607273374242
XGBoost[Raw + TabPFN embeddings] Calibrated,holdout,5,157,23,0.22337171658901586,0.23089621702331922,0.226969431180945,0.1464968152866242,0.08047261589432081
XGBoost[Raw + TabPFN embeddings] Calibrated,holdout,6,157,31,0.23090827037649062,0.2393102547146902,0.23474228517505635,0.19745222929936307,0.037290055875693284
XGBoost[Raw + TabPFN embeddings] Calibrated,holdout,7,157,52,0.2393178524070302,0.2680839330269011,0.25147805391310474,0.33121019108280253,0.07973213716969779
XGBoost[Raw + TabPFN embeddings] Calibrated,holdout,8,157,36,0.26809249477443065,0.30969641262768344,0.290113411103271,0.22929936305732485,0.060814048045946145
XGBoost[Raw + TabPFN embeddings] Calibrated,holdout,9,157,57,0.3097168048980563,0.4006553415429012,0.3460972844730761,0.3630573248407643,0.016960040367688223
XGBoost[Raw + TabPFN embeddings] Calibrated,holdout,10,157,109,0.40186280713310507,0.7286127023226272,0.540075821838414,0.6942675159235668,0.15419169408515288
XGBoost[Raw + TabICL embeddings],holdout,1,158,7,0.0001074056708603166,0.0011821812950074673,0.0006019653642570004,0.04430379746835443,0.04370183210409743
XGBoost[Raw + TabICL embeddings],holdout,2,157,13,0.0011830385774374008,0.002970207715407014,0.0019469089163941847,0.08280254777070063,0.08085563885430645
XGBoost[Raw + TabICL embeddings],holdout,3,157,13,0.002975012641400099,0.007161235902458429,0.004653085371669216,0.08280254777070063,0.07814946239903142
XGBoost[Raw + TabICL embeddings],holdout,4,157,27,0.007183455396443605,0.013745332136750221,0.010544029405565968,0.17197452229299362,0.16143049288742764
XGBoost[Raw + TabICL embeddings],holdout,5,157,25,0.01376169640570879,0.02471848577260971,0.019157464443972917,0.1592356687898089,0.14007820434583598
XGBoost[Raw + TabICL embeddings],holdout,6,157,36,0.024823350831866264,0.04640864580869675,0.03411019134341152,0.22929936305732485,0.1951891717139133
XGBoost[Raw + TabICL embeddings],holdout,7,157,38,0.04642867669463158,0.08471716940402985,0.06483538180684588,0.24203821656050956,0.17720283475366366
XGBoost[Raw + TabICL embeddings],holdout,8,157,45,0.0847451463341713,0.15938958525657654,0.1178699455633285,0.28662420382165604,0.16875425825832754
XGBoost[Raw + TabICL embeddings],holdout,9,157,63,0.16006968915462494,0.37971580028533936,0.24477212785915203,0.4012738853503185,0.15650175749116646
XGBoost[Raw + TabICL embeddings],holdout,10,157,99,0.3797191381454468,0.9970014691352844,0.7491562842943107,0.6305732484076433,0.11858303588666741
XGBoost[Raw + TabICL embeddings] Calibration Base,calibration,1,51,16,3.826427200692706e-05,5.376026820158586e-05,4.8394340553261594e-05,0.3137254901960784,0.31367709585552517
XGBoost[Raw + TabICL embeddings] Calibration Base,calibration,2,51,11,5.3767391364090145e-05,6.637638580286875e-05,5.9613585357974264e-05,0.21568627450980393,0.21562666092444596
XGBoost[Raw + TabICL embeddings] Calibration Base,calibration,3,51,11,6.726584979332983e-05,8.235505083575845e-05,7.483716078294332e-05,0.21568627450980393,0.215611437349021
XGBoost[Raw + TabICL embeddings] Calibration Base,calibration,4,50,3,8.423715917160735e-05,0.00010224875586573035,9.386484380229377e-05,0.06,0.05990613515619771
XGBoost[Raw + TabICL embeddings] Calibration Base,calibration,5,50,8,0.00010230277985101566,0.00012648240954149514,0.00011238188511924818,0.16,0.15988761811488075
XGBoost[Raw + TabICL embeddings] Calibration Base,calibration,6,50,7,0.00012862436415161937,0.00015512312529608607,0.0001412785003776662,0.14,0.13985872149962233
XGBoost[Raw + TabICL embeddings] Calibration Base,calibration,7,50,8,0.0001558891381137073,0.00020635005785152316,0.0001823473643162288,0.16,0.1598176526356838
XGBoost[Raw + TabICL embeddings] Calibration Base,calibration,8,50,8,0.00020678256987594068,0.0003204628883395344,0.00025653228542068976,0.16,0.1597434677145793
XGBoost[Raw + TabICL embeddings] Calibration Base,calibration,9,50,23,0.0003205163520760834,0.0007226965390145779,0.0004854346317006275,0.46,0.4595145653682994
XGBoost[Raw + TabICL embeddings] Calibration Base,calibration,10,50,17,0.0007357028662227094,0.4080456793308258,0.01640918474178761,0.34,0.3235908152582124
XGBoost[Raw + TabICL embeddings] Calibration Base,holdout,1,158,9,5.444728958536871e-05,0.0001206907254527323,9.679926020171363e-05,0.056962025316455694,0.05686522605625398
XGBoost[Raw + TabICL embeddings] Calibration Base,holdout,2,157,16,0.00012085885828128085,0.00021141859178896993,0.00016417152671533442,0.10191082802547771,0.10174665649876238
XGBoost[Raw + TabICL embeddings] Calibration Base,holdout,3,157,8,0.00021239668421912938,0.00034982842043973505,0.0002761762160073764,0.050955414012738856,0.05067923779673148
XGBoost[Raw + TabICL embeddings] Calibration Base,holdout,4,157,31,0.0003506387583911419,0.0008729399996809661,0.0005544772826559296,0.19745222929936307,0.19689775201670714
XGBoost[Raw + TabICL embeddings] Calibration Base,holdout,5,157,43,0.0008846838609315455,0.0021664886735379696,0.0014980764711827372,0.27388535031847133,0.2723872738472886
