Model,Evaluation Window,month,rows,top_k,spearman_ic,top_k_hit_rate,selected_mean_forward_return,universe_mean_forward_return,active_forward_return
Rule[12M momentum top-k],calibration,2019-03,25,5,0.06999999999999999,0.4,0.023076444938566264,0.015699569081849492,0.007376875856716772
Rule[12M momentum top-k],calibration,2019-04,25,5,-0.04230769230769231,0.0,-0.03605582575900908,-0.03643853479490926,0.00038270903590018057
Rule[12M momentum top-k],calibration,2019-05,25,5,-0.5146153846153847,0.0,0.026267602161424188,0.060205479334550116,-0.03393787717312593
Rule[12M momentum top-k],calibration,2019-06,25,5,0.5115384615384615,0.6,0.0037691061016878135,-0.0011611816915096807,0.004930287793197494
Rule[12M momentum top-k],calibration,2019-07,25,5,0.71,0.4,0.03739796160617963,0.002745316719926154,0.03465264488625348
Rule[12M momentum top-k],calibration,2019-08,25,5,-0.6938461538461538,0.2,-0.023291474215029175,0.014529138597561114,-0.03782061281259029
Rule[12M momentum top-k],calibration,2019-09,25,5,-0.2823076923076923,0.0,0.009858161719037018,0.018755393553232396,-0.008897231834195378
Rule[12M momentum top-k],calibration,2019-10,25,5,-0.3569230769230769,0.2,-0.016292105639710886,0.007860201265886428,-0.024152306905597314
Rule[12M momentum top-k],calibration,2019-11,25,5,-0.09461538461538462,0.2,0.03104874222163001,0.03226637546180773,-0.0012176332401777207
Rule[12M momentum top-k],calibration,2019-12,25,5,0.17384615384615384,0.2,0.005713440000807113,-0.007595580649954013,0.013309020650761127
Rule[12M momentum top-k],holdout,2020-01,25,5,-0.03153846153846154,0.2,-0.04290960744964334,-0.054048529927951616,0.011138922478308277
Rule[12M momentum top-k],holdout,2020-02,25,5,0.6938461538461538,0.6,-0.04808878485535091,-0.144853973591291,0.0967651887359401
Rule[12M momentum top-k],holdout,2020-03,25,5,-0.39307692307692305,0.0,0.05297360794739776,0.10528199762534535,-0.052308389677947584
Rule[12M momentum top-k],holdout,2020-04,25,5,-0.4107692307692308,0.2,0.03483895564934281,0.05812332666708572,-0.023284371017742916
Rule[12M momentum top-k],holdout,2020-05,25,5,0.016923076923076923,0.4,0.036442732578484224,0.019992684806599163,0.01645004777188506
Rule[12M momentum top-k],holdout,2020-06,25,5,0.40230769230769226,0.6,0.12582939734443901,0.05777398842837513,0.06805540891606388
Rule[12M momentum top-k],holdout,2020-07,25,5,0.24769230769230768,0.6,0.07497744395618126,0.036529742066458,0.03844770188972326
Rule[12M momentum top-k],holdout,2020-08,25,5,-0.15307692307692308,0.0,-0.06653633895117506,-0.027170320929438132,-0.03936601802173692
Rule[12M momentum top-k],holdout,2020-09,25,5,-0.18384615384615385,0.2,-0.02211284401256288,-0.01036528349849676,-0.01174756051406612
Rule[12M momentum top-k],holdout,2020-10,25,5,-0.4330769230769231,0.0,0.052185595733658816,0.08653827865221966,-0.03435268291856085
Rule[12M momentum top-k],holdout,2020-11,25,5,0.2823076923076923,0.2,0.060260658834342354,0.034227788499490146,0.026032870334852208
Rule[12M momentum top-k],holdout,2020-12,25,5,-0.019999999999999997,0.2,0.013921728540950284,0.0018480658552711394,0.012073662685679144
Rule[12M momentum top-k],holdout,2021-01,25,5,-0.29384615384615387,0.2,-0.0018816080158305937,0.018249915477434556,-0.02013152349326515
Rule[12M momentum top-k],holdout,2021-02,25,5,0.019999999999999997,0.2,0.00048521469138540496,0.02019939166907704,-0.019714176977691636
Rule[12M momentum top-k],holdout,2021-03,25,5,0.39,0.2,0.04666199565150801,0.03918020186283756,0.007481793788670449
Rule[12M momentum top-k],holdout,2021-04,25,5,0.30153846153846153,0.6,0.04497710514481854,0.019048183223282264,0.02592892192153628
Rule[12M momentum top-k],holdout,2021-05,25,5,-0.1376923076923077,0.2,-0.013762341553709923,0.003434835956347926,-0.017197177510057848
Rule[12M momentum top-k],holdout,2021-06,25,5,-0.40076923076923077,0.0,-0.028136255777903706,0.009919235951926942,-0.03805549172983065
Rule[12M momentum top-k],holdout,2021-07,25,5,0.4146153846153846,0.4,0.017098692717198927,0.010399580419744958,0.0066991122974539696
Rule[12M momentum top-k],holdout,2021-08,25,5,-0.03153846153846154,0.4,0.010641479829258782,-0.029154407226359143,0.03979588705561793
Rule[12M momentum top-k],holdout,2021-09,25,5,0.6792307692307692,0.4,0.0709916994346071,0.04854006477878721,0.022451634655819896
Rule[12M momentum top-k],holdout,2021-10,25,5,-0.3484615384615385,0.0,-0.04142365472325227,-0.011524008669717421,-0.029899646053534845
Rule[12M momentum top-k],holdout,2021-11,25,5,0.41923076923076924,0.0,0.021264424375540124,0.030873413268752748,-0.009608988893212624
Rule[12M momentum top-k],holdout,2021-12,25,5,-0.31999999999999995,0.4,0.016042116258338734,-0.028729881341377026,0.04477199759971576
Rule[12M momentum top-k],holdout,2022-01,25,5,-0.12538461538461537,0.4,0.016768950341850865,-0.0089694777050356,0.025738428046886464
Rule[12M momentum top-k],holdout,2022-02,25,5,0.7192307692307691,0.6,0.06048867565603797,0.025654971260474682,0.03483370439556329
Rule[12M momentum top-k],holdout,2022-03,25,5,0.31076923076923074,0.4,-0.02261412365397155,-0.05953558665035613,0.03692146299638458
