month,asset,weight,Strategy
2026-02,HYG,0.04,Equal weight universe
2026-03,HYG,0.04,Equal weight universe
2020-01,IEF,0.04,Equal weight universe
2020-02,IEF,0.04,Equal weight universe
2020-03,IEF,0.04,Equal weight universe
2020-04,IEF,0.04,Equal weight universe
2020-05,IEF,0.04,Equal weight universe
2020-06,IEF,0.04,Equal weight universe
2020-07,IEF,0.04,Equal weight universe
2020-08,IEF,0.04,Equal weight universe
2020-09,IEF,0.04,Equal weight universe
2020-10,IEF,0.04,Equal weight universe
2020-11,IEF,0.04,Equal weight universe
2020-12,IEF,0.04,Equal weight universe
2021-01,IEF,0.04,Equal weight universe
2021-02,IEF,0.04,Equal weight universe
2021-03,IEF,0.04,Equal weight universe
2021-04,IEF,0.04,Equal weight universe
2021-05,IEF,0.04,Equal weight universe
2021-06,IEF,0.04,Equal weight universe
2021-07,IEF,0.04,Equal weight universe
2021-08,IEF,0.04,Equal weight universe
2021-09,IEF,0.04,Equal weight universe
2021-10,IEF,0.04,Equal weight universe
2021-11,IEF,0.04,Equal weight universe
2021-12,IEF,0.04,Equal weight universe
2022-01,IEF,0.04,Equal weight universe
2022-02,IEF,0.04,Equal weight universe
2022-03,IEF,0.04,Equal weight universe
2022-04,IEF,0.04,Equal weight universe
2022-05,IEF,0.04,Equal weight universe
2022-06,IEF,0.04,Equal weight universe
2022-07,IEF,0.04,Equal weight universe
2022-08,IEF,0.04,Equal weight universe
2022-09,IEF,0.04,Equal weight universe
2022-10,IEF,0.04,Equal weight universe
2022-11,IEF,0.04,Equal weight universe
2022-12,IEF,0.04,Equal weight universe
2023-01,IEF,0.04,Equal weight universe
2023-02,IEF,0.04,Equal weight universe
2023-03,IEF,0.04,Equal weight universe
2023-04,IEF,0.04,Equal weight universe
2023-05,IEF,0.04,Equal weight universe
2023-06,IEF,0.04,Equal weight universe
2023-07,IEF,0.04,Equal weight universe
2023-08,IEF,0.04,Equal weight universe
2023-09,IEF,0.04,Equal weight universe
2023-10,IEF,0.04,Equal weight universe
2023-11,IEF,0.04,Equal weight universe
2023-12,IEF,0.04,Equal weight universe
2024-01,IEF,0.04,Equal weight universe
2024-02,IEF,0.04,Equal weight universe
2024-03,IEF,0.04,Equal weight universe
2024-04,IEF,0.04,Equal weight universe
2024-05,IEF,0.04,Equal weight universe
2024-06,IEF,0.04,Equal weight universe
2024-07,IEF,0.04,Equal weight universe
2024-08,IEF,0.04,Equal weight universe
2024-09,IEF,0.04,Equal weight universe
2024-10,IEF,0.04,Equal weight universe
2024-11,IEF,0.04,Equal weight universe
2024-12,IEF,0.04,Equal weight universe
2025-01,IEF,0.04,Equal weight universe
2025-02,IEF,0.04,Equal weight universe
2025-03,IEF,0.04,Equal weight universe
2025-04,IEF,0.04,Equal weight universe
2025-05,IEF,0.04,Equal weight universe
2025-06,IEF,0.04,Equal weight universe
2025-07,IEF,0.04,Equal weight universe
2025-08,IEF,0.04,Equal weight universe
2025-09,IEF,0.04,Equal weight universe
