Model,Score Decile High to Low,Rows,High Vol Rows,Observed High Vol Rate,Score Min,Score Max,Score Mean
Rule[SPY Garman-Klass realized volatility 20d],9,157,8,0.050955414012738856,0.07423915904122332,0.08111196388584554,0.07786880254062861
Rule[SPY Garman-Klass realized volatility 20d],10,157,6,0.03821656050955414,0.05526495134866337,0.07416784914621845,0.06937679041458862
Rule[VIX close],1,158,113,0.7151898734177216,29.65,82.69,37.64518987341773
Rule[VIX close],2,157,90,0.5732484076433121,25.7,29.62,27.443694267515923
Rule[VIX close],3,157,50,0.3184713375796178,22.83,25.69,24.153949044585985
Rule[VIX close],4,157,42,0.267515923566879,20.87,22.82,21.84808917197452
Rule[VIX close],5,157,27,0.17197452229299362,19.08,20.87,19.943248407643306
Rule[VIX close],6,157,13,0.08280254777070063,17.61,19.08,18.314203821656047
Rule[VIX close],7,157,5,0.03184713375796178,16.43,17.61,16.996751592356688
Rule[VIX close],8,157,9,0.05732484076433121,15.29,16.43,15.937261146496812
Rule[VIX close],9,157,11,0.07006369426751592,13.76,15.29,14.529426751592355
Rule[VIX close],10,157,6,0.03821656050955414,11.86,13.75,12.960063694267516
Rule[VIX z-score 252d],1,158,106,0.6708860759493671,1.519122240001982,8.90796360225953,2.925082733100942
Rule[VIX z-score 252d],2,157,76,0.4840764331210191,0.7979811080403534,1.5117076936656277,1.114400764287566
Rule[VIX z-score 252d],3,157,61,0.3885350318471338,0.3241480860806461,0.7974651870582198,0.5314888507956915
Rule[VIX z-score 252d],4,157,53,0.3375796178343949,0.0026046604578961984,0.3214008258484674,0.1423726694702885
Rule[VIX z-score 252d],5,157,39,0.2484076433121019,-0.2832411882389555,0.002247265877754795,-0.14001844043462996
Rule[VIX z-score 252d],6,157,14,0.08917197452229299,-0.5339984215347511,-0.28523808710169324,-0.4219606335213318
Rule[VIX z-score 252d],7,157,11,0.07006369426751592,-0.7542105893751556,-0.535166478660064,-0.643344897707905
Rule[VIX z-score 252d],8,157,4,0.025477707006369428,-1.0434486937835086,-0.7557585525551695,-0.895753854132282
Rule[VIX z-score 252d],9,157,2,0.012738853503184714,-1.3835713814819206,-1.0436749700392722,-1.2016372451196655
Rule[VIX z-score 252d],10,157,0,0.0,-2.0558380737938435,-1.385974476572617,-1.6065862637945412
