Model,Evaluation Window,bin,rows,observed_rate,mean_predicted_probability,score_min,score_max
XGBoost[GPU allocation scorer] Calibration Base,holdout,"(0.368, 0.377]",68,0.4117647058823529,0.3719765850726296,0.3675262928009033,0.3765832781791687
XGBoost[GPU allocation scorer] Calibration Base,holdout,"(0.377, 0.391]",67,0.47761194029850745,0.3831432746417487,0.3766321837902069,0.39110755920410156
XGBoost[GPU allocation scorer] Calibration Base,holdout,"(0.391, 0.422]",68,0.38235294117647056,0.40389471676419764,0.3914797008037567,0.421552836894989
XGBoost[GPU allocation scorer] Calibrated,calibration,"(0.245, 0.261]",22,0.2727272727272727,0.2536830114857315,0.24645023127520352,0.26124782993911994
XGBoost[GPU allocation scorer] Calibrated,calibration,"(0.261, 0.276]",22,0.18181818181818182,0.26766351338715544,0.261690115527314,0.27558092619450486
XGBoost[GPU allocation scorer] Calibrated,calibration,"(0.276, 0.297]",21,0.38095238095238093,0.2848409830010012,0.2761783919466397,0.29708878813821293
XGBoost[GPU allocation scorer] Calibrated,calibration,"(0.297, 0.313]",22,0.3181818181818182,0.3056669250082659,0.2975797516030139,0.3133063946114267
XGBoost[GPU allocation scorer] Calibrated,calibration,"(0.313, 0.329]",21,0.19047619047619047,0.3198773371283385,0.31334438052756075,0.3282081092688966
XGBoost[GPU allocation scorer] Calibrated,calibration,"(0.329, 0.344]",22,0.45454545454545453,0.33675350204378174,0.32895629859572484,0.34396568526832433
XGBoost[GPU allocation scorer] Calibrated,calibration,"(0.344, 0.374]",21,0.3333333333333333,0.361757134167593,0.3452732271149205,0.37366607827186255
XGBoost[GPU allocation scorer] Calibrated,calibration,"(0.374, 0.39]",22,0.36363636363636365,0.3821026890691164,0.37373464758859015,0.3904964104286358
XGBoost[GPU allocation scorer] Calibrated,calibration,"(0.39, 0.41]",21,0.2857142857142857,0.3987535009627453,0.3913706201762591,0.4099963009557139
XGBoost[GPU allocation scorer] Calibrated,calibration,"(0.41, 0.445]",22,0.5454545454545454,0.4246155243854848,0.41031144563533883,0.4448810051513124
XGBoost[GPU allocation scorer] Calibrated,holdout,"(0.241, 0.258]",68,0.25,0.2505594959380013,0.24169446115802465,0.2577613171303001
XGBoost[GPU allocation scorer] Calibrated,holdout,"(0.258, 0.29]",67,0.23880597014925373,0.2737844227425388,0.2583505302644665,0.28929655505933227
XGBoost[GPU allocation scorer] Calibrated,holdout,"(0.29, 0.303]",68,0.25,0.29594482136633044,0.28981463702730215,0.3029087596409987
XGBoost[GPU allocation scorer] Calibrated,holdout,"(0.303, 0.315]",67,0.29850746268656714,0.30870014142542657,0.3029764216622063,0.3148876879841159
XGBoost[GPU allocation scorer] Calibrated,holdout,"(0.315, 0.333]",68,0.2647058823529412,0.3224134308579197,0.31491489941867323,0.333334757615047
XGBoost[GPU allocation scorer] Calibrated,holdout,"(0.333, 0.363]",67,0.40298507462686567,0.34971198926575475,0.33353894359859504,0.3633589727120802
XGBoost[GPU allocation scorer] Calibrated,holdout,"(0.363, 0.376]",67,0.3582089552238806,0.3700844350525682,0.36353387995445946,0.37570662043824143
XGBoost[GPU allocation scorer] Calibrated,holdout,"(0.376, 0.387]",68,0.4117647058823529,0.38125716647146274,0.37583447815694376,0.3868893791101732
XGBoost[GPU allocation scorer] Calibrated,holdout,"(0.387, 0.405]",67,0.47761194029850745,0.3949821067636739,0.386949402041073,0.40485912518719036
XGBoost[GPU allocation scorer] Calibrated,holdout,"(0.405, 0.443]",68,0.38235294117647056,0.42092112380215374,0.4053231399475086,0.4433104817301672
TabPFN[Direct allocation scorer],holdout,"(0.102, 0.177]",68,0.22058823529411764,0.13013994540361798,0.10264860093593597,0.1746031790971756
TabPFN[Direct allocation scorer],holdout,"(0.177, 0.241]",67,0.26865671641791045,0.21145547637298925,0.1794871836900711,0.24062995612621307
TabPFN[Direct allocation scorer],holdout,"(0.241, 0.323]",68,0.3382352941176471,0.2817772019873647,0.2410256415605545,0.32275390625
TabPFN[Direct allocation scorer],holdout,"(0.323, 0.339]",69,0.2898550724637681,0.3339560826619466,0.3232421875,0.33935546875
TabPFN[Direct allocation scorer],holdout,"(0.339, 0.347]",67,0.2835820895522388,0.34355335004294096,0.33968254923820496,0.34716796875
TabPFN[Direct allocation scorer],holdout,"(0.347, 0.355]",69,0.391304347826087,0.3518672127654587,0.34781548380851746,0.35546875
TabPFN[Direct allocation scorer],holdout,"(0.355, 0.365]",64,0.296875,0.3594816136173904,0.35562607645988464,0.3641025722026825
TabPFN[Direct allocation scorer],holdout,"(0.365, 0.372]",72,0.3888888888888889,0.368278945899672,0.36474609375,0.37158203125
TabPFN[Direct allocation scorer],holdout,"(0.372, 0.423]",63,0.3492063492063492,0.38166630551928565,0.37173542380332947,0.42236328125
TabPFN[Direct allocation scorer],holdout,"(0.423, 0.479]",68,0.5,0.44711558739928636,0.42333984375,0.47900390625
TabPFN[Direct allocation scorer] Calibration Base,calibration,"(0.0663, 0.125]",22,0.2727272727272727,0.09729421985420314,0.0673258900642395,0.12228459864854813
TabPFN[Direct allocation scorer] Calibration Base,calibration,"(0.125, 0.205]",22,0.09090909090909091,0.15232883461497046,0.12744140625,0.20488400757312775
TabPFN[Direct allocation scorer] Calibration Base,calibration,"(0.205, 0.334]",21,0.42857142857142855,0.27148279263859704,0.20663981139659882,0.3321942985057831
TabPFN[Direct allocation scorer] Calibration Base,calibration,"(0.334, 0.354]",22,0.4090909090909091,0.3467910276217894,0.33544921875,0.3544921875
TabPFN[Direct allocation scorer] Calibration Base,calibration,"(0.354, 0.362]",24,0.3333333333333333,0.3594890125095844,0.35464975237846375,0.36246034502983093
TabPFN[Direct allocation scorer] Calibration Base,calibration,"(0.362, 0.367]",19,0.2631578947368421,0.36467134638836507,0.36279296875,0.36669921875
TabPFN[Direct allocation scorer] Calibration Base,calibration,"(0.367, 0.37]",21,0.3333333333333333,0.3684760956537156,0.36687836050987244,0.3701171875
TabPFN[Direct allocation scorer] Calibration Base,calibration,"(0.37, 0.375]",22,0.22727272727272727,0.3729745867577466,0.37045177817344666,0.37548828125
