month,Equal weight universe,SPY only,60/40 SPY/TLT,Inverse volatility universe,12M momentum top-k portfolio,Low volatility top-k portfolio,Rule[12M momentum top-k],Rule[6M momentum top-k],Rule[Low volatility top-k],Rule[Risk-adjusted momentum top-k],TabICL[Direct allocation scorer],TabICL[Direct allocation scorer] Calibration Base,TabPFN[Direct allocation scorer],TabPFN[Direct allocation scorer] Calibration Base,XGBoost[GPU allocation scorer],XGBoost[GPU allocation scorer] Calibrated,XGBoost[GPU allocation scorer] Calibration Base
2020-11,0.038469961784894126,0.03704818077515437,0.017318333056370382,0.02345282569999314,0.0631524939312048,0.00163956155620515,0.0631524939312048,0.06892781568135715,0.00163956155620515,0.06892781568135715,0.037471063022269546,0.05427652872962059,0.05427652872962059,0.04888653335877309,0.05427652872962059,0.06859448234802382,0.06859448234802382
2020-12,-0.001144105328046071,-0.010190483229902014,-0.020645435003332848,-0.005431555336204405,0.005943412635318427,-0.017009929456377616,0.005943412635318427,0.02760276442466384,-0.017009929456377616,0.02760276442466384,-0.013604951996478744,0.013292641519668542,0.017140536014829563,0.027269431091330506,0.005943412635318427,0.016807202681496228,0.016807202681496228
2021-01,-0.0017057193534726458,0.027805565577667446,-0.006248416209254298,-0.008351860775824225,0.022523047311030307,-0.027802882096316095,0.022523047311030307,0.02285638064436364,-0.027802882096316095,0.02285638064436364,0.01990724050102325,0.01990724050102325,0.031647295060019356,0.02285638064436364,0.031313961726686025,0.022523047311030307,0.022523047311030307
2021-02,0.005021291228659636,0.04539930027367478,0.006258337472171013,0.0016042425779806838,0.007953204732273678,0.010899281975202476,0.007953204732273678,0.019070726506095235,0.010899281975202476,0.019070726506095235,0.03802916072314266,0.007286538065607011,0.007619871398940345,0.007953204732273678,0.027546167964519842,0.027212834631186508,0.027212834631186508
2021-03,0.03305070652493749,0.052910397077162274,0.04172677980782118,0.024835035230797185,0.029658149367491445,0.013446614531329707,0.029658149367491445,0.027262329493897727,0.013446614531329707,0.04946209008379673,0.04296211496725132,0.029658149367491445,0.05152457662405711,0.04956471300780189,0.05185790995739044,0.02932481603415811,0.02932481603415811
2021-04,0.01147475526944761,0.006566018051479716,0.003948304444329053,0.009446692061245801,0.0023960779726202776,0.003904343918608499,0.0023960779726202776,0.005450905245382498,0.003904343918608499,0.005784238578715831,0.002062744639286944,0.0023960779726202776,0.002062744639286944,0.002062744639286944,-0.0012444714420420569,-0.000741733536186006,-0.000741733536186006
2021-05,0.015089379796799187,0.022427543052549792,0.031132730516647958,0.01206736106463157,0.030271777294953152,0.022220973773333687,0.030271777294953152,0.022497539907852932,0.022220973773333687,-0.007891278344555943,0.030271777294953152,0.030271777294953152,0.032500247002641904,0.030271777294953152,0.029938443961619817,0.0029448931332118114,0.0029448931332118114
2021-06,0.008889071066167542,0.024412465721730392,0.029514108535177462,0.00992036235300134,0.005249376275637855,0.014787737481927075,0.005249376275637855,0.01078263168721253,0.014787737481927075,0.03207674743975597,-0.024011426843359253,-0.024011426843359253,-0.024344760176692588,0.0024826109874255277,0.011848144840437983,0.011848144840437983,0.011848144840437983
2021-07,0.014355157594364587,0.029759743418142026,0.01649519212947892,0.009616828162154712,0.03132591344016259,0.010634395117072093,0.03132591344016259,0.030830489264116207,0.010634395117072093,0.031163822597449542,0.030992580106829256,0.030992580106829256,0.028254280002322104,0.0263051899486579,0.02858761333565544,0.02858761333565544,0.02858761333565544
2021-08,-0.034307129035316276,-0.04660538183152596,-0.03959099236419563,-0.025910325769934673,-0.04440777319980445,-0.022092331542610033,-0.04440777319980445,-0.05341718592414002,-0.022092331542610033,-0.05341718592414002,-0.041789312151741934,-0.044080123298536424,-0.041789312151741934,-0.0429332735863096,-0.044413456631869755,-0.038568132075761145,-0.038568132075761145
2021-09,0.033919557815562294,0.070163673151167,0.05195811855030574,0.02188968213398962,0.06133596400769507,0.020875449574161726,0.06133596400769507,0.07337797578247003,0.020875449574161726,0.03272744220436352,0.06343929991596915,0.06377263324930249,0.06382811661081696,0.0436241944019213,0.06382811661081696,0.06382811661081696,0.06382811661081696
2021-10,-0.00814304048423849,-0.008034981072560288,0.006264829389316318,-0.005519820958067685,-0.02415061024975436,-0.0029348189048786035,-0.02415061024975436,-0.0030532328478762487,-0.0029348189048786035,-0.0037198995145429153,-0.010463449493351873,-0.010463449493351873,-0.014816155759211098,-0.021401233052839475,-0.010796782826685206,-0.014816155759211098,-0.014816155759211098
2021-11,0.024785309318856426,0.04624781769074526,0.019693543953642485,0.02186868725741981,0.05127581512776839,0.021283074720155483,0.05127581512776839,0.012211135275612907,0.021283074720155483,0.012211135275612907,0.026828754306195652,0.026828754306195652,0.043764872710765484,0.02881392034684941,0.04343153937743215,0.004366859525276674,0.004366859525276674
2021-12,-0.04706520003048679,-0.05274113165292049,-0.047300195430528366,-0.03774869119629091,-0.0748095170457144,-0.021822439000706424,-0.0748095170457144,-0.07514285037904773,-0.021822439000706424,-0.07514285037904773,-0.07851961961138057,-0.07851961961138057,-0.08901157942378404,-0.06167418314409009,-0.07885295294471391,-0.07547618371238106,-0.07547618371238106
2022-01,-0.01207930495398589,-0.02951720597265628,-0.024242384215806646,-0.007769499111357788,-0.03636782583909326,0.016528718637050112,-0.03636782583909326,-0.03636782583909326,0.016528718637050112,-0.001375572310892727,-0.023416768685808814,-0.023416768685808814,-0.02308343535247548,-0.04126283614367731,0.008597906459415829,0.008264573126082496,0.008264573126082496
2022-02,0.00327489001877252,0.03759041075662495,0.0007767800860835269,-0.0074927414966204356,0.03731833393239714,-0.013584853940517855,0.03731833393239714,0.03731833393239714,-0.013584853940517855,-0.014251520607184522,0.040297699128338804,0.040297699128338804,0.040297699128338804,0.025168841721644866,0.02365988874835271,0.02365988874835271,0.02365988874835271
2022-03,-0.06933052120426494,-0.08776907770554399,-0.09035698087994101,-0.059416565819732564,-0.08853486298623763,-0.0349295903243841,-0.08853486298623763,-0.049783417545134934,-0.0349295903243841,-0.0504500842118016,-0.09194235866995511,-0.08555060937646375,-0.09909993170432807,-0.07300373129366038,-0.08521727604313041,-0.08521727604313041,-0.08521727604313041
2022-04,-0.009449623870885918,0.0022575969731088996,-0.007658626869500872,-0.0064149593693347915,-0.02607066535048434,-0.003377541159237939,-0.02607066535048434,-0.021390168574491757,-0.003377541159237939,-0.021390168574491757,-0.020257812445726626,-0.03211182304389677,-0.02059114577905996,-0.02477826046244495,-0.01551159987825116,-0.01551159987825116,-0.01551159987825116
2022-05,-0.05431185589187313,-0.08246054785214763,-0.054574588483362566,-0.04580052406186182,-0.05753630444105873,-0.031597567437607624,-0.05753630444105873,-0.05354905474016905,-0.031597567437607624,-0.031930900770940955,-0.08241036066361263,-0.059742414877325636,-0.0751063630125997,-0.04724169563729781,-0.08274369399694596,-0.08274369399694596,-0.08274369399694596
2022-06,0.05565970437461909,0.09208740810223937,0.06497648876620196,0.042696302752337066,0.02963076374209635,0.02357393232107178,0.02963076374209635,0.023240598987738444,0.02357393232107178,0.02357393232107178,0.1057697882774636,0.061931711854564475,0.07588616339843786,0.035326101274127976,0.1057697882774636,0.1057697882774636,0.1057697882774636
2022-07,-0.038014450638857784,-0.04080198828320858,-0.04269359051945434,-0.037527779289086294,-0.04378691722244087,-0.037020150045443415,-0.04378691722244087,-0.0371950631807938,-0.037020150045443415,-0.03421786461209686,-0.04382454778411389,-0.04415788111744722,-0.028203714176850414,-0.04449121445078056,-0.04382454778411389,-0.04382454778411389,-0.04382454778411389
2022-08,-0.08161110436017796,-0.09244604974210735,-0.0884079909254572,-0.07252091122602139,-0.05324379971330417,-0.037878444187639373,-0.05324379971330417,-0.06006652388941669,-0.037878444187639373,-0.0604527109343479,-0.1102243696889107,-0.1102243696889107,-0.11055770302224403,-0.11682101445306446,-0.1102243696889107,-0.1102243696889107,-0.1102243696889107
2022-09,0.021089121564102375,0.08127550074806678,0.024907628962069682,0.013957055551379605,0.03236291963039165,0.00042450045413829594,0.03236291963039165,9.116712080496262e-05,0.00042450045413829594,9.116712080496262e-05,0.06222646703404747,0.018734948345363375,0.06222646703404747,0.018422374106958645,0.06222646703404747,0.06222646703404747,0.06222646703404747
