Feature,Selection Mean,Holdout Mean,Selection Std,Holdout Std,PSI
market_gld_downside_rv_21d,0.10346505,0.09983117,0.0521705187857151,0.0629500076174736,0.32725495239963465
market_qqq_ma_distance_200d,0.0555393,0.0757321,0.08626581728458405,0.09556995332241058,0.3258786712724572
market_spy_ma_distance_126d,0.02293677,0.034198873,0.05771590769290924,0.054378822445869446,0.3249191390377394
market_hyg_downside_rv_21d,0.044679902,0.039873853,0.049438200891017914,0.03707001730799675,0.3236410501488228
market_hyg_downside_rv_126d,0.053872567,0.04762738,0.04570537805557251,0.034472785890102386,0.311947415497747
market_iwm_ma_distance_200d,0.03742839,0.03830245,0.0893651694059372,0.10141775757074356,0.3119189128071481
market_hyg_return_21d,0.005284838,0.003925168,0.03163602575659752,0.023768406361341476,0.3102006180992949
market_hyg_rv_63d,0.09009368,0.07620821,0.07197391241788864,0.056471992284059525,0.30991188695032634
market_treasury_2y_yield_change_21d,-0.025995318,0.016933333,0.1903304159641266,0.28447845578193665,0.30658442249755946
market_tlt_drawdown_63d,-0.033691503,-0.049509265,0.032618872821331024,0.04180680960416794,0.29718429997624307
market_tlt_return_126d,0.040931575,-0.0107652685,0.08920421451330185,0.09671090543270111,0.29537146383590573
market_tlt_rv_21d,0.13242798,0.15006743,0.04715675860643387,0.06425893306732178,0.29430628039981954
market_hyg_volume_zscore_63d,0.2522801,0.37214983,0.8764604926109314,0.975334644317627,0.29148072776815037
market_ief_return_252d,0.056043047,0.011899301,0.050645485520362854,0.07737646996974945,0.2901173884670687
market_qqq_ma_distance_126d,0.03456153,0.04611323,0.06799409538507462,0.07400333136320114,0.28995979805854266
market_spy_return_252d,0.103066474,0.1591256,0.1559208184480667,0.14564861357212067,0.28939496749313437
market_vnq_downside_rv_21d,0.13531259,0.11767368,0.11986309289932251,0.09112180769443512,0.2889229744767454
market_ief_rv_126d,0.06518904,0.070809126,0.018440820276737213,0.021090904250741005,0.2875666578718358
market_vix_zscore_252d,0.008922187,0.0098851975,1.1212403774261475,1.393345594406128,0.2865290925362791
market_gld_rv_21d,0.17472427,0.16556275,0.07383353263139725,0.07965124398469925,0.28527368700549965
market_spy_downside_rv_63d,0.09640899,0.105473496,0.06271069496870041,0.06589598208665848,0.2818352828910653
market_spy_drawdown_126d,-0.04115308,-0.04000536,0.07029920071363449,0.05115632340312004,0.27648242843295656
market_eem_ma_distance_63d,0.008675552,0.0054725846,0.05736749991774559,0.045096635818481445,0.2760124087365603
market_iwm_return_126d,0.04979108,0.057717346,0.1322019398212433,0.15060685575008392,0.2754301769926218
market_ief_return_126d,0.027981099,0.0039465614,0.04227764904499054,0.048193760216236115,0.2698716193031052
market_tlt_downside_rv_63d,0.0798753,0.09175591,0.024821167811751366,0.03267347067594528,0.26745150643251986
market_hyg_return_126d,0.03407739,0.023545021,0.07512948662042618,0.04756157845258713,0.2593123653129387
market_vix_change_21d,0.061975025,0.072666645,5.227835178375244,6.694777011871338,0.2590730669778796
market_hyg_return_63d,0.016453821,0.011491925,0.04961969703435898,0.034042831510305405,0.25530710855680694
market_gld_ma_distance_63d,0.008503998,0.01807463,0.04583492875099182,0.04152996838092804,0.25335175125834414
market_vnq_return_21d,0.010335855,0.0061420235,0.07046359777450562,0.055933333933353424,0.2518923176585282
market_tlt_volume_zscore_63d,0.28405824,0.5376288,0.9191134572029114,0.7902190089225769,0.25161740372477176
market_spy_return_63d,0.02435067,0.03661766,0.07041146606206894,0.07036048173904419,0.2495936435552732
