Strategy,Metric,Point Estimate,Bootstrap Median,CI Lower,CI Upper,Bootstrap Iterations Requested,Bootstrap Iterations Used,Confidence Level
TabICL[Direct allocation scorer] Calibration Base,annualized_volatility,0.17034531316268645,0.16668409193841544,0.14272655934938278,0.19743229255448974,400,400,0.95
TabICL[Direct allocation scorer] Calibration Base,sharpe,0.46898427248266356,0.48882086481391773,-0.24593303508600156,1.3490456607145627,400,400,0.95
TabPFN[Direct allocation scorer],mean_monthly_return,0.010933545345703842,0.011141966593638041,-0.0021421101503664277,0.02438482153301071,400,400,0.95
TabPFN[Direct allocation scorer],cagr,0.11806275074931949,0.12002181646458288,-0.046723221963656976,0.31492351771784827,400,400,0.95
TabPFN[Direct allocation scorer],annualized_volatility,0.1958682111934802,0.1918566678428175,0.16294477107433306,0.22266006677764294,400,400,0.95
TabPFN[Direct allocation scorer],sharpe,0.6698511379104962,0.6864628984404484,-0.11446262619582805,1.6335288340999952,400,400,0.95
TabPFN[Direct allocation scorer] Calibration Base,mean_monthly_return,0.008144397672344272,0.008189019322773005,-0.0028498928788070403,0.02038427283954212,400,400,0.95
TabPFN[Direct allocation scorer] Calibration Base,cagr,0.08599563758665663,0.08692950614894845,-0.050466781321841916,0.2568253670049973,400,400,0.95
TabPFN[Direct allocation scorer] Calibration Base,annualized_volatility,0.17356691255022763,0.17213461937444116,0.14353990073006517,0.19907066943047105,400,400,0.95
TabPFN[Direct allocation scorer] Calibration Base,sharpe,0.5630841191569209,0.578027154865625,-0.15835506016614773,1.4831478526597293,400,400,0.95
XGBoost[GPU allocation scorer],mean_monthly_return,0.015227453361480752,0.015229341851120484,0.003538048153077969,0.02593627959858172,400,400,0.95
XGBoost[GPU allocation scorer],cagr,0.1808990622578548,0.18003560756642423,0.026307166858113143,0.33819770774017915,400,400,0.95
XGBoost[GPU allocation scorer],annualized_volatility,0.17683546341497683,0.17452838920742333,0.1460882375129279,0.19961430059818716,400,400,0.95
XGBoost[GPU allocation scorer],sharpe,1.033330287991843,1.0167109293240482,0.23215802024765023,1.9096617221004055,400,400,0.95
XGBoost[GPU allocation scorer] Calibrated,mean_monthly_return,0.012222747463989048,0.012456602730323918,0.0024342500919922253,0.02201006052614877,400,400,0.95
XGBoost[GPU allocation scorer] Calibrated,cagr,0.1414706995197812,0.14558506673378435,0.016151370120256588,0.28137318581026743,400,400,0.95
XGBoost[GPU allocation scorer] Calibrated,annualized_volatility,0.16651925475551313,0.1651345516434034,0.1400421633520118,0.19039245845329544,400,400,0.95
XGBoost[GPU allocation scorer] Calibrated,sharpe,0.8808168748005551,0.8946809941135647,0.17948199980145374,1.6582263734211917,400,400,0.95
XGBoost[GPU allocation scorer] Calibration Base,mean_monthly_return,0.012222747463989048,0.011774717197841535,0.0019449016252673663,0.02230964092170663,400,400,0.95
XGBoost[GPU allocation scorer] Calibration Base,cagr,0.1414706995197812,0.13433948410908436,0.010131273711231846,0.29142774376736874,400,400,0.95
XGBoost[GPU allocation scorer] Calibration Base,annualized_volatility,0.16651925475551313,0.16531752010349365,0.13678818611573024,0.19213423695697893,400,400,0.95
XGBoost[GPU allocation scorer] Calibration Base,sharpe,0.8808168748005551,0.8449192365017986,0.14205920159907914,1.7689638847479527,400,400,0.95
