Model,Evaluation Window,Type,Value,Alerts,Precision,Recall
XGBoost[Raw + TabICL embeddings] Calibration Base,holdout,top_rate,0.3,150,0.5333333333333333,0.6722689075630253
XGBoost[Raw + TabICL embeddings] Calibration Base,holdout,target_recall,0.5,79,0.759493670886076,0.5042016806722689
XGBoost[Raw + TabICL embeddings] Calibration Base,holdout,target_recall,0.7,191,0.4397905759162304,0.7058823529411765
XGBoost[Raw + TabICL embeddings] Calibration Base,holdout,target_recall,0.8,307,0.3127035830618892,0.8067226890756303
XGBoost[Raw + TabICL embeddings] Calibration Base,holdout,target_recall,0.9,399,0.2706766917293233,0.907563025210084
XGBoost[Raw + TabICL embeddings] Calibrated,holdout,top_rate,0.05,25,0.76,0.15966386554621848
XGBoost[Raw + TabICL embeddings] Calibrated,holdout,top_rate,0.1,50,0.82,0.3445378151260504
XGBoost[Raw + TabICL embeddings] Calibrated,holdout,top_rate,0.2,100,0.7,0.5882352941176471
XGBoost[Raw + TabICL embeddings] Calibrated,holdout,top_rate,0.3,150,0.5333333333333333,0.6722689075630253
XGBoost[Raw + TabICL embeddings] Calibrated,holdout,target_recall,0.5,79,0.759493670886076,0.5042016806722689
XGBoost[Raw + TabICL embeddings] Calibrated,holdout,target_recall,0.7,191,0.4397905759162304,0.7058823529411765
XGBoost[Raw + TabICL embeddings] Calibrated,holdout,target_recall,0.8,307,0.3127035830618892,0.8067226890756303
XGBoost[Raw + TabICL embeddings] Calibrated,holdout,target_recall,0.9,399,0.2706766917293233,0.907563025210084
TabPFN[Direct all-history],holdout,top_rate,0.05,25,0.88,0.18487394957983194
TabPFN[Direct all-history],holdout,top_rate,0.1,50,0.78,0.3277310924369748
TabPFN[Direct all-history],holdout,top_rate,0.2,100,0.68,0.5714285714285714
TabPFN[Direct all-history],holdout,top_rate,0.3,150,0.56,0.7058823529411765
TabPFN[Direct all-history],holdout,target_recall,0.5,90,0.6666666666666666,0.5042016806722689
TabPFN[Direct all-history],holdout,target_recall,0.7,146,0.5753424657534246,0.7058823529411765
TabPFN[Direct all-history],holdout,target_recall,0.8,204,0.47058823529411764,0.8067226890756303
TabPFN[Direct all-history],holdout,target_recall,0.9,265,0.4075471698113208,0.907563025210084
TabPFN[Direct all-history] Calibration Base,holdout,top_rate,0.05,25,0.84,0.17647058823529413
TabPFN[Direct all-history] Calibration Base,holdout,top_rate,0.1,50,0.76,0.31932773109243695
TabPFN[Direct all-history] Calibration Base,holdout,top_rate,0.2,100,0.67,0.5630252100840336
TabPFN[Direct all-history] Calibration Base,holdout,top_rate,0.3,150,0.5466666666666666,0.6890756302521008
TabPFN[Direct all-history] Calibration Base,holdout,target_recall,0.5,87,0.6896551724137931,0.5042016806722689
TabPFN[Direct all-history] Calibration Base,holdout,target_recall,0.7,157,0.535031847133758,0.7058823529411765
TabPFN[Direct all-history] Calibration Base,holdout,target_recall,0.8,198,0.48484848484848486,0.8067226890756303
TabPFN[Direct all-history] Calibration Base,holdout,target_recall,0.9,337,0.32047477744807124,0.907563025210084
TabICL[Direct all-history],holdout,top_rate,0.05,25,0.92,0.19327731092436976
TabICL[Direct all-history],holdout,top_rate,0.1,50,0.76,0.31932773109243695
TabICL[Direct all-history],holdout,top_rate,0.2,100,0.59,0.4957983193277311
TabICL[Direct all-history],holdout,top_rate,0.3,150,0.48,0.6050420168067226
TabICL[Direct all-history],holdout,target_recall,0.5,102,0.5882352941176471,0.5042016806722689
TabICL[Direct all-history],holdout,target_recall,0.7,198,0.42424242424242425,0.7058823529411765
TabICL[Direct all-history],holdout,target_recall,0.8,273,0.3516483516483517,0.8067226890756303
TabICL[Direct all-history],holdout,target_recall,0.9,324,0.3333333333333333,0.907563025210084
TabICL[Direct all-history] Calibration Base,holdout,top_rate,0.05,25,0.92,0.19327731092436976
TabICL[Direct all-history] Calibration Base,holdout,top_rate,0.1,50,0.82,0.3445378151260504
TabICL[Direct all-history] Calibration Base,holdout,top_rate,0.2,100,0.65,0.5462184873949579
TabICL[Direct all-history] Calibration Base,holdout,top_rate,0.3,150,0.5533333333333333,0.6974789915966386
TabICL[Direct all-history] Calibration Base,holdout,target_recall,0.5,77,0.7792207792207793,0.5042016806722689
TabICL[Direct all-history] Calibration Base,holdout,target_recall,0.7,177,0.4745762711864407,0.7058823529411765
TabICL[Direct all-history] Calibration Base,holdout,target_recall,0.8,224,0.42857142857142855,0.8067226890756303
TabICL[Direct all-history] Calibration Base,holdout,target_recall,0.9,313,0.3450479233226837,0.907563025210084
