Model,Evaluation Window,bin,rows,high_vol_rows,score_min,score_max,mean_score,observed_high_vol_rate,abs_calibration_error
XGBoost[Raw],holdout,10,50,34,0.2504098117351532,0.5893150568008423,0.32180778443813324,0.68,0.3581922155618668
XGBoost[Raw] Calibration Base,calibration,1,35,10,0.005443723872303963,0.006185844540596008,0.005897623420293842,0.2857142857142857,0.2798166622939919
XGBoost[Raw] Calibration Base,calibration,2,35,16,0.006199658382683992,0.0064094397239387035,0.00631165952820863,0.45714285714285713,0.4508311976146485
XGBoost[Raw] Calibration Base,calibration,3,35,3,0.006411425769329071,0.007040755357593298,0.006695816093789679,0.08571428571428572,0.07901846962049604
XGBoost[Raw] Calibration Base,calibration,4,35,2,0.0070410058833658695,0.007449599914252758,0.007257626870913165,0.05714285714285714,0.04988523027194398
XGBoost[Raw] Calibration Base,calibration,5,35,3,0.0074552008882164955,0.00823637843132019,0.007839146056877716,0.08571428571428572,0.077875139657408
XGBoost[Raw] Calibration Base,calibration,6,35,4,0.008240788243710995,0.009265832602977753,0.00871085317007133,0.11428571428571428,0.10557486111564296
XGBoost[Raw] Calibration Base,calibration,7,35,2,0.009271511808037758,0.012682486325502396,0.011011722550860473,0.05714285714285714,0.046131134591996664
XGBoost[Raw] Calibration Base,calibration,8,35,10,0.012747815810143948,0.021903373301029205,0.018539623410574028,0.2857142857142857,0.2671746623037117
XGBoost[Raw] Calibration Base,calibration,9,35,6,0.022140827029943466,0.04522110894322395,0.02989718695836408,0.17142857142857143,0.14153138447020736
XGBoost[Raw] Calibration Base,calibration,10,35,22,0.04889080673456192,0.7521088123321533,0.25233545899391174,0.6285714285714286,0.3762359695775168
XGBoost[Raw] Calibration Base,holdout,1,50,3,0.00578746572136879,0.0069654942490160465,0.006549368994310498,0.06,0.0534506310056895
XGBoost[Raw] Calibration Base,holdout,2,50,0,0.0069654942490160465,0.007315876893699169,0.007144100526347757,0.0,0.007144100526347757
XGBoost[Raw] Calibration Base,holdout,3,50,3,0.007318211253732443,0.007675394881516695,0.0074931560177356,0.06,0.0525068439822644
XGBoost[Raw] Calibration Base,holdout,4,50,4,0.007678598165512085,0.008269505575299263,0.0079652061406523,0.08,0.0720347938593477
XGBoost[Raw] Calibration Base,holdout,5,50,6,0.00828656554222107,0.008993133902549744,0.008543424624949694,0.12,0.1114565753750503
XGBoost[Raw] Calibration Base,holdout,6,50,14,0.008997980505228043,0.0099929915741086,0.00942817995324731,0.28,0.27057182004675273
XGBoost[Raw] Calibration Base,holdout,7,50,12,0.010075418278574944,0.01279928907752037,0.01122202591970563,0.24,0.22877797408029435
XGBoost[Raw] Calibration Base,holdout,8,50,10,0.012820091098546982,0.038562577217817307,0.022592657655477525,0.2,0.1774073423445225
XGBoost[Raw] Calibration Base,holdout,9,50,25,0.03873603418469429,0.16735395789146423,0.0913919199258089,0.5,0.4086080800741911
XGBoost[Raw] Calibration Base,holdout,10,50,42,0.16992051899433136,0.55959153175354,0.31853669494390485,0.84,0.5214633050560951
XGBoost[Raw] Calibrated,calibration,1,35,10,0.20242444534020868,0.20283282929820232,0.20267417744478544,0.2857142857142857,0.08304010826950026
XGBoost[Raw] Calibrated,calibration,2,35,16,0.2028404367817358,0.20295599255922886,0.20290212702669316,0.45714285714285713,0.254240730116164
XGBoost[Raw] Calibrated,calibration,3,35,3,0.20295708678523078,0.20330404191914284,0.20311383725288856,0.08571428571428572,0.11739955153860285
XGBoost[Raw] Calibrated,calibration,4,35,2,0.20330418012420642,0.20352967826019228,0.20342371427310127,0.05714285714285714,0.14628085713024414
