Model,Evaluation Window,bin,rows,observed_rate,mean_predicted_probability,score_min,score_max
XGBoost[GPU allocation scorer],holdout,"(0.204, 0.219]",187,0.22994652406417113,0.2108027502336604,0.20408153533935547,0.2186228632926941
XGBoost[GPU allocation scorer],holdout,"(0.219, 0.235]",187,0.20320855614973263,0.22648374146637432,0.2186564952135086,0.2352355718612671
XGBoost[GPU allocation scorer],holdout,"(0.235, 0.254]",188,0.2393617021276596,0.244110920486298,0.23523856699466705,0.2541262209415436
XGBoost[GPU allocation scorer],holdout,"(0.254, 0.287]",187,0.2620320855614973,0.268850943143355,0.254241406917572,0.2873605787754059
XGBoost[GPU allocation scorer],holdout,"(0.287, 0.564]",188,0.34574468085106386,0.3374099866189855,0.2874414622783661,0.5638415813446045
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(0.0294, 0.0753]",60,0.06666666666666667,0.05336907900248965,0.03036423772573471,0.0752112865447998
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(0.0753, 0.131]",60,0.16666666666666666,0.09652135521173477,0.07532620429992676,0.1309727430343628
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(0.131, 0.18]",60,0.15,0.15725521420439084,0.1313280612230301,0.17966632544994354
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(0.18, 0.198]",60,0.13333333333333333,0.19008313839634258,0.18032336235046387,0.19804050028324127
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(0.198, 0.212]",60,0.23333333333333334,0.20529451618591946,0.19814784824848175,0.21220259368419647
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(0.212, 0.225]",60,0.18333333333333332,0.21874628588557243,0.21271339058876038,0.22504815459251404
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(0.225, 0.242]",60,0.2833333333333333,0.23296087508400282,0.22541828453540802,0.2422998547554016
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(0.242, 0.258]",60,0.2833333333333333,0.24895118301113447,0.24242432415485382,0.25766730308532715
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(0.258, 0.287]",60,0.23333333333333334,0.27030446330706276,0.25769826769828796,0.2869887351989746
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(0.287, 0.518]",60,0.26666666666666666,0.33262465993563334,0.2875208854675293,0.517881453037262
XGBoost[GPU allocation scorer] Calibration Base,holdout,"(0.0186, 0.099]",188,0.13297872340425532,0.06367384764227144,0.019592715427279472,0.09864286333322525
XGBoost[GPU allocation scorer] Calibration Base,holdout,"(0.099, 0.149]",187,0.11229946524064172,0.12314275090388435,0.09955047816038132,0.14867596328258514
XGBoost[GPU allocation scorer] Calibration Base,holdout,"(0.149, 0.177]",188,0.14361702127659576,0.16333003326299342,0.14871551096439362,0.1768461912870407
XGBoost[GPU allocation scorer] Calibration Base,holdout,"(0.177, 0.198]",187,0.13368983957219252,0.18732609468347886,0.17688721418380737,0.1975339651107788
XGBoost[GPU allocation scorer] Calibration Base,holdout,"(0.198, 0.21]",188,0.26063829787234044,0.20361579272975314,0.19762372970581055,0.21028271317481995
XGBoost[GPU allocation scorer] Calibration Base,holdout,"(0.21, 0.225]",187,0.1657754010695187,0.21713249959091452,0.2106093168258667,0.2248622328042984
XGBoost[GPU allocation scorer] Calibration Base,holdout,"(0.225, 0.242]",187,0.22994652406417113,0.23289255200222853,0.22486869990825653,0.2423466145992279
XGBoost[GPU allocation scorer] Calibration Base,holdout,"(0.242, 0.262]",188,0.26595744680851063,0.25196523163863954,0.24244481325149536,0.2624625563621521
