Strategy,Metric,Point Estimate,Bootstrap Median,CI Lower,CI Upper,Bootstrap Iterations Requested,Bootstrap Iterations Used,Confidence Level
FeatureSensitivity[Logistic full],sharpe,0.5944750746167092,0.632371767956402,-0.1544224830740451,1.6167316543846841,400,400,0.95
FeatureSensitivity[Logistic full] | inverse-vol capped top-k,mean_monthly_return,0.006514736651900654,0.006567237237854597,-0.002893894638815835,0.016327360873180638,400,400,0.95
FeatureSensitivity[Logistic full] | inverse-vol capped top-k,cagr,0.0703720605973257,0.07307930511399996,-0.04631218701311514,0.20688104881063873,400,400,0.95
FeatureSensitivity[Logistic full] | inverse-vol capped top-k,annualized_volatility,0.14028709934604172,0.13735873548737706,0.10538771413074263,0.17822352888597437,400,400,0.95
FeatureSensitivity[Logistic full] | inverse-vol capped top-k,sharpe,0.5572632137041449,0.591548194755978,-0.22303571572994693,1.63109312830675,400,400,0.95
FeatureSensitivity[Logistic identity_ablated],mean_monthly_return,0.00768994946024853,0.007975024186041204,-0.003853572603171676,0.01650557617257795,400,400,0.95
FeatureSensitivity[Logistic identity_ablated],cagr,0.08261148220520731,0.08667535635259727,-0.06117503835638105,0.20677445680257064,400,400,0.95
FeatureSensitivity[Logistic identity_ablated],annualized_volatility,0.15730452090008606,0.15419611434628933,0.1181165197443945,0.20077794751443673,400,400,0.95
FeatureSensitivity[Logistic identity_ablated],sharpe,0.586628998295572,0.6231166830616626,-0.2332419101890678,1.5091803573694043,400,400,0.95
FeatureSensitivity[Logistic identity_ablated] | inverse-vol capped top-k,mean_monthly_return,0.0064381535237797915,0.006639409252567404,-0.0019365460297246907,0.015186039035247421,400,400,0.95
FeatureSensitivity[Logistic identity_ablated] | inverse-vol capped top-k,cagr,0.06939507001330791,0.07247257072682356,-0.033856089777783774,0.1908800287295571,400,400,0.95
FeatureSensitivity[Logistic identity_ablated] | inverse-vol capped top-k,annualized_volatility,0.1402711265525695,0.1362402902617809,0.10587943384620883,0.1776334651315412,400,400,0.95
FeatureSensitivity[Logistic identity_ablated] | inverse-vol capped top-k,sharpe,0.5507750895292306,0.5924270206898049,-0.1571430223068272,1.5003663237809306,400,400,0.95
FeatureSensitivity[Logistic metadata_only],mean_monthly_return,0.011911467965520738,0.0122773332985978,0.00224156132647614,0.02281251421805755,400,400,0.95
FeatureSensitivity[Logistic metadata_only],cagr,0.13970943785789314,0.1449310589402748,0.014776837005747388,0.2984474270998042,400,400,0.95
FeatureSensitivity[Logistic metadata_only],annualized_volatility,0.1524501105720544,0.15031860087131427,0.12830935464011037,0.1721501980077765,400,400,0.95
FeatureSensitivity[Logistic metadata_only],sharpe,0.9376025707681626,0.9835563233767961,0.17121922893181146,1.9412537872391773,400,400,0.95
FeatureSensitivity[Logistic metadata_only] | inverse-vol capped top-k,mean_monthly_return,0.010431760981384063,0.010418133056546142,0.002305503737674833,0.0193393258549887,400,400,0.95
FeatureSensitivity[Logistic metadata_only] | inverse-vol capped top-k,cagr,0.12265826024000792,0.12268924466423847,0.019422445922068658,0.24925179321536794,400,400,0.95
FeatureSensitivity[Logistic metadata_only] | inverse-vol capped top-k,annualized_volatility,0.1347884166052356,0.13271512782941097,0.11348209294268362,0.1552257779538348,400,400,0.95
FeatureSensitivity[Logistic metadata_only] | inverse-vol capped top-k,sharpe,0.9287232162036267,0.9307563532955345,0.21250093006512266,1.796298323216593,400,400,0.95
FeatureSensitivity[Logistic strict_time_series],mean_monthly_return,0.00768994946024853,0.007938796748371293,-0.0031629609080293174,0.017500483446365848,400,400,0.95
FeatureSensitivity[Logistic strict_time_series],cagr,0.08261148220520731,0.08647877520028835,-0.05665773523693928,0.22003152513224597,400,400,0.95
FeatureSensitivity[Logistic strict_time_series],annualized_volatility,0.15730452090008606,0.15215206345266885,0.1167439442286215,0.1992471997001141,400,400,0.95
FeatureSensitivity[Logistic strict_time_series],sharpe,0.586628998295572,0.6247698113023104,-0.21049295200929907,1.590077084533949,400,400,0.95
FeatureSensitivity[Logistic strict_time_series] | inverse-vol capped top-k,mean_monthly_return,0.0064381535237797915,0.007008870581096421,-0.0026742228394891535,0.01471252257208829,400,400,0.95
FeatureSensitivity[Logistic strict_time_series] | inverse-vol capped top-k,cagr,0.06939507001330791,0.0769745740911515,-0.045348346701632604,0.18253880840808978,400,400,0.95
FeatureSensitivity[Logistic strict_time_series] | inverse-vol capped top-k,annualized_volatility,0.1402711265525695,0.13560354964573304,0.10390215768295698,0.16987396036104432,400,400,0.95
FeatureSensitivity[Logistic strict_time_series] | inverse-vol capped top-k,sharpe,0.5507750895292306,0.6166833749631483,-0.18972835919313605,1.5174082664395872,400,400,0.95
FeatureSensitivity[Logistic ticker_ablated],mean_monthly_return,0.007812538521944537,0.0074548159003407135,-0.002610595983786697,0.019224749015536814,400,400,0.95
FeatureSensitivity[Logistic ticker_ablated],cagr,0.08412814344641184,0.07865744089691928,-0.047936557066204255,0.2437241732480426,400,400,0.95
FeatureSensitivity[Logistic ticker_ablated],annualized_volatility,0.15770992750878018,0.15646213406922388,0.12113422112481578,0.19710814749613098,400,400,0.95
FeatureSensitivity[Logistic ticker_ablated],sharpe,0.5944487055712778,0.568031151444985,-0.1589495713528696,1.681270186774682,400,400,0.95
FeatureSensitivity[Logistic ticker_ablated] | inverse-vol capped top-k,mean_monthly_return,0.006520736681861229,0.006726515528442566,-0.0026096315985510376,0.014514597291883693,400,400,0.95
FeatureSensitivity[Logistic ticker_ablated] | inverse-vol capped top-k,cagr,0.0704262736160568,0.07308049969724228,-0.043174793544839975,0.1804623431320396,400,400,0.95
FeatureSensitivity[Logistic ticker_ablated] | inverse-vol capped top-k,annualized_volatility,0.14042584344497666,0.13652494756970118,0.10717703180959724,0.17378408557556024,400,400,0.95
FeatureSensitivity[Logistic ticker_ablated] | inverse-vol capped top-k,sharpe,0.5572253529884985,0.5858987014022241,-0.19876223238504812,1.4668180866220741,400,400,0.95
Rule[6M momentum top-k],mean_monthly_return,0.008899821655087193,0.00916164426800999,-0.0008974148628056925,0.018015051412586323,400,400,0.95
Rule[6M momentum top-k],cagr,0.09995782595785241,0.1036731265361217,-0.020986807781175777,0.22441234519224706,400,400,0.95
Rule[6M momentum top-k],annualized_volatility,0.1499561615465268,0.14939372114549482,0.12828795535156035,0.16704450433414325,400,400,0.95
Rule[6M momentum top-k],sharpe,0.7121938755941696,0.7433530581505827,-0.07470356184931816,1.5274989049822436,400,400,0.95
Rule[6M momentum top-k] | inverse-vol capped top-k,mean_monthly_return,0.006895122778274249,0.006763898315232482,-0.0022301091972157013,0.01524178310663736,400,400,0.95
Rule[6M momentum top-k] | inverse-vol capped top-k,cagr,0.07635367685731476,0.0756496108384197,-0.03623267921934094,0.18853302167454702,400,400,0.95
Rule[6M momentum top-k] | inverse-vol capped top-k,annualized_volatility,0.13439933748213834,0.13328930180743292,0.1134165202742236,0.15201071132500132,400,400,0.95
Rule[6M momentum top-k] | inverse-vol capped top-k,sharpe,0.6156389971065691,0.6064301849673819,-0.1878675319086887,1.4403331660872811,400,400,0.95
Rule[Risk-adjusted momentum top-k],mean_monthly_return,0.01247326774447444,0.012301097050411068,0.0034506281832680638,0.02288793325682407,400,400,0.95
Rule[Risk-adjusted momentum top-k],cagr,0.14721525399119462,0.14540755017468043,0.03168150806940345,0.29308281737164404,400,400,0.95
Rule[Risk-adjusted momentum top-k],annualized_volatility,0.15400554390247292,0.15162614517895007,0.12709926324225562,0.1767953849326795,400,400,0.95
Rule[Risk-adjusted momentum top-k],sharpe,0.9719079530570705,0.9734338029357356,0.28490212721984476,1.7980878605555193,400,400,0.95
Rule[Risk-adjusted momentum top-k] | inverse-vol capped top-k,mean_monthly_return,0.010956937315846444,0.011253830997262909,0.0020308748858786697,0.019437010509960485,400,400,0.95
Rule[Risk-adjusted momentum top-k] | inverse-vol capped top-k,cagr,0.1289536758999148,0.1323517547796247,0.016143066184339073,0.24787274074523866,400,400,0.95
Rule[Risk-adjusted momentum top-k] | inverse-vol capped top-k,annualized_volatility,0.1403163436496833,0.1382248701627627,0.11295413497383781,0.16232423571848228,400,400,0.95
Rule[Risk-adjusted momentum top-k] | inverse-vol capped top-k,sharpe,0.9370487027400111,0.9725357779563579,0.18690278199142277,1.7196063490022144,400,400,0.95
