Model,Base Model,Family,Feature Set,Embedding Source,Calibration,Holdout,Rows,Fraud Rate,Average Precision,Top 0.5% Alerts,Top 0.5% Precision,Top 0.5% Recall,Top 1% Alerts,Top 1% Precision,Top 1% Recall,CV/Validation Average Precision,ROC AUC,Log Loss,Brier Score,ECE Quantile 10,Shared Feature Prep Seconds,Feature Prep Seconds,Fit Seconds,Calibration Seconds,Predict Seconds,Total Seconds,Workflow Seconds,Timing Notes,Best Params,Error
XGBoost[Raw all-history incumbent] Calibration Base,XGBoost,classical_incumbent_calibration_base,Raw all-history incumbent,none,none_calibration_base,sampled,20075,0.0037359900373599006,0.8336632243180151,101,0.6039603960396039,0.8133333333333334,201,0.31840796019900497,0.8533333333333334,0.7973692502289911,0.9763553333333335,0.007638899653842412,0.001014986892189221,0.0006466811081760464,0.0,0.0,167.51165644699995,0.0,0.08463013699997646,167.59628658399993,167.59628658399993,validation tuning + train/validation base fit without calibration-window labels,"{'colsample_bytree': 0.9277873831095045, 'learning_rate': 0.11302776566627892, 'max_delta_step': 5, 'max_depth': 5, 'min_child_weight': 7.604077403300609, 'n_estimators': 839, 'reg_alpha': 0.03879330247154566, 'reg_lambda': 11.888019495707809, 'scale_pos_weight': 518.1770833333334, 'subsample': 0.8352665877625647}",
XGBoost[Raw all-history incumbent] Calibrated,XGBoost,classical_incumbent_calibrated,Raw all-history incumbent,none,sigmoid,sampled,20075,0.0037359900373599006,0.8336632243180151,101,0.6039603960396039,0.8133333333333334,201,0.31840796019900497,0.8533333333333334,0.7973692502289911,0.9763553333333334,0.008023192050261573,0.0009961224525434165,0.000892721728282304,0.0,0.0,165.550795333,2.2763869919999706,0.2466695850000633,168.07385191000003,168.07385191000003,validation tuning + train/validation base fit + separate calibration-window sigmoid calibration,"{'colsample_bytree': 0.9277873831095045, 'learning_rate': 0.11302776566627892, 'max_delta_step': 5, 'max_depth': 5, 'min_child_weight': 7.604077403300609, 'n_estimators': 839, 'reg_alpha': 0.03879330247154566, 'reg_lambda': 11.888019495707809, 'scale_pos_weight': 518.1770833333334, 'subsample': 0.8352665877625647}",
XGBoost[Raw] Calibration Base,XGBoost,classical_calibration_base,Raw,none,none_calibration_base,sampled,20075,0.0037359900373599006,0.8321825643252709,101,0.6138613861386139,0.8266666666666667,201,0.31840796019900497,0.8533333333333334,0.7796175963564582,0.9782513333333334,0.007662048128082494,0.0010257005694546714,0.0008429767249418107,0.0,0.0,140.65758348300005,0.0,0.08341912599985335,140.7410026089999,140.7410026089999,validation tuning + train/validation base fit without calibration-window labels,"{'colsample_bytree': 0.9625096444474498, 'learning_rate': 0.03843694025082197, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 2.878805718308924, 'n_estimators': 746, 'reg_alpha': 0.022965432344634346, 'reg_lambda': 0.19781054912383753, 'scale_pos_weight': 25.026505772668852, 'subsample': 0.962228456066521}",
XGBoost[Raw] Calibrated,XGBoost,classical_calibrated,Raw,none,sigmoid,sampled,20075,0.0037359900373599006,0.8321825643252709,101,0.6138613861386139,0.8266666666666667,201,0.31840796019900497,0.8533333333333334,0.7796175963564582,0.9782513333333334,0.008341978107063212,0.0010729639285677627,0.0009680715353773718,0.0,0.0,138.95789359900004,2.040183986000102,0.24231861499993101,141.24039620000008,141.24039620000008,validation tuning + train/validation base fit + separate calibration-window sigmoid calibration,"{'colsample_bytree': 0.9625096444474498, 'learning_rate': 0.03843694025082197, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 2.878805718308924, 'n_estimators': 746, 'reg_alpha': 0.022965432344634346, 'reg_lambda': 0.19781054912383753, 'scale_pos_weight': 25.026505772668852, 'subsample': 0.962228456066521}",
XGBoost[Raw + TabPFN + TabICL embeddings] Calibration Base,XGBoost,classical_calibration_base,Raw + TabPFN + TabICL embeddings,TabPFN+TabICL,none_calibration_base,sampled,20075,0.0037359900373599006,0.8313064579686764,101,0.6039603960396039,0.8133333333333334,201,0.3283582089552239,0.88,0.7837217687728677,0.9763279999999999,0.007635517194786057,0.0011480039534637328,0.0010696815713833398,501.02453945300067,501.02453945300067,1370.3254136199998,0.0,1.0274429620003502,1371.3528565820002,1872.3773960350009,validation tuning + train/validation base fit without calibration-window labels; shared offline embedding feature prep,"{'colsample_bytree': 0.9518600387910157, 'learning_rate': 0.146501361250436, 'max_delta_step': 5, 'max_depth': 2, 'min_child_weight': 0.35015835937028994, 'n_estimators': 482, 'reg_alpha': 0.013662775841358913, 'reg_lambda': 10.624824455988376, 'scale_pos_weight': 1.0, 'subsample': 0.8261953145395072}",
XGBoost[Raw + TabPFN + TabICL embeddings] Calibrated,XGBoost,classical_calibrated,Raw + TabPFN + TabICL embeddings,TabPFN+TabICL,sigmoid,sampled,20075,0.0037359900373599006,0.8313064579686764,101,0.6039603960396039,0.8133333333333334,201,0.3283582089552239,0.88,0.7837217687728677,0.9763279999999999,0.009146092244968275,0.001282327123811739,0.0012662256202919117,501.02453945300067,501.02453945300067,1363.2218076240001,13.234914638000191,5.386789935999332,1381.8435121979996,1882.8680516510003,validation tuning + train/validation base fit + separate calibration-window sigmoid calibration; shared offline embedding feature prep,"{'colsample_bytree': 0.9518600387910157, 'learning_rate': 0.146501361250436, 'max_delta_step': 5, 'max_depth': 2, 'min_child_weight': 0.35015835937028994, 'n_estimators': 482, 'reg_alpha': 0.013662775841358913, 'reg_lambda': 10.624824455988376, 'scale_pos_weight': 1.0, 'subsample': 0.8261953145395072}",
XGBoost[Raw + TabICL embeddings] Calibration Base,XGBoost,classical_calibration_base,Raw + TabICL embeddings,TabICL,none_calibration_base,sampled,20075,0.0037359900373599006,0.8271764408134238,101,0.6138613861386139,0.8266666666666667,201,0.31840796019900497,0.8533333333333334,0.7781695469540796,0.9730226666666667,0.006526973781727567,0.001065621119415264,0.0003547161830824833,124.44197612800053,124.44197612800053,1021.0983342049999,0.0,0.7557251700000052,1021.8540593749999,1146.2960355030004,validation tuning + train/validation base fit without calibration-window labels; shared offline embedding feature prep,"{'colsample_bytree': 0.7903053218135011, 'learning_rate': 0.16201847221720986, 'max_delta_step': 0, 'max_depth': 2, 'min_child_weight': 0.1625505785817306, 'n_estimators': 227, 'reg_alpha': 0.0012365229635509147, 'reg_lambda': 1.0758349396810416, 'scale_pos_weight': 25.026505772668852, 'subsample': 0.8848355604789127}",
XGBoost[Raw + TabICL embeddings] Calibrated,XGBoost,classical_calibrated,Raw + TabICL embeddings,TabICL,sigmoid,sampled,20075,0.0037359900373599006,0.8271764408134238,101,0.6138613861386139,0.8266666666666667,201,0.31840796019900497,0.8533333333333334,0.7781695469540796,0.9730226666666667,0.008067297233336192,0.0011398317970224667,0.000839920888073686,124.44197612800053,124.44197612800053,1018.413466603,7.108292348999839,3.802815879999798,1029.3245748319996,1153.7665509600001,validation tuning + train/validation base fit + separate calibration-window sigmoid calibration; shared offline embedding feature prep,"{'colsample_bytree': 0.7903053218135011, 'learning_rate': 0.16201847221720986, 'max_delta_step': 0, 'max_depth': 2, 'min_child_weight': 0.1625505785817306, 'n_estimators': 227, 'reg_alpha': 0.0012365229635509147, 'reg_lambda': 1.0758349396810416, 'scale_pos_weight': 25.026505772668852, 'subsample': 0.8848355604789127}",
XGBoost[Raw + TabPFN embeddings],XGBoost,classical,Raw + TabPFN embeddings,TabPFN,none,sampled,20075,0.0037359900373599006,0.8166084941770183,101,0.5841584158415841,0.7866666666666666,201,0.30845771144278605,0.8266666666666667,0.7894373196063951,0.9861646666666667,0.006610661447941754,0.0010535933261591876,0.0009542030499976959,376.58256332500014,376.58256332500014,462.12128656799973,0.0,0.34431653999990885,462.46560310799964,839.0481664329998,rolling chronological tuning + final pre-holdout refit; shared offline embedding feature prep,"{'colsample_bytree': 0.9787160975551121, 'learning_rate': 0.030310114166357094, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 7.18848093363432, 'n_estimators': 696, 'reg_alpha': 0.05805302225953136, 'reg_lambda': 2.616000600229115, 'scale_pos_weight': 1.0, 'subsample': 0.768836564001532}",
XGBoost[Raw + TabPFN embeddings] Calibration Base,XGBoost,classical_calibration_base,Raw + TabPFN embeddings,TabPFN,none_calibration_base,sampled,20075,0.0037359900373599006,0.8164230273437934,101,0.5841584158415841,0.7866666666666666,201,0.31343283582089554,0.84,0.7894373196063951,0.9758593333333333,0.007047973357785682,0.0011169521439438142,0.0009723374031553063,376.58256332500014,376.58256332500014,461.2115274839996,0.0,0.3402690780003468,461.55179656199994,838.1343598870001,validation tuning + train/validation base fit without calibration-window labels; shared offline embedding feature prep,"{'colsample_bytree': 0.9787160975551121, 'learning_rate': 0.030310114166357094, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 7.18848093363432, 'n_estimators': 696, 'reg_alpha': 0.05805302225953136, 'reg_lambda': 2.616000600229115, 'scale_pos_weight': 1.0, 'subsample': 0.768836564001532}",
XGBoost[Raw + TabPFN embeddings] Calibrated,XGBoost,classical_calibrated,Raw + TabPFN embeddings,TabPFN,sigmoid,sampled,20075,0.0037359900373599006,0.8164230273437934,101,0.5841584158415841,0.7866666666666666,201,0.31343283582089554,0.84,0.7894373196063951,0.9758593333333333,0.008931937448887173,0.0012328910981108784,0.0012617224102146958,376.58256332500014,376.58256332500014,456.74831794299985,6.324641309999606,1.7501855380000961,464.82314479099955,841.4057081159997,validation tuning + train/validation base fit + separate calibration-window sigmoid calibration; shared offline embedding feature prep,"{'colsample_bytree': 0.9787160975551121, 'learning_rate': 0.030310114166357094, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 7.18848093363432, 'n_estimators': 696, 'reg_alpha': 0.05805302225953136, 'reg_lambda': 2.616000600229115, 'scale_pos_weight': 1.0, 'subsample': 0.768836564001532}",
Dummy[Raw],Dummy,baseline,Raw,none,none,sampled,20075,0.0037359900373599006,0.0037359900373599006,101,0.0,0.0,201,0.0,0.0,,0.5,0.025756292319067203,0.003726936382081723,0.0023194614726737943,0.0,0.0,0.11704180299989275,0.0,0.08330514699991909,0.20034694999981184,0.20034694999981184,simple baseline fit on pre-holdout data,,
