Model,Evaluation Window,bin,rows,high_vol_rows,score_min,score_max,mean_score,observed_high_vol_rate,abs_calibration_error
XGBoost[Raw all-history incumbent] Calibration Base,calibration,1,51,8,0.005705252755433321,0.009326321072876453,0.007994478467997968,0.1568627450980392,0.14886826663004124
XGBoost[Raw all-history incumbent] Calibration Base,calibration,2,51,9,0.009339749813079834,0.010934310965240002,0.010128004275554535,0.17647058823529413,0.16634258395973958
XGBoost[Raw all-history incumbent] Calibration Base,calibration,3,51,2,0.010967932641506195,0.012676427140831947,0.01179217916055053,0.0392156862745098,0.027423507113959272
XGBoost[Raw all-history incumbent] Calibration Base,calibration,4,50,0,0.01267907116562128,0.015140317380428314,0.013986208606511355,0.0,0.013986208606511355
XGBoost[Raw all-history incumbent] Calibration Base,calibration,5,50,8,0.015192274004220963,0.018498484045267105,0.016815678607672455,0.16,0.14318432139232756
XGBoost[Raw all-history incumbent] Calibration Base,calibration,6,50,11,0.018561216071248055,0.02184949442744255,0.02015681777149439,0.22,0.1998431822285056
XGBoost[Raw all-history incumbent] Calibration Base,calibration,7,50,6,0.021964309737086296,0.02630871720612049,0.024027376398444177,0.12,0.09597262360155581
XGBoost[Raw all-history incumbent] Calibration Base,calibration,8,50,19,0.02652696520090103,0.03744348883628845,0.031237521581351756,0.38,0.34876247841864827
XGBoost[Raw all-history incumbent] Calibration Base,calibration,9,50,25,0.03747986629605293,0.07274563610553741,0.048607647940516474,0.5,0.4513923520594835
XGBoost[Raw all-history incumbent] Calibration Base,calibration,10,50,24,0.07291780412197113,0.5561063289642334,0.21713629022240638,0.48,0.2628637097775936
XGBoost[Raw all-history incumbent] Calibration Base,holdout,1,158,5,0.005299798212945461,0.011585828848183155,0.00918118569917411,0.03164556962025317,0.022464383921079058
XGBoost[Raw all-history incumbent] Calibration Base,holdout,2,157,12,0.011647596955299377,0.018472231924533844,0.014699708676309722,0.07643312101910828,0.061733412342798555
XGBoost[Raw all-history incumbent] Calibration Base,holdout,3,157,11,0.018540294840931892,0.027356861159205437,0.023005044004719727,0.07006369426751592,0.047058650262796195
XGBoost[Raw all-history incumbent] Calibration Base,holdout,4,157,14,0.027427421882748604,0.03386164829134941,0.030579519891150438,0.08917197452229299,0.05859245463114255
XGBoost[Raw all-history incumbent] Calibration Base,holdout,5,157,13,0.03387733921408653,0.04608139768242836,0.039595831612682646,0.08280254777070063,0.04320671615801799
XGBoost[Raw all-history incumbent] Calibration Base,holdout,6,157,28,0.046137645840644836,0.07001595944166183,0.05679100343755856,0.17834394904458598,0.12155294560702742
XGBoost[Raw all-history incumbent] Calibration Base,holdout,7,157,38,0.07007486373186111,0.10260634124279022,0.08627906109497047,0.24203821656050956,0.1557591554655391
XGBoost[Raw all-history incumbent] Calibration Base,holdout,8,157,38,0.10300781577825546,0.1847182661294937,0.13322793426597193,0.24203821656050956,0.10881028229453762
XGBoost[Raw all-history incumbent] Calibration Base,holdout,9,157,92,0.18690809607505798,0.5483949184417725,0.3448952044461184,0.5859872611464968,0.24109205670037842
XGBoost[Raw all-history incumbent] Calibration Base,holdout,10,157,115,0.5636070370674133,0.9562740325927734,0.8015200552667022,0.732484076433121,0.06903597883358126
XGBoost[Raw all-history incumbent] Calibrated,calibration,1,51,8,0.19066170251711437,0.1934549290536531,0.19242512631111222,0.1568627450980392,0.03556238121307301
XGBoost[Raw all-history incumbent] Calibrated,calibration,2,51,9,0.1934653453943842,0.19470523853315014,0.19407784851192103,0.17647058823529413,0.0176072602766269
XGBoost[Raw all-history incumbent] Calibrated,calibration,3,51,2,0.19473144669790532,0.1960667436198341,0.19537504788471347,0.0392156862745098,0.15615936161020366
XGBoost[Raw all-history incumbent] Calibrated,calibration,4,50,0,0.1960688154481553,0.198004602714088,0.19709571222568967,0.0,0.19709571222568967
XGBoost[Raw all-history incumbent] Calibrated,calibration,5,50,8,0.1980456216637863,0.20066898727659896,0.19933172441031308,0.16,0.039331724410313074
XGBoost[Raw all-history incumbent] Calibrated,calibration,6,50,11,0.20071901368819256,0.20335436991869998,0.2019957459071761,0.22,0.018004254092823913
XGBoost[Raw all-history incumbent] Calibrated,calibration,7,50,6,0.20344685136102877,0.20696919986357157,0.20511609247188475,0.12,0.08511609247188476
XGBoost[Raw all-history incumbent] Calibrated,calibration,8,50,19,0.20714733380125713,0.21620190752812465,0.21103085291957677,0.38,0.16896914708042324
XGBoost[Raw all-history incumbent] Calibrated,calibration,9,50,25,0.2162325540334506,0.24741550480019076,0.22589826316606548,0.5,0.2741017368339345
XGBoost[Raw all-history incumbent] Calibrated,calibration,10,50,24,0.24757490582270122,0.7842226615176845,0.40622306862925023,0.48,0.07377693137074975
XGBoost[Raw all-history incumbent] Calibrated,holdout,1,158,5,0.1903508692740624,0.19521357432705355,0.1933453569310806,0.03164556962025317,0.16169978731082743
XGBoost[Raw all-history incumbent] Calibrated,holdout,2,157,12,0.1952618199778849,0.20064805497773547,0.19766185078611145,0.07643312101910828,0.12122872976700318
XGBoost[Raw all-history incumbent] Calibrated,holdout,3,157,11,0.2007023287625371,0.20782572854877712,0.20429446179646568,0.07006369426751592,0.13423076752894975
XGBoost[Raw all-history incumbent] Calibrated,holdout,4,157,14,0.20788348362414058,0.2131997600531058,0.21048004109493348,0.08917197452229299,0.1213080665726405
XGBoost[Raw all-history incumbent] Calibrated,holdout,5,157,13,0.2132128450002364,0.22356724128524283,0.21803596408981657,0.08280254777070063,0.13523341631911595
XGBoost[Raw all-history incumbent] Calibrated,holdout,6,157,28,0.22361578315160835,0.2448974608134574,0.2329982896496862,0.17834394904458598,0.054654340605100216
