Model,Evaluation Window,Type,Value,Alerts,Precision,Recall
XGBoost[Raw + TabICL embeddings] Calibration Base,holdout,target_recall,0.5,301,0.6079734219269103,0.5
XGBoost[Raw + TabICL embeddings] Calibration Base,holdout,target_recall,0.7,699,0.3676680972818312,0.7021857923497268
XGBoost[Raw + TabICL embeddings] Calibration Base,holdout,target_recall,0.8,1098,0.2668488160291439,0.8005464480874317
XGBoost[Raw + TabICL embeddings] Calibration Base,holdout,target_recall,0.9,1274,0.25902668759811615,0.9016393442622951
XGBoost[Raw + TabICL embeddings] Calibrated,holdout,top_rate,0.05,79,0.8607594936708861,0.18579234972677597
XGBoost[Raw + TabICL embeddings] Calibrated,holdout,top_rate,0.1,158,0.7025316455696202,0.30327868852459017
XGBoost[Raw + TabICL embeddings] Calibrated,holdout,top_rate,0.2,315,0.6031746031746031,0.5191256830601093
XGBoost[Raw + TabICL embeddings] Calibrated,holdout,top_rate,0.3,472,0.4830508474576271,0.6229508196721312
XGBoost[Raw + TabICL embeddings] Calibrated,holdout,target_recall,0.5,301,0.6079734219269103,0.5
XGBoost[Raw + TabICL embeddings] Calibrated,holdout,target_recall,0.7,699,0.3676680972818312,0.7021857923497268
XGBoost[Raw + TabICL embeddings] Calibrated,holdout,target_recall,0.8,1098,0.2668488160291439,0.8005464480874317
XGBoost[Raw + TabICL embeddings] Calibrated,holdout,target_recall,0.9,1274,0.25902668759811615,0.9016393442622951
TabPFN[Direct all-history],holdout,top_rate,0.05,79,0.8354430379746836,0.18032786885245902
TabPFN[Direct all-history],holdout,top_rate,0.1,158,0.7658227848101266,0.33060109289617484
TabPFN[Direct all-history],holdout,top_rate,0.2,315,0.6507936507936508,0.5601092896174863
TabPFN[Direct all-history],holdout,top_rate,0.3,472,0.5572033898305084,0.7185792349726776
TabPFN[Direct all-history],holdout,target_recall,0.5,271,0.6752767527675276,0.5
TabPFN[Direct all-history],holdout,target_recall,0.7,446,0.5762331838565022,0.7021857923497268
TabPFN[Direct all-history],holdout,target_recall,0.8,639,0.458528951486698,0.8005464480874317
TabPFN[Direct all-history],holdout,target_recall,0.9,1061,0.3110273327049953,0.9016393442622951
TabPFN[Direct all-history] Calibration Base,holdout,top_rate,0.05,79,0.7848101265822784,0.16939890710382513
TabPFN[Direct all-history] Calibration Base,holdout,top_rate,0.1,158,0.7468354430379747,0.3224043715846995
TabPFN[Direct all-history] Calibration Base,holdout,top_rate,0.2,315,0.6317460317460317,0.5437158469945356
TabPFN[Direct all-history] Calibration Base,holdout,top_rate,0.3,472,0.5296610169491526,0.6830601092896175
TabPFN[Direct all-history] Calibration Base,holdout,target_recall,0.5,274,0.6678832116788321,0.5
TabPFN[Direct all-history] Calibration Base,holdout,target_recall,0.7,493,0.5212981744421906,0.7021857923497268
TabPFN[Direct all-history] Calibration Base,holdout,target_recall,0.8,659,0.44461305007587254,0.8005464480874317
TabPFN[Direct all-history] Calibration Base,holdout,target_recall,0.9,1090,0.30275229357798167,0.9016393442622951
TabICL[Direct all-history],holdout,top_rate,0.05,79,0.8354430379746836,0.18032786885245902
TabICL[Direct all-history],holdout,top_rate,0.1,158,0.7215189873417721,0.3114754098360656
TabICL[Direct all-history],holdout,top_rate,0.2,315,0.5904761904761905,0.5081967213114754
TabICL[Direct all-history],holdout,top_rate,0.3,472,0.5169491525423728,0.6666666666666666
TabICL[Direct all-history],holdout,target_recall,0.5,305,0.6,0.5
TabICL[Direct all-history],holdout,target_recall,0.7,543,0.4732965009208103,0.7021857923497268
TabICL[Direct all-history],holdout,target_recall,0.8,724,0.4046961325966851,0.8005464480874317
TabICL[Direct all-history],holdout,target_recall,0.9,1065,0.30985915492957744,0.9016393442622951
TabICL[Direct all-history] Calibration Base,holdout,top_rate,0.05,79,0.8734177215189873,0.1885245901639344
TabICL[Direct all-history] Calibration Base,holdout,top_rate,0.1,158,0.7911392405063291,0.34153005464480873
TabICL[Direct all-history] Calibration Base,holdout,top_rate,0.2,315,0.6666666666666666,0.5737704918032787
TabICL[Direct all-history] Calibration Base,holdout,top_rate,0.3,472,0.565677966101695,0.7295081967213115
TabICL[Direct all-history] Calibration Base,holdout,target_recall,0.5,259,0.7065637065637066,0.5
TabICL[Direct all-history] Calibration Base,holdout,target_recall,0.7,435,0.5908045977011495,0.7021857923497268
TabICL[Direct all-history] Calibration Base,holdout,target_recall,0.8,621,0.4718196457326892,0.8005464480874317
TabICL[Direct all-history] Calibration Base,holdout,target_recall,0.9,922,0.3579175704989154,0.9016393442622951
