Months,CAGR,Annualized Volatility,Sharpe,Sortino,Max Drawdown,Average Monthly Return,Annualized Turnover,Average Holdings,Total Transaction Cost,Final Equity,Strategy,Turnover Cap,Constraint Source
75,0.1059785603454444,0.19077675649017894,0.6250819223291698,0.8610930119723736,-0.2899158137397748,0.009937591806883748,4.658567903771811,4.013333333333334,0.01455802469928691,1.8767953810374713,TabPFN[Direct allocation scorer] Calibration Base,0.5,post_score_turnover_cap
75,0.07161113909290973,0.1284713894744848,0.603357815594169,0.9990043994156277,-0.24936998440344116,0.006459518076639406,0.16,2.0,0.0005,1.540751576575174,60/40 SPY/TLT,0.5,post_score_turnover_cap
75,0.0920300227988089,0.19033086814799288,0.5622976026552026,0.6154068494018382,-0.24971563833628774,0.008918549239241656,5.912321189416045,6.653333333333333,0.01847600371692515,1.7336687272458728,XGBoost[GPU allocation scorer],0.5,post_score_turnover_cap
75,0.08336508976557755,0.18269179357053458,0.531818241962685,0.6687005646043256,-0.2505719716786353,0.008096569039807624,5.787588848249977,6.653333333333333,0.018086215150781182,1.6494635774196822,XGBoost[GPU allocation scorer] Calibrated,0.5,post_score_turnover_cap
75,0.08336508976557755,0.18269179357053458,0.531818241962685,0.6687005646043256,-0.2505719716786353,0.008096569039807624,5.787588848249977,6.653333333333333,0.018086215150781182,1.6494635774196822,XGBoost[GPU allocation scorer] Calibration Base,0.5,post_score_turnover_cap
75,0.17288308176952505,0.14046621405497312,1.21117754743228,2.177159028902785,-0.13955138360880703,0.01417746038635,7.440000000000001,3.3066666666666666,0.023250000000000003,2.7092058930301337,Rule[Risk-adjusted momentum top-k],1.0,post_score_turnover_cap
75,0.19431421298323137,0.15913743218826545,1.2006794728208816,2.067599627763482,-0.26811011442005916,0.015922754015489614,9.776163095341422,4.12,0.030550509672941945,3.03383008851087,TabPFN[Direct allocation scorer],1.0,post_score_turnover_cap
75,0.18445089428025252,0.15775435424125667,1.1591558229593404,1.5888210831039564,-0.14356912137284983,0.015238489859661933,4.026666666666666,3.1066666666666665,0.012583333333333332,2.880591176623612,TabICL[Direct allocation scorer] Calibration Base,1.0,post_score_turnover_cap
75,0.15496659985132588,0.13607961461502874,1.1323610914599225,1.7726042045631445,-0.14748222528173904,0.012840938410909965,4.693333333333333,3.026666666666667,0.014666666666666666,2.460701348894842,12M momentum top-k portfolio,1.0,post_score_turnover_cap
75,0.13959586523208012,0.1527621753748208,0.9361197059951089,1.2570058926165586,-0.2529628220031639,0.011916973558254213,6.373333333333332,3.2533333333333334,0.01991666666666667,2.2630435166118703,TabICL[Direct allocation scorer],1.0,post_score_turnover_cap
75,0.15336577081554736,0.17820446790207872,0.8941408068496359,1.2618639113398749,-0.23312895360259178,0.013278323892847896,0.16,1.0,0.0005,2.4394623244516906,SPY only,1.0,post_score_turnover_cap
75,0.131972751767661,0.1523388720517746,0.8932441081054481,1.4796229730591883,-0.14989876064357222,0.011339649991306449,5.40222222222222,3.2266666666666666,0.016881944444444446,2.1700754333087375,Rule[6M momentum top-k],1.0,post_score_turnover_cap
75,0.11659946432334678,0.13969672369863237,0.8627603093155172,1.136313935131854,-0.17812597605045855,0.010043732379049701,0.16,10.0,0.0005,1.9923188536936511,Equal weight universe,1.0,post_score_turnover_cap
75,0.0815484929645578,0.1115141353820557,0.7607424128554181,1.040463017709399,-0.18475965380651926,0.0070694610348359015,1.0432099390991172,10.0,0.003260031059684741,1.6322530099683887,Inverse volatility universe,1.0,post_score_turnover_cap
75,0.06465706427730855,0.0925484755218711,0.7244075327543775,1.134775289451204,-0.2031133544033945,0.00558690106774813,4.16,3.1066666666666665,0.013,1.4793157312052088,Low volatility top-k portfolio,1.0,post_score_turnover_cap
75,0.07161113909290973,0.1284713894744848,0.603357815594169,0.9990043994156277,-0.24936998440344116,0.006459518076639406,0.16,2.0,0.0005,1.540751576575174,60/40 SPY/TLT,1.0,post_score_turnover_cap
75,0.08798108142875338,0.18611454718236184,0.5474193874365243,0.6999871708255496,-0.21365898888850654,0.008490225950966218,9.108492997198878,3.7866666666666666,0.0284640406162465,1.6938829538645386,XGBoost[GPU allocation scorer],1.0,post_score_turnover_cap
75,0.08866685733160384,0.19714665326607098,0.5319130142670044,0.683709871690441,-0.2945419469099103,0.00873873921595065,6.133333333333334,3.16,0.01916666666666667,1.7005670535453767,TabPFN[Direct allocation scorer] Calibration Base,1.0,post_score_turnover_cap
