Model,Evaluation Window,bin,rows,observed_rate,mean_predicted_probability,score_min,score_max
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(0.296, 0.349]",24,0.25,0.3255403737227122,0.2967508137226105,0.3489893078804016
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(0.349, 0.394]",24,0.375,0.3676438642044862,0.34915319085121155,0.3938286304473877
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(0.394, 0.458]",24,0.375,0.4271344157556693,0.39460912346839905,0.455477774143219
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(0.458, 0.499]",24,0.375,0.47539785752693814,0.4607258141040802,0.49838167428970337
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(0.499, 0.59]",24,0.25,0.5445300738016764,0.5018518567085266,0.5900053977966309
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(0.59, 0.66]",24,0.375,0.6193181574344635,0.5914487838745117,0.6599920392036438
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(0.66, 0.797]",24,0.25,0.7114108204841614,0.6603495478630066,0.7966811656951904
XGBoost[GPU allocation scorer] Calibration Base,holdout,"(0.030399999999999996, 0.163]",75,0.17333333333333334,0.11405032167832056,0.03143378719687462,0.16151472926139832
XGBoost[GPU allocation scorer] Calibration Base,holdout,"(0.163, 0.234]",75,0.29333333333333333,0.2001204188664754,0.16274893283843994,0.23412936925888062
XGBoost[GPU allocation scorer] Calibration Base,holdout,"(0.234, 0.282]",75,0.24,0.25965107142925264,0.2342822253704071,0.28188061714172363
XGBoost[GPU allocation scorer] Calibration Base,holdout,"(0.282, 0.331]",75,0.36,0.30753836274147034,0.2820371985435486,0.32970118522644043
XGBoost[GPU allocation scorer] Calibration Base,holdout,"(0.331, 0.374]",75,0.25333333333333335,0.35247432033220927,0.3324738144874573,0.3733062148094177
XGBoost[GPU allocation scorer] Calibration Base,holdout,"(0.374, 0.429]",75,0.41333333333333333,0.40048882285753884,0.3737010359764099,0.4292810261249542
XGBoost[GPU allocation scorer] Calibration Base,holdout,"(0.429, 0.48]",75,0.3333333333333333,0.4539582856496175,0.42978349328041077,0.47952812910079956
XGBoost[GPU allocation scorer] Calibration Base,holdout,"(0.48, 0.537]",75,0.25333333333333335,0.5043867568174998,0.4795941412448883,0.5367982387542725
XGBoost[GPU allocation scorer] Calibration Base,holdout,"(0.537, 0.61]",75,0.32,0.5739735102653504,0.53708815574646,0.6102675199508667
XGBoost[GPU allocation scorer] Calibration Base,holdout,"(0.61, 0.864]",75,0.36,0.6791659379005432,0.6108891367912292,0.8637189865112305
XGBoost[GPU allocation scorer] Calibrated,calibration,"(0.26, 0.271]",24,0.25,0.2666986205677259,0.26110758130773654,0.2711157902977592
XGBoost[GPU allocation scorer] Calibrated,calibration,"(0.271, 0.279]",24,0.16666666666666666,0.2746366169393283,0.27140425941584606,0.2785912212052294
XGBoost[GPU allocation scorer] Calibrated,calibration,"(0.279, 0.287]",24,0.3333333333333333,0.2829032463318428,0.2788829008425072,0.28693786812440597
XGBoost[GPU allocation scorer] Calibrated,calibration,"(0.287, 0.293]",24,0.25,0.29051259662434253,0.2871338098043069,0.29327495807566584
XGBoost[GPU allocation scorer] Calibrated,calibration,"(0.293, 0.299]",24,0.375,0.2954884853853415,0.2932943446747628,0.29860705821606237
XGBoost[GPU allocation scorer] Calibrated,calibration,"(0.299, 0.306]",24,0.375,0.3026078177119172,0.29870036288633806,0.30602811449189565
XGBoost[GPU allocation scorer] Calibrated,calibration,"(0.306, 0.311]",24,0.375,0.30844947951065027,0.30666459681814046,0.31125303652677094
XGBoost[GPU allocation scorer] Calibrated,calibration,"(0.311, 0.323]",24,0.25,0.3169377078467348,0.3116777751740615,0.32257242760065247
XGBoost[GPU allocation scorer] Calibrated,calibration,"(0.323, 0.331]",24,0.375,0.32624420118963277,0.322752468023478,0.3313620438745814
XGBoost[GPU allocation scorer] Calibrated,calibration,"(0.331, 0.349]",24,0.25,0.3379128652907093,0.3314072533259899,0.34886817051890107
XGBoost[GPU allocation scorer] Calibrated,holdout,"(0.256, 0.272]",75,0.17333333333333334,0.2662871707611509,0.2571621614094884,0.27159815971238743
XGBoost[GPU allocation scorer] Calibrated,holdout,"(0.272, 0.28]",75,0.29333333333333333,0.2759842261530251,0.2717375358613361,0.2798742223405539
XGBoost[GPU allocation scorer] Calibrated,holdout,"(0.28, 0.285]",75,0.24,0.28282206569536855,0.2798918054770304,0.28539978014670664
XGBoost[GPU allocation scorer] Calibrated,holdout,"(0.285, 0.291]",75,0.36,0.28839789623736606,0.28541800647664833,0.29099850982662623
XGBoost[GPU allocation scorer] Calibrated,holdout,"(0.291, 0.296]",75,0.25333333333333335,0.2936893240460834,0.2913251030924898,0.29615971046294975
XGBoost[GPU allocation scorer] Calibrated,holdout,"(0.296, 0.303]",75,0.41333333333333333,0.29940748490207414,0.2962066841248488,0.30286205722383713
XGBoost[GPU allocation scorer] Calibrated,holdout,"(0.303, 0.309]",75,0.3333333333333333,0.3058467020556386,0.30292260940059784,0.3089509855867148
XGBoost[GPU allocation scorer] Calibrated,holdout,"(0.309, 0.316]",75,0.25333333333333335,0.3119920848122215,0.30895902935116354,0.31597268120764566
XGBoost[GPU allocation scorer] Calibrated,holdout,"(0.316, 0.325]",75,0.32,0.3205828959440378,0.3160084450209295,0.32510461675743546
XGBoost[GPU allocation scorer] Calibrated,holdout,"(0.325, 0.358]",75,0.36,0.3338259692631083,0.3251824640032402,0.3576089342979297
TabPFN[Direct allocation scorer],holdout,"(0.126, 0.173]",75,0.24,0.14487020492553712,0.12744140625,0.1689453125
TabPFN[Direct allocation scorer],holdout,"(0.173, 0.226]",75,0.14666666666666667,0.1926945600907008,0.17352546751499176,0.2120102494955063
TabPFN[Direct allocation scorer],holdout,"(0.226, 0.297]",75,0.2,0.2627530630429586,0.22930403053760529,0.29638671875
TabPFN[Direct allocation scorer],holdout,"(0.297, 0.304]",75,0.29333333333333333,0.30166223684946697,0.29736328125,0.30419921875
TabPFN[Direct allocation scorer],holdout,"(0.304, 0.31]",76,0.27631578947368424,0.3071513579864251,0.30434781312942505,0.31005859375
TabPFN[Direct allocation scorer],holdout,"(0.31, 0.321]",75,0.3333333333333333,0.31512380997339884,0.31103515625,0.3209575116634369
TabPFN[Direct allocation scorer],holdout,"(0.321, 0.332]",80,0.3625,0.3283567432314157,0.32177734375,0.33203125
TabPFN[Direct allocation scorer],holdout,"(0.332, 0.338]",80,0.3125,0.3357794638723135,0.3321942985057831,0.33756718039512634
TabPFN[Direct allocation scorer],holdout,"(0.338, 0.342]",69,0.36231884057971014,0.33998049169346906,0.337890625,0.341796875
TabPFN[Direct allocation scorer],holdout,"(0.342, 0.367]",70,0.4857142857142857,0.3525765768119267,0.34261295199394226,0.36669921875
TabPFN[Direct allocation scorer] Calibration Base,calibration,"(0.1159, 0.1738]",24,0.25,0.1271185331667463,0.11599511653184891,0.13368330895900726
TabPFN[Direct allocation scorer] Calibration Base,calibration,"(0.1738, 0.2194]",24,0.125,0.18954588597019514,0.17822265625,0.20195360481739044
TabPFN[Direct allocation scorer] Calibration Base,calibration,"(0.2194, 0.2996]",24,0.3333333333333333,0.22870336969693503,0.22382231056690216,0.24627776443958282
TabPFN[Direct allocation scorer] Calibration Base,calibration,"(0.2996, 0.326]",30,0.43333333333333335,0.3249014010032018,0.3224310576915741,0.32600733637809753
TabPFN[Direct allocation scorer] Calibration Base,calibration,"(0.326, 0.3276]",20,0.2,0.3273507788777351,0.3268197476863861,0.32763671875
TabPFN[Direct allocation scorer] Calibration Base,calibration,"(0.3276, 0.3286]",30,0.23333333333333334,0.3283411165078481,0.3277967870235443,0.32861328125
TabPFN[Direct allocation scorer] Calibration Base,calibration,"(0.3286, 0.3294]",19,0.15789473684210525,0.32936689257621765,0.3292653262615204,0.3294261395931244
TabPFN[Direct allocation scorer] Calibration Base,calibration,"(0.3294, 0.3311]",27,0.4074074074074074,0.3304277868182571,0.32958984375,0.3310546875
TabPFN[Direct allocation scorer] Calibration Base,calibration,"(0.3311, 0.3354]",18,0.3888888888888889,0.3327636967102687,0.33203125,0.33463606238365173
TabPFN[Direct allocation scorer] Calibration Base,calibration,"(0.3354, 0.3506]",24,0.4166666666666667,0.34594787160555523,0.3427734375,0.3505859375
TabPFN[Direct allocation scorer] Calibration Base,holdout,"(0.1197, 0.1704]",75,0.24,0.12737852642933528,0.1198485866189003,0.1418110877275467
TabPFN[Direct allocation scorer] Calibration Base,holdout,"(0.1704, 0.2184]",75,0.14666666666666667,0.19085642178853354,0.17352546751499176,0.20595775544643402
TabPFN[Direct allocation scorer] Calibration Base,holdout,"(0.2184, 0.2972]",75,0.2,0.2287093222141266,0.22148962318897247,0.23995603621006012
TabPFN[Direct allocation scorer] Calibration Base,holdout,"(0.2972, 0.3268]",95,0.3473684210526316,0.3256974075969897,0.32177734375,0.3268197476863861
