Months,CAGR,Annualized Volatility,Sharpe,Sortino,Max Drawdown,Average Monthly Return,Annualized Turnover,Average Holdings,Total Transaction Cost,Final Equity,Strategy,Base Transaction Cost Bps,Tax Drag Bps Per Turnover
75,0.07143640166251153,0.12850289827472208,0.6019643222205702,0.998064186054422,-0.2493699522382723,0.0064461800052768295,0.16,2.0,0.0015,1.5391820254226096,60/40 SPY/TLT,5.0,10.0
75,0.08177997328413111,0.1694192299512729,0.5533863387534519,0.61402737670232,-0.22591812556144764,0.00781285728143034,14.671288925055224,5.0,0.1375433336723927,1.6344376484187644,XGBoost[GPU allocation scorer] | inverse-vol capped top-k,5.0,10.0
75,0.06680748387775748,0.13458767691091583,0.5484383110468644,0.9349121788224009,-0.18210105112795627,0.0061510865177286465,8.928342032869468,5.0,0.08370320655815126,1.4980897604560808,Rule[6M momentum top-k] | inverse-vol capped top-k,5.0,10.0
75,0.07111864548505409,0.17888332165764484,0.4787414393749298,0.5079244855532138,-0.2425423584845645,0.007136571574212455,11.68,5.0,0.1095,1.5363312728889251,XGBoost[GPU allocation scorer] Calibrated,5.0,10.0
75,0.07111864548505409,0.17888332165764484,0.4787414393749298,0.5079244855532138,-0.2425423584845645,0.007136571574212455,11.68,5.0,0.1095,1.5363312728889251,XGBoost[GPU allocation scorer] Calibration Base,5.0,10.0
75,0.025436053952879956,0.06279816353170611,0.4313237428369271,0.7181355398853029,-0.1124605669352935,0.002257194911481742,1.952,5.0,0.018299999999999997,1.169980554810216,Low volatility top-k portfolio,5.0,10.0
75,0.04656521524873014,0.16615542796869942,0.36204830464728166,0.37283904736352774,-0.23892015189839655,0.005013024250334263,13.01653924283956,5.0,0.1220300554016209,1.3290439714477245,XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,5.0,10.0
75,0.04656521524873014,0.16615542796869942,0.36204830464728166,0.37283904736352774,-0.23892015189839655,0.005013024250334263,13.01653924283956,5.0,0.1220300554016209,1.3290439714477245,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k,5.0,10.0
75,0.15007785611540436,0.14863923544427393,1.0192129893251043,1.6914819492664437,-0.1439380655201311,0.01262458662401304,5.4719999999999995,5.0,0.1026,2.396322466586711,12M momentum top-k portfolio,5.0,25.0
75,0.15092741368765306,0.16097540630131765,0.9598309249404943,1.1253340989885265,-0.17645156897122138,0.012875764426905467,7.648,5.0,0.14340000000000003,2.407407398892068,TabPFN[Direct allocation scorer] Calibration Base,5.0,25.0
75,0.13221354555185738,0.14785730508188408,0.9179585931904716,1.194103659827962,-0.15128101511853043,0.01131057364715839,9.097768934972137,5.0,0.17058316753072758,2.1729621665850525,TabPFN[Direct allocation scorer] Calibration Base | inverse-vol capped top-k,5.0,25.0
75,0.15286467020085337,0.17841529356317573,0.890842118556204,1.2551496982203336,-0.23312890167018874,0.013244988175053879,0.16,1.0,0.003,2.432845696299783,SPY only,5.0,25.0
75,0.11176305767955586,0.13685494589428307,0.8461288654633117,1.1279355890658924,-0.16752143615502257,0.009649743341881054,0.16,25.0,0.003,1.9389941260040786,Equal weight universe,5.0,25.0
75,0.14239624808456153,0.18462433935653044,0.8195027647468196,0.9682608639393071,-0.21324395830698217,0.012608346378519314,6.944,5.0,0.1302,2.2980252731097304,TabPFN[Direct allocation scorer],5.0,25.0
75,0.140892602857825,0.18297629963065287,0.817127798784456,0.9914340735985333,-0.20668726989236075,0.012459585078910039,8.597889999909055,5.0,0.1612104374982948,2.279186044563027,TabPFN[Direct allocation scorer] | inverse-vol capped top-k,5.0,25.0
75,0.12022657589816332,0.1537207818744453,0.8170606001558582,1.374295615381112,-0.16292398766883054,0.010466599524563506,9.632,5.0,0.1806,2.0331138411850973,Rule[Risk-adjusted momentum top-k],5.0,25.0
75,0.09835068079543086,0.13996538495995753,0.7410829203816905,1.258428358011373,-0.18122962019796784,0.008643829686539407,11.102953584618515,5.0,0.20818037971159714,1.7973447904919808,Rule[Risk-adjusted momentum top-k] | inverse-vol capped top-k,5.0,25.0
75,0.06139680990199059,0.09184190228806646,0.6962643436077968,0.9318711019699709,-0.14423496966224603,0.005328853484357667,1.1787420634238985,25.0,0.02210141368919809,1.4512295484536037,Inverse volatility universe,5.0,25.0
75,0.07117412010624058,0.12855237131677844,0.5998657144433176,0.9965152891839051,-0.24936995223827285,0.006426180005276829,0.16,2.0,0.003,1.5368286441619228,60/40 SPY/TLT,5.0,25.0
75,0.07985354586308357,0.15051486765866046,0.5867712403131412,0.8675841016755651,-0.15984421847817032,0.007359816298470043,7.392,5.0,0.1386,1.6163312396344756,Rule[6M momentum top-k],5.0,25.0
75,0.07356805846995207,0.1789390239907329,0.4908581303003233,0.5586287100809324,-0.23575030964119792,0.0073194728961546544,13.536000000000001,5.0,0.25379999999999997,1.558421334349546,XGBoost[GPU allocation scorer],5.0,25.0
75,0.05262949303153275,0.13490023855664865,0.4478904248791758,0.6846337240361742,-0.20345869600034605,0.005035043763619962,8.928342032869468,5.0,0.16740641311630253,1.3779139220507781,Rule[6M momentum top-k] | inverse-vol capped top-k,5.0,25.0
75,0.058277105833650644,0.16971225873389378,0.42275881851339936,0.46910262176048245,-0.228460867370598,0.005978946165798441,14.671288925055224,5.0,0.2750866673447854,1.4247749009451405,XGBoost[GPU allocation scorer] | inverse-vol capped top-k,5.0,25.0
75,0.022440058404386676,0.0628492665256451,0.3843853758885682,0.6409789664510448,-0.11407357716160293,0.002013194911481742,1.952,5.0,0.036599999999999994,1.1487793041175929,Low volatility top-k portfolio,5.0,25.0
75,0.052592366053946904,0.17879575724911512,0.38098699845343564,0.4035088001649424,-0.24434235848456454,0.005676571574212457,11.68,5.0,0.219,1.3776102002557307,XGBoost[GPU allocation scorer] Calibrated,5.0,25.0
75,0.052592366053946904,0.17879575724911512,0.38098699845343564,0.4035088001649424,-0.24434235848456454,0.005676571574212457,11.68,5.0,0.219,1.3776102002557307,XGBoost[GPU allocation scorer] Calibration Base,5.0,25.0
75,0.02635507045791452,0.1661704466014702,0.24451689798486903,0.2526831736294631,-0.24102458844149577,0.003385956844979318,13.01653924283956,5.0,0.2440601108032418,1.176549493312854,XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,5.0,25.0
