month,benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][TabPFN direct],benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][TabPFN direct] Calibration Base,benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost light] Calibrated,benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost light] Calibration Base,benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost searched],benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost searched] Calibrated,benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost searched] Calibration Base
2020-12,0.022354177148474853,0.012235300543200813,-0.00013029688547514656,-0.003517761737926884,-0.003517761737926884,-0.010302178749926361,-0.008574263698281093,-0.008574263698281093
2021-01,-0.024501464436106485,-0.0046430946164699016,-0.05518521886877337,-0.045483438275119754,-0.045483438275119754,-0.03428297894246648,-0.01434714666588224,-0.01434714666588224
2021-02,-0.008664460707984144,-0.02232993723074055,-0.028027886533584453,-0.02864921769573501,-0.02864921769573501,0.008389477242236244,-0.028280975511466803,-0.028280975511466803
2021-03,-0.015209091360261828,-0.025878280685833224,0.0020365108430730147,0.004532279078171265,0.004532279078171265,-0.0015192802718352106,0.014635339641753254,0.014635339641753254
2021-04,-0.0154270675503412,0.015381193577487753,0.006743851470995832,0.012274508640717042,0.012274508640717042,0.023392570549490264,0.01844978586081201,0.01844978586081201
2021-05,-0.025621712539003028,-0.03622514623622688,-0.026426233564629278,-0.018226646234288626,-0.018226646234288626,-0.004581828989129667,-0.0006032089006617002,-0.0006032089006617002
2021-06,-0.004309832120399683,0.006164881962608026,-0.010855748874298122,0.004144202899923788,0.004144202899923788,-0.010032416740583416,0.004365774172364256,0.004365774172364256
2021-07,0.0017087595513477715,-0.008840440103981174,-0.00804680195849814,-0.014129515913173908,-0.014129515913173908,-0.011222701278852632,-0.003059205375438579,-0.003059205375438579
2021-08,-0.004853415600410285,-0.0014695348328609865,0.02451156487366994,0.020651427118799744,0.020651427118799744,0.0026751233808510744,0.008323857895852417,0.008323857895852417
2021-09,0.017520006444652438,0.017411849869277907,-0.00663890720984699,0.006004872563872699,0.006004872563872699,0.0029873306653147146,-0.010233675962940005,-0.010233675962940005
2021-10,0.010931734065039913,-0.03360359838287468,-0.023754413357799823,-0.023754413357799823,-0.023754413357799823,-0.0177298315597205,-0.022751609631582317,-0.022751609631582317
2021-11,-0.02570674325711968,-0.022593167580142206,0.04415976781565925,0.02018824200870415,0.02018824200870415,0.026982308811136103,0.02820179536925225,0.02820179536925225
2021-12,-0.0065601467945786375,0.031203244185670134,0.031010710786538474,0.035202175886631215,0.035202175886631215,0.031010710786538474,0.013372748578902582,0.013372748578902582
2022-01,0.030015303722673116,0.00346949073335896,-0.0018655070051344599,0.005072586595040396,0.005072586595040396,0.02709715517680942,0.007706458095397694,0.007706458095397694
2022-02,0.0035870328268266414,-0.004741533330975667,0.005654372385238737,-0.027337631485353578,-0.027337631485353578,-0.019672098253534644,-0.010647148998039403,-0.010647148998039403
2022-03,0.05265876180948715,0.05265876180948715,0.07846188242222972,0.062268983844013234,0.062268983844013234,0.05526168670951939,0.03878052152031617,0.03878052152031617
2022-04,-0.0014730501832102669,-0.018269165842279913,0.011940453030746402,0.014675285839555574,0.014675285839555574,-0.01346594005239925,-0.0017416272451328246,-0.0017416272451328246
2022-05,0.018335282354990847,0.008019791620429874,0.00275743056459159,0.00474034894868065,0.00474034894868065,-0.006975519308368261,-0.0075813287048995155,-0.0075813287048995155
2022-06,0.03813283566301187,0.01157335294709192,0.02296421602940995,0.02198381483710166,0.02198381483710166,0.03740821090670315,0.03111047054787624,0.03111047054787624
2022-07,0.00935075543815531,-0.011075173722775934,-0.002818263624646166,0.007040743993727007,0.007040743993727007,0.002678768976304724,-0.00035427290812453096,-0.00035427290812453096
2022-08,-0.0020196975108463856,-0.0020196975108463856,-0.00935247598023501,-0.005079955211465892,-0.005079955211465892,-0.023429427160031737,-0.021123171636741045,-0.021123171636741045
2022-09,-0.0007726012034540829,0.0068719030579562634,0.0015381594590684784,0.004736701135346567,0.004736701135346567,0.00468390108713832,0.0031048840556997526,0.0031048840556997526
2022-10,-0.02478106154490294,-0.0033469752392497384,0.008153151847902019,0.020818116267479387,0.020818116267479387,0.018606574065819986,0.010851329587942484,0.010851329587942484
2022-11,-0.005347175570890396,0.015185394819980935,0.006773755938052028,0.0053225368698941004,0.0053225368698941004,0.012549409646461583,0.019581202415613497,0.019581202415613497
2022-12,0.008359292673803576,-0.022372854786078956,0.019539806072323463,-0.03189607966199451,-0.03189607966199451,0.038723953552367046,-0.028306932896531987,-0.028306932896531987
2023-01,-0.0021281806704260163,-0.02013813471789714,-0.02772375782505845,-0.01638108638326439,-0.01638108638326439,-0.022264355313699594,-0.019504414329726695,-0.019504414329726695
2023-02,-0.026857159739933217,0.004207100695190168,0.03448167235875172,-0.013875053245386916,-0.013875053245386916,-0.01752979282410445,-0.007397735795681771,-0.007397735795681771
2023-03,-0.012000676331467751,-0.026572743700033354,-0.012902866655453059,-0.012902866655453059,-0.012902866655453059,-0.011081822502762639,-0.02018713789995914,-0.02018713789995914
2023-04,0.015513323592173878,-0.029821347269074174,-0.024524600361671686,-0.05172373952016973,-0.05172373952016973,-0.02575777009893179,-0.03630577735133687,-0.03630577735133687
2023-05,0.015111806097772363,0.01666078972489098,0.004434527684279831,-0.012928782073029856,-0.012928782073029856,-0.010564134578978378,0.0016638761324510036,0.0016638761324510036
2023-06,0.008007351451724442,0.009438283346935618,-0.010164311606227328,-0.0046384912795480295,-0.0046384912795480295,0.0028584165591489796,0.005435916248837589,0.005435916248837589
2023-07,-0.013245786138331607,-0.01566100624482705,-0.004185208797383887,-0.004012572388072533,-0.004012572388072533,-0.013430386856667755,-0.013854840059137133,-0.013854840059137133
2023-08,0.011048817118210175,0.005482718211054661,0.0010930585854103557,-0.020001963727399,-0.020001963727399,0.009196798120726647,-0.007548709469939954,-0.007548709469939954
2023-09,-0.01836664608609833,-0.01836664608609833,-0.00975476749007711,-0.012513324627267399,-0.012513324627267399,-0.0030886183399181375,-0.0030886183399181375,-0.0030886183399181375
2023-10,0.019349280208311857,0.013336391824909376,0.022629530034990575,0.016889176293919617,0.016889176293919617,0.005480235381973397,0.004848521241957603,0.004848521241957603
2023-11,0.020045737717625033,0.02192742000561241,-0.0011174846098039645,0.009906171734054059,0.009906171734054059,-0.0019922394887176512,-0.009856880865835874,-0.009856880865835874
2023-12,-0.03723427718477821,-0.02728595048662064,-0.04142216818950327,-0.03590272253180571,-0.03590272253180571,-0.04077217156718811,-0.03590272253180571,-0.03590272253180571
2024-01,-0.01012200405118393,-0.0020742173541060003,-0.003123864010072896,-0.0022839647236630786,-0.0022839647236630786,-0.005160328919988144,-0.012888448343618155,-0.012888448343618155
2024-02,-0.019791154897712417,0.0039828584403808435,-0.017053425756241317,-0.012753303388499983,-0.012753303388499983,0.0009479516163314991,0.021297655911424275,0.021297655911424275
2024-03,-0.005255851957180568,0.009762435914728342,-0.013375728437079971,0.005891796101828306,0.005891796101828306,0.013933228861190415,0.0237280205354905,0.0237280205354905
2024-04,-0.013156220441595591,-0.0067419263169083985,-0.012500616224004179,-0.022432987664363947,-0.022432987664363947,-0.01683476726451727,-0.021959159740923974,-0.021959159740923974
2024-05,-0.008537990617076432,-0.026573480983148757,-0.014602359588166226,-0.02174543429938547,-0.02174543429938547,-0.024716739022461656,-0.01751855032611942,-0.01751855032611942
2024-06,0.0071848628960393245,0.009544486424522481,0.004366100038117505,0.019441114452650912,0.019441114452650912,0.03521586992022798,0.039914133124465366,0.039914133124465366
2024-07,-0.01483828426869347,-0.01483828426869347,-0.009002835883957028,-0.013330067900144706,-0.013330067900144706,-0.0005592787843650806,0.0024391181024916875,0.0024391181024916875
2024-08,0.012384935108143936,0.014121206745067295,0.022605671689107168,0.024344729067196758,0.024344729067196758,0.02641229260879641,0.010739537174155303,0.010739537174155303
2024-09,0.0176614660481921,0.0021376727450460823,-0.01346061374472003,0.0001298510043321148,0.0001298510043321148,-0.013468309876814534,-0.002636870940187808,-0.002636870940187808
2024-10,-0.008062422674084281,-0.005306535859724406,-0.008255851977584208,-0.01410023325798915,-0.01410023325798915,-0.03155172949527729,-0.002957793974911983,-0.002957793974911983
2024-11,-0.004391315571353017,-0.03993304454287636,-0.0034198792087918326,-0.022332260054299228,-0.022332260054299228,-0.03396202862300495,-0.013049182998949797,-0.013049182998949797
2024-12,-0.003212396016735751,-0.003212396016735751,0.010134150508830667,0.020007155598751773,0.020007155598751773,0.0018861573123885715,0.003809134085205447,0.003809134085205447
2025-01,-0.011565609067003279,-0.011565609067003279,0.012631373082365994,-0.0038974629138147417,-0.0038974629138147417,0.01650597050651088,0.005243104271035916,0.005243104271035916
2025-02,0.0004556527854156405,-0.01548020579402638,-0.008952855399156533,-0.0067578453530048105,-0.0067578453530048105,0.00027736043897406276,0.00027736043897406276,0.00027736043897406276
2025-03,0.009614649366802364,-0.028259655379539034,-0.008177237836670435,-0.001896353734531519,-0.001896353734531519,-0.0245639788315136,-0.012729078557460352,-0.012729078557460352
2025-04,-0.049845602553661175,-0.04374257454358084,-0.019990050858190105,-0.03137238696929683,-0.03137238696929683,-0.03924245890108875,-0.03521608832027539,-0.03521608832027539
2025-05,-0.002977296339637148,-0.004689569173747587,-0.010682067817465857,-0.03098576632488572,-0.03098576632488572,-0.02597065329106441,-0.004306879816972043,-0.004306879816972043
2025-06,-0.009981762082817801,0.00035225420795565983,0.0008253255138499951,-0.00718399167965207,-0.00718399167965207,0.005437644638999695,0.0010991886078576267,0.0010991886078576267
2025-07,0.025933895989257973,0.014868739144017453,0.009712163864784684,0.0037106683891701357,0.0037106683891701357,0.0132955989974072,0.00262756582692163,0.00262756582692163
2025-08,0.010340446696668958,0.004064674197641649,0.0013954711651235283,0.003771810205128113,0.003771810205128113,-0.019270038108006426,-0.0031408330201346145,-0.0031408330201346145
2025-09,-0.009485681112578127,0.0009093540971175876,-0.025836468496092137,-0.02477591996190356,-0.02477591996190356,-0.029341194262844563,-0.0378930204536099,-0.0378930204536099
2025-10,-0.019590112202382003,-0.013524256733282615,0.011102655396480476,-0.018382704683642316,-0.018382704683642316,0.004385716433344022,-0.004365264218008558,-0.004365264218008558
2025-11,-1.5663371656793193e-05,0.010196178058318052,-0.0037458165483927443,0.05748816762314551,0.05748816762314551,-0.007219345475711636,-0.00036325011216462575,-0.00036325011216462575
2025-12,0.020212348635719392,0.024956671676256283,0.03264106683962516,-0.0029039673155286444,-0.0029039673155286444,0.004168042925445703,0.002280066324137109,0.002280066324137109
2026-01,-0.005361744904274524,0.04406179602319604,0.013617412021492092,0.015198095837935834,0.015198095837935834,0.01626127775362125,-0.006450570187140659,-0.006450570187140659
2026-02,0.019446177880731243,-0.0028772268921467116,-0.0018153704713285586,0.001554785641374945,0.001554785641374945,-0.0035874096031633714,0.004186983988229164,0.004186983988229164
2026-03,0.006262910875864239,0.026872907287880835,-0.05530346929485326,-0.028077858964043887,-0.028077858964043887,-0.04160261797592958,-0.027414208752699554,-0.027414208752699554
