trial,params,mean_test_score,std_test_score,fold_scores,mean_best_iteration,max_best_iteration,fold_best_iterations,early_stopping_rounds,errors
124,"{""colsample_bylevel"": 0.6029206050183842, ""colsample_bytree"": 0.5115557906687503, ""gamma"": 0.0005008415990810846, ""learning_rate"": 0.0038127863528856446, ""max_bin"": 638, ""max_delta_step"": 10, ""max_depth"": 5, ""min_child_weight"": 0.07321715906214595, ""n_estimators"": 2566, ""reg_alpha"": 0.00037403155156243194, ""reg_lambda"": 0.21129446596198387, ""scale_pos_weight"": 3.977777777777778, ""subsample"": 0.6922702472395378}",0.27210634772631775,0.031230077391978767,"[0.29799910651143924, 0.2414330407711912, 0.24447368931487443, 0.31294886908841213, 0.2976693468124012, 0.23811403385958826]",76.83333333333333,229.0,"[3, 5, 229, 55, 101, 68]",75,
125,"{""colsample_bylevel"": 0.7536174043441962, ""colsample_bytree"": 0.47286507247771564, ""gamma"": 8.604288403949256e-05, ""learning_rate"": 0.18907955001332416, ""max_bin"": 343, ""max_delta_step"": 3, ""max_depth"": 4, ""min_child_weight"": 0.05684037537619748, ""n_estimators"": 616, ""reg_alpha"": 0.29774163212814375, ""reg_lambda"": 52.09873202136966, ""scale_pos_weight"": 3.977777777777778, ""subsample"": 0.664401060953872}",0.2599194149064923,0.04491023494449517,"[0.2276193435677666, 0.213494798260835, 0.22541541238568766, 0.30771954836923576, 0.3331750833280098, 0.25209230352741896]",17.0,45.0,"[13, 16, 20, 3, 5, 45]",75,
126,"{""colsample_bylevel"": 0.7608650233181066, ""colsample_bytree"": 0.6384594184665034, ""gamma"": 0.022578320815293308, ""learning_rate"": 0.005087006554411248, ""max_bin"": 765, ""max_delta_step"": 10, ""max_depth"": 5, ""min_child_weight"": 9.054234068566862, ""n_estimators"": 1291, ""reg_alpha"": 0.5176390521228638, ""reg_lambda"": 117.88859588759388, ""scale_pos_weight"": 1.0, ""subsample"": 0.8788732636918943}",0.2517647205063801,0.027666573164033766,"[0.2590305208947477, 0.23497066758158797, 0.20778076920675873, 0.28375086734984867, 0.2856406937336786, 0.23941480427165882]",77.16666666666667,169.0,"[10, 16, 98, 137, 33, 169]",75,
127,"{""colsample_bylevel"": 0.5780819223960869, ""colsample_bytree"": 0.5790087113341558, ""gamma"": 11.751066658446872, ""learning_rate"": 0.00876550732072242, ""max_bin"": 320, ""max_delta_step"": 1, ""max_depth"": 4, ""min_child_weight"": 7.72998524413779, ""n_estimators"": 2561, ""reg_alpha"": 0.0005117183995958179, ""reg_lambda"": 38.72850622734364, ""scale_pos_weight"": 3.977777777777778, ""subsample"": 0.8067743859874734}",0.26625014231141947,0.028932047187754398,"[0.25890408444814506, 0.2590683024324628, 0.23453533514905747, 0.2796082295379453, 0.32264160764377303, 0.24274329465713326]",18.0,59.0,"[59, 5, 7, 7, 21, 9]",75,
128,"{""colsample_bylevel"": 0.5151935298484185, ""colsample_bytree"": 0.9620217825288377, ""gamma"": 0.22117128493614321, ""learning_rate"": 0.05140672447009522, ""max_bin"": 274, ""max_delta_step"": 10, ""max_depth"": 9, ""min_child_weight"": 6.1037761714217735, ""n_estimators"": 1409, ""reg_alpha"": 0.17166330072230074, ""reg_lambda"": 0.63838466905628, ""scale_pos_weight"": 1.0, ""subsample"": 0.7331085823252919}",0.2644156001770599,0.03452006605405448,"[0.27527835980006954, 0.2717544441168358, 0.21917794618089642, 0.2817403312287776, 0.3171471675778268, 0.22139535215795322]",77.33333333333333,239.0,"[5, 49, 40, 49, 239, 82]",75,
129,"{""colsample_bylevel"": 0.9353767251686296, ""colsample_bytree"": 0.8803120162320505, ""gamma"": 0.03739266928721849, ""learning_rate"": 0.06667840800964848, ""max_bin"": 451, ""max_delta_step"": 1, ""max_depth"": 6, ""min_child_weight"": 14.14924752057189, ""n_estimators"": 2067, ""reg_alpha"": 0.4711440370785738, ""reg_lambda"": 32.20685363348641, ""scale_pos_weight"": 1.994436706886879, ""subsample"": 0.9450510215685974}",0.25363869026550917,0.02865823949636953,"[0.20962258405014444, 0.2708878630429339, 0.2396066857724574, 0.26148513899805365, 0.3008673282539275, 0.23936254147553834]",41.5,90.0,"[65, 5, 2, 8, 79, 90]",75,
130,"{""colsample_bylevel"": 0.6585978583826992, ""colsample_bytree"": 0.9278953440473141, ""gamma"": 0.0023287460306277642, ""learning_rate"": 0.010437193124564826, ""max_bin"": 582, ""max_delta_step"": 0, ""max_depth"": 6, ""min_child_weight"": 0.548254175576391, ""n_estimators"": 1110, ""reg_alpha"": 0.08791692535001916, ""reg_lambda"": 1.0513212521506667, ""scale_pos_weight"": 1.0, ""subsample"": 0.7519121301801388}",0.26639920307273185,0.024131889973478846,"[0.26449454695054425, 0.2969886257247515, 0.2358474491629713, 0.2693195233227342, 0.294264925552967, 0.23748014772242299]",52.333333333333336,189.0,"[53, 3, 23, 189, 4, 42]",75,
131,"{""colsample_bylevel"": 0.6187720654371638, ""colsample_bytree"": 0.655288485396137, ""gamma"": 0.0002704162204705823, ""learning_rate"": 0.004079659713559869, ""max_bin"": 994, ""max_delta_step"": 1, ""max_depth"": 3, ""min_child_weight"": 1.527778985073905, ""n_estimators"": 1426, ""reg_alpha"": 0.06259586638639654, ""reg_lambda"": 101.71296806650041, ""scale_pos_weight"": 1.994436706886879, ""subsample"": 0.765631844933379}",0.25131811443232194,0.026511480020653098,"[0.22917942488795878, 0.24890738439107093, 0.2120050565071508, 0.2619078291155949, 0.29590673850681926, 0.2600022531853369]",42.666666666666664,110.0,"[62, 12, 110, 2, 36, 34]",75,
132,"{""colsample_bylevel"": 0.5128210329032179, ""colsample_bytree"": 0.637686305194386, ""gamma"": 0.002486703457457575, ""learning_rate"": 0.016015393392709597, ""max_bin"": 420, ""max_delta_step"": 5, ""max_depth"": 5, ""min_child_weight"": 4.433746510880617, ""n_estimators"": 1343, ""reg_alpha"": 0.07012932664888448, ""reg_lambda"": 19.767303555879646, ""scale_pos_weight"": 3.977777777777778, ""subsample"": 0.7845553596184005}",0.2635797273052774,0.03399896653687888,"[0.2485473705153203, 0.2430215581386016, 0.23595628447694336, 0.27172462313212115, 0.33550611530775887, 0.2467224122609192]",36.833333333333336,129.0,"[2, 12, 15, 129, 10, 53]",75,
133,"{""colsample_bylevel"": 0.911196709408529, ""colsample_bytree"": 0.6869741503459184, ""gamma"": 4.469136689193053, ""learning_rate"": 0.004046969788762838, ""max_bin"": 526, ""max_delta_step"": 0, ""max_depth"": 5, ""min_child_weight"": 46.69817560099683, ""n_estimators"": 723, ""reg_alpha"": 34.75779261492486, ""reg_lambda"": 0.8348428341781073, ""scale_pos_weight"": 1.994436706886879, ""subsample"": 0.6248492234844141}",0.22962995661954663,0.04249916164747972,"[0.2, 0.2, 0.2, 0.2029090909090909, 0.3075144641126718, 0.26735618469551714]",40.0,108.0,"[1, 1, 1, 28, 108, 101]",75,
