Feature,Selection Mean,Holdout Mean,Selection Std,Holdout Std,PSI
market_vnq_downside_rv_63d,0.14575335,0.12958282,0.12664367258548737,0.08827315270900726,1.3715024538688283
market_xlb_drawdown_63d,-0.04854669,-0.04878763,0.06266775727272034,0.047879163175821304,1.3672939710377647
market_vix_close,19.395304,21.071066,8.823530197143555,7.340067386627197,1.3484746739405156
market_dia_hl_spread_proxy_21d,0.011133705,0.011925515,0.007705622352659702,0.00633472902700305,1.343401497316841
market_shy_rv_21d,0.011531745,0.015103056,0.0072953104972839355,0.009380950592458248,1.3286767355278997
market_gld_rv_63d,0.1812768,0.16562626,0.06866032630205154,0.05609792098402977,1.322998356072668
market_hyg_downside_rv_21d,0.045543015,0.04043457,0.05106952786445618,0.038451071828603745,1.3210706729960235
market_dia_rv_63d,0.1500826,0.16469821,0.09843137860298157,0.10773194581270218,1.3181614973580744
market_iyr_downside_rv_21d,0.13228174,0.11769433,0.12106458842754364,0.0915733352303505,1.317801011103524
market_xli_rv_63d,0.18507089,0.19296212,0.10027408599853516,0.1088811531662941,1.317643472224838
market_xlf_drawdown_252d,-0.11642749,-0.07936611,0.1529119610786438,0.0791180208325386,1.274641743089974
market_iwm_downside_rv_21d,0.120841764,0.13623658,0.07350890338420868,0.08332135528326035,1.2495962547570751
market_slv_rv_63d,0.30319875,0.32672083,0.12084335088729858,0.15809017419815063,1.2337694976556899
market_shy_downside_rv_126d,0.0066958154,0.008708981,0.003951655700802803,0.004267931915819645,1.2208713479892686
market_gld_rv_21d,0.1765035,0.16621362,0.07659640163183212,0.08270227909088135,1.1946673117677336
market_xli_ma_distance_63d,0.012311235,0.0155596435,0.04759904742240906,0.05228571593761444,1.0746223967627844
asset_avg_dollar_volume_63d,1749820300.0,3552115700.0,4561838592.0,7785562112.0,1.036170581758646
market_shy_ma_distance_63d,0.0026628603,0.0026224824,0.004077015910297632,0.005867219064384699,1.0258394447036807
market_shy_rv_63d,0.011765463,0.015481653,0.006859088782221079,0.008589206263422966,1.011387548645139
market_lqd_rv_21d,0.061450925,0.08326935,0.052972517907619476,0.05895457789301872,0.955120504583274
market_dbc_ma_distance_126d,-0.0022897332,0.023242883,0.09130499511957169,0.08125104010105133,0.9384230525322786
market_xlu_drawdown_63d,-0.03489731,-0.04623443,0.04122069478034973,0.04376211017370224,0.91900952232339
market_t_bill_3m,0.9970173,2.7944,1.6290721893310547,2.1322884559631348,0.8628230269988336
market_xlk_return_252d,0.12647383,0.23857768,0.16876977682113647,0.20378470420837402,0.8198946001901724
market_hyg_beta_to_spy_126d,0.37086365,0.31896105,0.09846779704093933,0.09561561048030853,0.805098577178021
market_xlk_downside_rv_21d,0.09865915,0.14224026,0.06257512420415878,0.08199234306812286,0.8050390878614664
market_lqd_ma_distance_200d,0.024624957,0.0081825545,0.03194737061858177,0.042886339128017426,0.802548623731218
market_hyg_ma_distance_200d,0.02583003,0.017627127,0.05381780117750168,0.03518494963645935,0.7643626171175479
market_treasury_10y_yield_zscore_252d,-0.4082935,0.3753087,1.263630747795105,1.317285180091858,0.7554137543624138
market_slv_downside_rv_126d,0.20127007,0.19952159,0.08312801271677017,0.09101349860429764,0.7322702168589013
market_xly_ma_distance_200d,0.046366744,0.047881432,0.09008491039276123,0.09396691620349884,0.731790643243087
market_dia_drawdown_252d,-0.052768745,-0.044868,0.08598644286394119,0.05126805976033211,0.724772019225833
market_gld_beta_to_spy_126d,0.05267122,0.12697838,0.3004564046859741,0.18866758048534393,0.7245999450097041
market_qqq_return_252d,0.15106668,0.22354177,0.17907430231571198,0.21895472705364227,0.7147773847504293
market_hyg_rv_126d,0.09497016,0.0801257,0.07067976146936417,0.05314268916845322,0.7014232659852753
market_eem_hl_spread_proxy_21d,0.016199337,0.010760756,0.011297888122498989,0.004302158020436764,0.6893973929910313
market_hyg_return_252d,0.065535955,0.04522678,0.10597236454486847,0.07166998088359833,0.6833805705094822
market_hyg_return_63d,0.016111584,0.010716172,0.051351357251405716,0.035246361047029495,0.6770140566393192
market_gld_hl_spread_proxy_21d,0.011784292,0.009927298,0.005290345288813114,0.003893110668286681,0.674766552033719
market_efa_ma_distance_200d,0.019162118,0.0350957,0.09789816290140152,0.07642064243555069,0.6736072056715338
market_lqd_downside_rv_21d,0.03574012,0.046792183,0.036871399730443954,0.03573578968644142,0.6733152746079536
market_iyr_hl_spread_proxy_21d,0.019319465,0.016123224,0.016182364895939827,0.007249330170452595,0.673215527420028
market_xlf_downside_rv_21d,0.13869,0.11822195,0.12676210701465607,0.08875489979982376,0.6722189901787748
market_efa_rv_21d,0.19241919,0.16663815,0.13053922355175018,0.09923211485147476,0.6671933375219413
market_shy_ma_distance_126d,0.0050934604,0.0048711444,0.007006489206105471,0.009489520452916622,0.6642204514048444
market_yield_curve_10y_2y_zscore_252d,-0.026669791,0.47245637,1.3928616046905518,1.4795490503311157,0.6489456025538495
market_hyg_rv_63d,0.0913354,0.07647187,0.07435693591833115,0.05865143984556198,0.6189490720415325
market_vnq_hl_spread_proxy_21d,0.019897038,0.016220363,0.016423586755990982,0.00719289667904377,0.6150338314193049
market_xlp_return_252d,0.11010686,0.08563698,0.09716993570327759,0.0763733834028244,0.6050840683155795
market_iyr_return_252d,0.081518635,0.053922005,0.23641952872276306,0.16482920944690704,0.5895341538674567
