Strategy,month,Lookback Months Used,Configured Lookback Months,Weight Coverage,Ex-Ante Monthly Volatility,Ex-Ante Annualized Volatility,Ex-Ante 95pct Monthly VaR Proxy,Ex-Ante Beta To Benchmark,Realized Gross Return,Realized Net Return
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2020-01,36,36,1.0,0.038290725643782005,0.13264296454742186,0.0629882436840214,0.8572520265120985,-0.08790909412827554,-0.08840909412827555
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2020-02,36,36,1.0,0.034693991688929005,0.12018351264519479,0.057071616328288215,0.6642810926914673,-0.2368157153552974,-0.2375171942029971
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2020-03,36,36,1.0,0.012860738038321546,0.04455090341041322,0.021155914073038944,-0.09504722231855708,0.015209627557853747,0.014209627557853745
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2020-04,36,36,1.0,0.02688034572847056,0.09311624905345611,0.044218168723334075,0.2655569264432137,0.06482614217650842,0.06406934735100563
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2020-05,36,36,1.0,0.03755978296464924,0.13011090483206494,0.061785842976848006,0.47011577612091,0.018290426552399434,0.01785048171467289
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2020-06,36,36,0.9999999999999999,0.035628706436859205,0.12342145951319287,0.058609222088633395,0.5496332736747648,0.07520573525350166,0.07468532178712962
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2020-07,36,36,1.0000000000000002,0.05720280150171719,0.1981563170725029,0.09409860847032478,0.9543142022149308,0.03362537727486919,0.03290966976722277
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2020-08,36,36,1.0,0.06031761737865033,0.2089463557826437,0.09922248058787979,0.957331831413976,-0.06341379932756928,-0.0638531514008569
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2020-09,36,36,1.0,0.06272533344341852,0.21728692889140028,0.10318317351442347,0.9735183922365087,-0.025365004647496255,-0.02545678721020234
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2020-10,36,36,0.9999999999999999,0.040191131193937184,0.1392261624831312,0.06611441081402666,0.5594012127829023,0.09144002008202723,0.09093020409868988
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2020-11,36,36,1.0,0.03180999927515398,0.1101930698665917,0.0523274488076283,0.37553438497456426,0.04421848802981254,0.043539254753741694
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2020-12,36,36,1.0,0.05813055917159627,0.20137016391518744,0.09562476983727587,0.9140603397845373,0.015260590176852357,0.014419318428605913
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2021-01,36,36,0.9999999999999999,0.06089397758611749,0.21094292610823182,0.10017059312916327,0.9630782468734452,0.03223953002616391,0.03157546041309337
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2021-02,36,36,1.0,0.05779676942962094,0.2002138823308943,0.09507568571172645,0.9205856400403774,0.01745707829536974,0.017022409688548137
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2021-03,36,36,1.0,0.055805262724816215,0.19331510073822258,0.09179965718232268,0.8325014969041546,0.03792609413687991,0.037347408619884
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2021-04,36,36,1.0,0.06809488099506471,0.23588758723761682,0.11201607923688145,1.0603000080748293,0.020802533383448358,0.020456144971545857
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2021-05,36,36,1.0,0.056433306262385644,0.19549070737109367,0.09283278880162439,0.8439558147218895,0.004781592737828979,0.004493076352832901
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2021-06,36,36,1.0,0.04598653837716313,0.15930204186692512,0.07564785563043334,0.5916817235430448,-0.004441135325604863,-0.0050842752819724
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2021-07,36,36,1.0,0.061477116732278896,0.2129629793662996,0.10112985702459878,0.9498007808581296,0.01179357234650451,0.01134060157890419
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2021-08,36,36,1.0,0.05844474348088345,0.2024585302884401,0.09614160302605328,0.8903690867991856,-0.04024976697630444,-0.04074352050284355
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2021-09,36,36,1.0,0.051269403246699694,0.17760242259404124,0.084338168340821,0.7621624983657953,0.052961254571961595,0.052539578713279335
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2021-10,36,36,0.9999999999999999,0.04616410178182899,0.15991713954381748,0.07593994743110868,0.6078122622258112,-0.032833697871595575,-0.03347898723232095
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2021-11,36,36,1.0,0.04928322098848159,0.17072208542538997,0.08107089852605222,0.6878936835722421,0.028690726973247385,0.02831397197737923
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2021-12,36,36,1.0,0.04150460294858843,0.1437761621098564,0.06827507185042797,0.575347411501838,-0.04443350903652226,-0.04506653717404102
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2022-01,36,36,1.0,0.04593382627254644,0.15911944178018514,0.0755611442183389,0.7127799529716884,0.007083839947859329,0.006660162777078765
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2022-02,36,36,1.0,0.034411392462397355,0.11920456020812982,0.05660674060064365,0.5364705257026573,0.02917815244535375,0.0285349491581084
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2022-03,36,36,0.9999999999999999,0.034351143843398164,0.11899585286974491,0.05650763162238998,0.47328621652577246,-0.03680599497489874,-0.03757609527055356
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2022-04,36,36,1.0,0.03355409870016832,0.1162348075017447,0.05519649236177688,0.4539982168932027,0.03494248937926901,0.0347241956867618
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2022-05,36,36,1.0000000000000002,0.0426947162990665,0.14789883568944448,0.07023280831196439,0.5727741410534776,-0.06880209185456526,-0.06925762368630695
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2022-06,36,36,1.0,0.04755770754281181,0.16474473151130334,0.07823242890792542,0.7529858187793037,0.06532500490776005,0.0646570324827337
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2022-07,36,36,1.0,0.04138530247419336,0.1433628931438177,0.06807882257004808,0.5949833116128004,-0.032838457086379745,-0.03322883194966176
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2022-08,36,36,1.0,0.037826150826131374,0.131033630171246,0.06222401810898611,0.5451493840519782,-0.06910098938427817,-0.06966341430454666
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2022-09,36,36,1.0,0.053777775313243105,0.1862916783211207,0.0884644403902849,0.7658308653263216,0.018772143375294235,0.018387840316326357
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2022-10,36,36,1.0,0.03929242363914499,0.13611294819103903,0.06463603688639351,0.5668491608402078,0.060577851013138305,0.060046970230116334
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2022-11,36,36,1.0,0.06736993042837391,0.23337628480864822,0.11082353555467508,0.9746012761226486,-0.0632427118430823,-0.06378771930235065
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2022-12,36,36,1.0000000000000002,0.04969506899439918,0.17214876876788035,0.08174838849578665,0.6365368615588579,0.031083780128974708,0.03067765954799568
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2023-01,36,36,1.0000000000000002,0.05770317303367112,0.19988965490451344,0.094921719640389,0.7683717811802564,-0.041792658470424314,-0.04210680474947056
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2023-02,36,36,1.0,0.058503784525731906,0.20266305446725905,0.09623872554482898,0.8168452530735502,0.04293100445982956,0.04223047174674508
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2023-03,36,36,1.0000000000000002,0.05636098168442273,0.19524016768375818,0.09271381487087539,0.9247874075142024,0.01145414418995954,0.01116664118512149
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2023-04,36,36,1.0000000000000002,0.045126488450668106,0.1563227415274546,0.07423307350134904,0.7128355125357567,-0.020623821187128438,-0.02128282467994735
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2023-05,36,36,1.0,0.04457258012073205,0.15440394678708486,0.07332189429860422,0.7513812305839065,0.04129664813180961,0.0406376446389907
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2023-06,36,36,1.0,0.04385362515028827,0.15191341371275924,0.0721392133722242,0.6877726484772274,0.03322161336452832,0.03257102442479808
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2023-07,36,36,1.0,0.03307664330129947,0.11458085348336687,0.05441107823063762,0.6079973051388405,-0.02096142243760556,-0.021678458739547074
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2023-08,36,36,1.0,0.039350735471306776,0.13631494630301233,0.06473195985029964,0.6424308894526759,-0.07230519553999744,-0.07285052735729794
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,2023-09,36,36,1.0,0.05093175484475977,0.17643277421953246,0.08378273671962982,0.9688663824204864,-0.020907459725571797,-0.021608758939482553
