Months,CAGR,Annualized Volatility,Sharpe,Sortino,Max Drawdown,Average Monthly Return,Annualized Turnover,Average Holdings,Total Transaction Cost,Final Equity,Strategy,Source,Diagnostic Scope,Max Asset Weight Cap
75,0.1351834372032279,0.167751601359095,0.8419468276363267,1.2428749345071866,-0.28179624195674824,0.011769827382933647,7.413333333333334,3.0,0.023166666666666672,2.2088325178384878,FeatureSensitivity[identity_ablated][TabPFN direct],feature_sensitivity_model_score,feature_policy_sensitivity,
75,0.1351834372032279,0.167751601359095,0.8419468276363267,1.2428749345071866,-0.28179624195674824,0.011769827382933647,7.413333333333334,3.0,0.023166666666666672,2.2088325178384878,FeatureSensitivity[strict_time_series][TabPFN direct],feature_sensitivity_model_score,feature_policy_sensitivity,
75,0.11444544909688292,0.18955226200385114,0.665591995654738,1.035462208652313,-0.2311795882988561,0.010513705695667756,10.51841344022024,3.0,0.03287004200068825,1.9684192082135206,FeatureSensitivity[ticker_ablated][XGBoost light] | inverse-vol capped top-k,feature_sensitivity_inverse_vol_capped,feature_policy_sensitivity,0.35
75,0.1133233762146848,0.19380118188820497,0.6499460370847432,0.9903747974185404,-0.2282213364415483,0.010496692512548195,10.293333333333333,3.0,0.03216666666666666,1.95606507845861,FeatureSensitivity[ticker_ablated][XGBoost light],feature_sensitivity_model_score,feature_policy_sensitivity,
75,0.08899771081157182,0.17618722029546424,0.5717196548350002,0.8689674770915936,-0.2471871225735095,0.008394141397805081,11.573888624551754,3.0,0.03616840195172423,1.7037997204379016,FeatureSensitivity[full][XGBoost light] | inverse-vol capped top-k,feature_sensitivity_inverse_vol_capped,feature_policy_sensitivity,0.35
75,0.09062538125882846,0.18076467215742745,0.57007782426645,0.8473071308698312,-0.23397681608366339,0.008587494250645367,11.36,3.0,0.0355,1.719778450909267,FeatureSensitivity[full][XGBoost light],feature_sensitivity_model_score,feature_policy_sensitivity,
75,0.08660380710396054,0.17659888357502307,0.5582281918226211,0.8407115012606127,-0.23628454166451007,0.008215206287998227,11.377339551918556,3.0,0.03555418609974549,1.6805256268196194,FeatureSensitivity[identity_ablated][XGBoost light] | inverse-vol capped top-k,feature_sensitivity_inverse_vol_capped,feature_policy_sensitivity,0.35
75,0.08660380710396054,0.17659888357502307,0.5582281918226211,0.8407115012606127,-0.23628454166451007,0.008215206287998227,11.377339551918556,3.0,0.03555418609974549,1.6805256268196194,FeatureSensitivity[strict_time_series][XGBoost light] | inverse-vol capped top-k,feature_sensitivity_inverse_vol_capped,feature_policy_sensitivity,0.35
75,0.08585042265521325,0.18126160587469944,0.544611063738673,0.8048617079519353,-0.22863152317561108,0.008226422999200015,11.146666666666665,3.0,0.034833333333333334,1.6732565338899288,FeatureSensitivity[identity_ablated][XGBoost light],feature_sensitivity_model_score,feature_policy_sensitivity,
75,0.08585042265521325,0.18126160587469944,0.544611063738673,0.8048617079519353,-0.22863152317561108,0.008226422999200015,11.146666666666665,3.0,0.034833333333333334,1.6732565338899288,FeatureSensitivity[strict_time_series][XGBoost light],feature_sensitivity_model_score,feature_policy_sensitivity,
