Model,Evaluation Window,month,rows,top_k,spearman_ic,top_k_hit_rate,selected_mean_forward_return,universe_mean_forward_return,active_forward_return
Rule[12M momentum top-k],calibration,2019-10,10,3,-0.4545454545454545,0.3333333333333333,-0.004942138651047534,0.00973927236479084,-0.014681411015838374
Rule[12M momentum top-k],calibration,2019-11,10,3,-0.4545454545454545,0.3333333333333333,0.028998946051396413,0.03687753086098733,-0.007878584809590916
Rule[12M momentum top-k],calibration,2019-12,10,3,-0.09090909090909088,0.0,0.0009587470038373939,-0.012324181779118381,0.013282928782955774
Rule[12M momentum top-k],holdout,2020-01,10,3,0.43030303030303024,0.3333333333333333,-0.018637182594061996,-0.04641258515644843,0.027775402562386434
Rule[12M momentum top-k],holdout,2020-02,10,3,0.9151515151515152,0.6666666666666666,-0.013034925986542137,-0.14115509020021683,0.1281201642136747
Rule[12M momentum top-k],holdout,2020-03,10,3,-0.7818181818181817,0.0,0.019955459565025684,0.11503327685521758,-0.0950778172901919
Rule[12M momentum top-k],holdout,2020-04,10,3,-0.4666666666666666,0.0,-8.388770146983138e-05,0.048296551938624796,-0.04838043964009463
Rule[12M momentum top-k],holdout,2020-05,10,3,0.3696969696969697,0.3333333333333333,0.03268721378941667,0.02346263687601522,0.00922457691340145
Rule[12M momentum top-k],holdout,2020-06,10,3,0.6848484848484848,0.6666666666666666,0.0768727416891067,0.04303078167865102,0.033841960010455675
Rule[12M momentum top-k],holdout,2020-07,10,3,0.19999999999999998,0.3333333333333333,0.025962899707019964,0.027323037893642533,-0.0013601381866225684
Rule[12M momentum top-k],holdout,2020-08,10,3,-0.07878787878787878,0.0,-0.04311967554502564,-0.03511881981333548,-0.008000855731690161
Rule[12M momentum top-k],holdout,2020-09,10,3,-0.309090909090909,0.0,-0.021501715272988126,-0.009619285100249831,-0.011882430172738295
Rule[12M momentum top-k],holdout,2020-10,10,3,-0.7212121212121211,0.0,0.022511247944599726,0.10737745886828157,-0.08486621092368184
Rule[12M momentum top-k],holdout,2020-11,10,3,0.23636363636363633,0.6666666666666666,0.06313392479625161,0.041583092227601134,0.02155083256865048
Rule[12M momentum top-k],holdout,2020-12,10,3,-0.04242424242424241,0.3333333333333333,0.008379839436931805,0.0027975609263885316,0.005582278510543274
Rule[12M momentum top-k],holdout,2021-01,10,3,-0.28484848484848485,0.3333333333333333,0.02818073086500424,0.03372936041177198,-0.005548629546767738
Rule[12M momentum top-k],holdout,2021-02,10,3,0.49090909090909085,0.0,-0.0008499456139905437,0.0043366580051769745,-0.005186603619167518
Rule[12M momentum top-k],holdout,2021-03,10,3,0.1515151515151515,0.3333333333333333,0.028482189500391275,0.030510715310320312,-0.002028525809929037
Rule[12M momentum top-k],holdout,2021-04,10,3,-0.09090909090909088,0.3333333333333333,0.012911792164077599,0.02519017633713,-0.0122783841730524
Rule[12M momentum top-k],holdout,2021-05,10,3,-0.11515151515151514,0.0,-0.010610294250963196,0.005973695354953601,-0.016583989605916796
Rule[12M momentum top-k],holdout,2021-06,10,3,-0.5515151515151515,0.0,-0.04731028653399505,-0.004461501428785264,-0.042848785105209786
Rule[12M momentum top-k],holdout,2021-07,10,3,0.5636363636363636,0.3333333333333333,0.014364141078488454,0.013786835770342131,0.0005773053081463229
Rule[12M momentum top-k],holdout,2021-08,10,3,0.23636363636363633,0.6666666666666666,0.01814175529192652,-0.020949428305555195,0.03909118359748172
Rule[12M momentum top-k],holdout,2021-09,10,3,0.8545454545454544,0.6666666666666666,0.07525660464101917,0.04368408123257754,0.03157252340844163
Rule[12M momentum top-k],holdout,2021-10,10,3,-0.6363636363636362,0.0,-0.037007645850435845,-0.010032657500099573,-0.026974988350336272
Rule[12M momentum top-k],holdout,2021-11,10,3,0.4666666666666666,0.3333333333333333,0.011387288769549642,0.009382366165720158,0.002004922603829484
Rule[12M momentum top-k],holdout,2021-12,10,3,-0.04242424242424241,0.3333333333333333,0.03979496787715464,-0.01471491539586962,0.054509883273024265
Rule[12M momentum top-k],holdout,2022-01,10,3,0.2121212121212121,0.3333333333333333,0.009142822707036738,-0.006280973655074684,0.015423796362111422
Rule[12M momentum top-k],holdout,2022-02,10,3,0.49090909090909085,0.6666666666666666,0.04758562697336277,0.009367425833817744,0.03821820113954503
Rule[12M momentum top-k],holdout,2022-03,10,3,0.1515151515151515,0.3333333333333333,-0.07131229562851167,-0.07759241103445322,0.006280115405941547
Rule[12M momentum top-k],holdout,2022-04,10,3,0.05454545454545454,0.3333333333333333,0.06055959499684238,0.025403976563661657,0.03515561843318073
Rule[12M momentum top-k],holdout,2022-05,10,3,-0.3696969696969697,0.3333333333333333,-0.09654107275279715,-0.0769414837571198,-0.019599588995677347
Rule[12M momentum top-k],holdout,2022-06,10,3,-0.19999999999999998,0.0,0.02494828983110457,0.053490282580425076,-0.028541992749320507
Rule[12M momentum top-k],holdout,2022-07,10,3,0.28484848484848485,0.3333333333333333,-0.017362520027111954,-0.03458492930431223,0.017222409277200274
Rule[12M momentum top-k],holdout,2022-08,10,3,0.5151515151515151,0.6666666666666666,-0.047817644575963714,-0.06273537867047402,0.014917734094510304
Rule[12M momentum top-k],holdout,2022-09,10,3,0.3939393939393939,0.3333333333333333,0.09885652555699109,0.055960075109525144,0.04289645044746595
Rule[12M momentum top-k],holdout,2022-10,10,3,-0.33333333333333326,0.3333333333333333,0.052318373318354094,0.06062200504296846,-0.008303631724614367
Rule[12M momentum top-k],holdout,2022-11,10,3,0.12727272727272726,0.3333333333333333,-0.02345343572090945,-0.031604307645788865,0.008150871924879417
Rule[12M momentum top-k],holdout,2022-12,10,3,-0.7454545454545454,0.0,0.04307382076779157,0.0606353301603076,-0.01756150939251603
Rule[12M momentum top-k],holdout,2023-01,10,3,-0.07878787878787878,0.3333333333333333,-0.04296235329963286,-0.03528620100740516,-0.007676152292227699
Rule[12M momentum top-k],holdout,2023-02,10,3,-0.07878787878787878,0.3333333333333333,0.047462621886473544,0.023152613009971613,0.02431000887650193
