Model,Evaluation Window,bin,rows,observed_rate,mean_predicted_probability,score_min,score_max
FeatureSensitivity[strict_time_series][XGBoost light],holdout,"(0.543, 0.804]",75,0.37333333333333335,0.6109832247098287,0.5446086525917053,0.8043480515480042
FeatureSensitivity[strict_time_series][TabPFN direct],holdout,"(0.125, 0.177]",75,0.24,0.13722215513388317,0.12608323991298676,0.14864535629749298
FeatureSensitivity[strict_time_series][TabPFN direct],holdout,"(0.177, 0.235]",75,0.14666666666666667,0.19319406449794768,0.1799878031015396,0.20390720665454865
FeatureSensitivity[strict_time_series][TabPFN direct],holdout,"(0.235, 0.299]",75,0.2,0.24920129974683125,0.2429792433977127,0.26056167483329773
FeatureSensitivity[strict_time_series][TabPFN direct],holdout,"(0.299, 0.319]",98,0.336734693877551,0.3184555251987613,0.31575092673301697,0.3191697299480438
FeatureSensitivity[strict_time_series][TabPFN direct],holdout,"(0.319, 0.32]",53,0.3018867924528302,0.3199804723262787,0.3199804723262787,0.3199804723262787
FeatureSensitivity[strict_time_series][TabPFN direct],holdout,"(0.32, 0.322]",112,0.36607142857142855,0.32129740103014875,0.3201465308666229,0.32177734375
FeatureSensitivity[strict_time_series][TabPFN direct],holdout,"(0.322, 0.323]",57,0.3157894736842105,0.3225167022462477,0.3224310576915741,0.3225885331630707
FeatureSensitivity[strict_time_series][TabPFN direct],holdout,"(0.323, 0.324]",89,0.29213483146067415,0.32369206460674155,0.3232421875,0.32421875
FeatureSensitivity[strict_time_series][TabPFN direct],holdout,"(0.324, 0.33]",41,0.36585365853658536,0.32582956915948447,0.3251953125,0.32861328125
FeatureSensitivity[strict_time_series][TabPFN direct],holdout,"(0.33, 0.354]",75,0.4266666666666667,0.34924256483713784,0.341796875,0.3541768491268158
XGBoost[GPU allocation scorer],holdout,"(-0.00047500000000000005, 0.0158]",75,0.28,0.00924713645208006,0.0005251148832030594,0.015830153599381447
XGBoost[GPU allocation scorer],holdout,"(0.0158, 0.0371]",75,0.3466666666666667,0.026335175558924676,0.01583907939493656,0.03685459494590759
XGBoost[GPU allocation scorer],holdout,"(0.0371, 0.0599]",75,0.28,0.047202016413211825,0.03715775907039642,0.05927108973264694
XGBoost[GPU allocation scorer],holdout,"(0.0599, 0.0935]",75,0.28,0.07496919746200244,0.06015745550394058,0.09340767562389374
XGBoost[GPU allocation scorer],holdout,"(0.0935, 0.13]",75,0.29333333333333333,0.10887442221244176,0.09359721094369888,0.12930764257907867
XGBoost[GPU allocation scorer],holdout,"(0.13, 0.177]",75,0.32,0.15373133341471354,0.13058370351791382,0.17683671414852142
XGBoost[GPU allocation scorer],holdout,"(0.177, 0.245]",75,0.25333333333333335,0.20951456805070243,0.17708861827850342,0.24441972374916077
XGBoost[GPU allocation scorer],holdout,"(0.245, 0.366]",75,0.24,0.3031798609097799,0.2453135848045349,0.3652704358100891
XGBoost[GPU allocation scorer],holdout,"(0.366, 0.541]",75,0.4,0.44013653755187987,0.3700852692127228,0.5413467288017273
XGBoost[GPU allocation scorer],holdout,"(0.541, 0.959]",75,0.30666666666666664,0.6901669788360596,0.5422101616859436,0.9590941071510315
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(-1.4000000000000123e-05, 0.0131]",24,0.20833333333333334,0.006293323890228446,0.000986221944913268,0.012724211439490318
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(0.0131, 0.0276]",24,0.25,0.019062162687381107,0.013134417124092579,0.027189122512936592
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(0.0276, 0.055]",24,0.16666666666666666,0.042117952136322856,0.02764534018933773,0.05456625297665596
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(0.055, 0.0975]",24,0.4166666666666667,0.07566427765414119,0.055122967809438705,0.09720944613218307
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(0.0975, 0.152]",24,0.3333333333333333,0.12450048668930928,0.09765920788049698,0.15186476707458496
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(0.152, 0.2]",24,0.3333333333333333,0.17200523863236108,0.15250766277313232,0.19872629642486572
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(0.2, 0.269]",24,0.375,0.2358857151120901,0.202193483710289,0.26810768246650696
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(0.269, 0.357]",24,0.3333333333333333,0.3124490901827812,0.2701224088668823,0.356419175863266
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(0.357, 0.525]",24,0.3333333333333333,0.4217291871706645,0.3616926670074463,0.5242404341697693
XGBoost[GPU allocation scorer] Calibration Base,calibration,"(0.525, 0.858]",24,0.25,0.6780946304400762,0.530703604221344,0.857573926448822
XGBoost[GPU allocation scorer] Calibration Base,holdout,"(-3.0999999999999995e-05, 0.0181]",75,0.29333333333333333,0.009749623862250397,0.0009692148887552321,0.018070468679070473
XGBoost[GPU allocation scorer] Calibration Base,holdout,"(0.0181, 0.04]",75,0.29333333333333333,0.028387638553977013,0.018158236518502235,0.03956030681729317
XGBoost[GPU allocation scorer] Calibration Base,holdout,"(0.04, 0.0679]",75,0.29333333333333333,0.051178989559412004,0.04012073948979378,0.06778914481401443
XGBoost[GPU allocation scorer] Calibration Base,holdout,"(0.0679, 0.103]",75,0.30666666666666664,0.08664954721927642,0.06801021844148636,0.1028941199183464
XGBoost[GPU allocation scorer] Calibration Base,holdout,"(0.103, 0.142]",75,0.36,0.12011790792147319,0.10294336080551147,0.14206568896770477
XGBoost[GPU allocation scorer] Calibration Base,holdout,"(0.142, 0.197]",75,0.26666666666666666,0.1693382861216863,0.14233922958374023,0.19638307392597198
XGBoost[GPU allocation scorer] Calibration Base,holdout,"(0.197, 0.266]",75,0.24,0.22875564754009248,0.19695720076560974,0.2653616964817047
XGBoost[GPU allocation scorer] Calibration Base,holdout,"(0.266, 0.363]",75,0.22666666666666666,0.31012421011924746,0.2662097215652466,0.36198341846466064
XGBoost[GPU allocation scorer] Calibration Base,holdout,"(0.363, 0.547]",75,0.4,0.4441759431362152,0.36482682824134827,0.5465894937515259
XGBoost[GPU allocation scorer] Calibration Base,holdout,"(0.547, 0.917]",75,0.32,0.6781743868192037,0.5477810502052307,0.9168167114257812
XGBoost[GPU allocation scorer] Calibrated,calibration,"(0.278, 0.28]",24,0.20833333333333334,0.279658538599809,0.27914607524871826,0.2802800238132477
XGBoost[GPU allocation scorer] Calibrated,calibration,"(0.28, 0.282]",24,0.25,0.28089364990592003,0.2803196907043457,0.2816812992095947
XGBoost[GPU allocation scorer] Calibrated,calibration,"(0.282, 0.284]",24,0.16666666666666666,0.28313283373912174,0.28172555565834045,0.28434500098228455
XGBoost[GPU allocation scorer] Calibrated,calibration,"(0.284, 0.289]",24,0.4166666666666667,0.28640993932882947,0.2843993306159973,0.28852418065071106
XGBoost[GPU allocation scorer] Calibrated,calibration,"(0.289, 0.294]",24,0.3333333333333333,0.29122058550516766,0.2885684370994568,0.29393357038497925
XGBoost[GPU allocation scorer] Calibrated,calibration,"(0.294, 0.299]",24,0.3333333333333333,0.2959440164268017,0.29399755597114563,0.2986184358596802
XGBoost[GPU allocation scorer] Calibrated,calibration,"(0.299, 0.306]",24,0.375,0.30236641441782314,0.29896673560142517,0.30563265085220337
XGBoost[GPU allocation scorer] Calibrated,calibration,"(0.306, 0.315]",24,0.3333333333333333,0.3101672741274039,0.3058376908302307,0.3146923780441284
XGBoost[GPU allocation scorer] Calibrated,calibration,"(0.315, 0.332]",24,0.3333333333333333,0.3215047928194205,0.31523796916007996,0.3322996497154236
XGBoost[GPU allocation scorer] Calibrated,calibration,"(0.332, 0.369]",24,0.25,0.348924670368433,0.33298763632774353,0.36866000294685364
XGBoost[GPU allocation scorer] Calibrated,holdout,"(0.278, 0.281]",75,0.29333333333333333,0.27999264280001324,0.27914443612098694,0.28079745173454285
XGBoost[GPU allocation scorer] Calibrated,holdout,"(0.281, 0.283]",75,0.29333333333333333,0.2817980110645294,0.28080594539642334,0.28288307785987854
XGBoost[GPU allocation scorer] Calibrated,holdout,"(0.283, 0.286]",75,0.29333333333333333,0.28401519695917765,0.282937616109848,0.2856369912624359
XGBoost[GPU allocation scorer] Calibrated,holdout,"(0.286, 0.289]",75,0.30666666666666664,0.28748684962590537,0.2856586277484894,0.2890840470790863
XGBoost[GPU allocation scorer] Calibrated,holdout,"(0.289, 0.293]",75,0.36,0.29078551451365153,0.2890889048576355,0.29295939207077026
XGBoost[GPU allocation scorer] Calibrated,holdout,"(0.293, 0.298]",75,0.26666666666666666,0.2956779952843984,0.29298657178878784,0.2983831465244293
XGBoost[GPU allocation scorer] Calibrated,holdout,"(0.298, 0.305]",75,0.24,0.3016473046938578,0.2984407842159271,0.3053532838821411
XGBoost[GPU allocation scorer] Calibrated,holdout,"(0.305, 0.315]",75,0.22666666666666666,0.3099315861860911,0.3054395318031311,0.31526806950569153
XGBoost[GPU allocation scorer] Calibrated,holdout,"(0.315, 0.335]",75,0.4,0.3238642454147339,0.3155624568462372,0.3346816301345825
XGBoost[GPU allocation scorer] Calibrated,holdout,"(0.335, 0.375]",75,0.32,0.3489389145374298,0.3348088562488556,0.3752959668636322
TabPFN[Direct allocation scorer],holdout,"(0.125, 0.177]",75,0.24,0.13722215513388317,0.12608323991298676,0.14864535629749298
TabPFN[Direct allocation scorer],holdout,"(0.177, 0.235]",75,0.14666666666666667,0.19319406449794768,0.1799878031015396,0.20390720665454865
TabPFN[Direct allocation scorer],holdout,"(0.235, 0.299]",75,0.2,0.24920129974683125,0.2429792433977127,0.26056167483329773
