month,rows,positive_rows,mean_forward_return
2015-04,10,3,-0.0012155927392283662
2015-05,10,3,-0.01982393585480624
2015-06,10,3,-0.009825169925197608
2015-07,10,3,-0.056400290652167284
2015-08,10,3,-0.005532050821917078
2015-09,10,3,0.05299690982865264
2015-10,10,3,-0.0019408304624905504
2015-11,10,3,-0.0402894937177223
2015-12,10,3,-0.026953054584760206
2016-01,10,3,0.017589627355040327
2016-02,10,3,0.039311440445327014
2016-03,10,3,0.029356792148513812
2016-04,10,3,-0.0039023543985577613
2016-05,10,3,0.02495200439181321
2016-06,10,3,0.02694104695172611
2016-07,10,3,0.006436855724380042
2016-08,10,3,0.007189487254624682
2016-09,10,3,-0.017400178216299644
2016-10,10,3,0.009394072188627634
2016-11,10,3,0.016815332236772684
2016-12,10,3,0.017099050287181384
2017-01,10,3,0.023426625683792546
2017-02,10,3,0.0011892993587026667
2017-03,10,3,0.009914758629860354
2017-04,10,3,0.007303280924745836
2017-05,10,3,0.007833461211578796
2017-06,10,3,0.02258682916365201
2017-07,10,3,0.004579028947254871
2017-08,10,3,0.015852325383399934
2017-09,10,3,0.019295782604249034
2017-10,10,3,0.009817172881584745
2017-11,10,3,0.022722234010310583
2017-12,10,3,0.03018586909820553
2018-01,10,3,-0.03735781979090769
2018-02,10,3,-0.004879986480257992
2018-03,10,3,0.004936562368662856
2018-04,10,3,0.019692621154893886
2018-05,10,3,-0.017649763012756704
2018-06,10,3,0.0215040025438336
2018-07,10,3,0.0033329127478819998
2018-08,10,3,0.0010309020516817368
2018-09,10,3,-0.058554044349443946
2018-10,10,3,0.02208610849879087
2018-11,10,3,-0.06940870336705254
2018-12,10,3,0.08087104354161201
2019-01,10,3,0.018443614941533692
2019-02,10,3,0.013620913335412243
2019-03,10,3,0.019950670128421576
2019-04,10,3,-0.04051054028279755
2019-05,10,3,0.06616321680139044
2019-06,10,3,-0.0078033540295676775
2019-07,10,3,-0.00904304785562916
2019-08,10,3,0.016539760294046767
2019-09,10,3,0.02335511118572613
2019-10,10,3,0.00973927236479084
2019-11,10,3,0.03687753086098733
2019-12,10,3,-0.012324181779118381
2020-01,10,3,-0.04641258515644843
2020-02,10,3,-0.14115509020021685
2020-03,10,3,0.11503327685521758
2020-04,10,3,0.048296551938624796
2020-05,10,3,0.02346263687601522
2020-06,10,3,0.04303078167865102
2020-07,10,3,0.027323037893642533
2020-08,10,3,-0.03511881981333548
2020-09,10,3,-0.009619285100249831
2020-10,10,3,0.10737745886828157
2020-11,10,3,0.041583092227601134
2020-12,10,3,0.0027975609263885316
2021-01,10,3,0.03372936041177198
2021-02,10,3,0.0043366580051769745
2021-03,10,3,0.030510715310320312
2021-04,10,3,0.02519017633713
2021-05,10,3,0.005973695354953601
2021-06,10,3,-0.004461501428785264
2021-07,10,3,0.013786835770342131
2021-08,10,3,-0.020949428305555195
2021-09,10,3,0.04368408123257754
2021-10,10,3,-0.010032657500099573
2021-11,10,3,0.009382366165720158
2021-12,10,3,-0.01471491539586962
2022-01,10,3,-0.006280973655074684
2022-02,10,3,0.009367425833817744
2022-03,10,3,-0.07759241103445322
2022-04,10,3,0.025403976563661657
2022-05,10,3,-0.0769414837571198
2022-06,10,3,0.053490282580425076
2022-07,10,3,-0.03458492930431223
2022-08,10,3,-0.06273537867047402
2022-09,10,3,0.055960075109525144
2022-10,10,3,0.06062200504296846
2022-11,10,3,-0.031604307645788865
2022-12,10,3,0.0606353301603076
2023-01,10,3,-0.03528620100740516
2023-02,10,3,0.023152613009971613
2023-03,10,3,0.004398457018298163
2023-04,10,3,-0.014266721375339885
2023-05,10,3,0.03888441089996823
2023-06,10,3,0.025915062291722645
2023-07,10,3,-0.013389546540831932
2023-08,10,3,-0.0480083314591128
2023-09,10,3,-0.019593892256965117
2023-10,10,3,0.06789649859093685
2023-11,10,3,0.046873311289292285
2023-12,10,3,0.003196516009636996
2024-01,10,3,0.024345549166611025
2024-02,10,3,0.03828166170379101
2024-03,10,3,-0.03062868047179986
2024-04,10,3,0.03589097826556632
2024-05,10,3,0.0073469901397500426
2024-06,10,3,0.03226045359432352
2024-07,10,3,0.010012185241244064
2024-08,10,3,0.02236594466794748
2024-09,10,3,-0.008569658940508929
2024-10,10,3,0.032026654337406105
2024-11,10,3,-0.034869207682930295
2024-12,10,3,0.017268001526553965
2025-01,10,3,0.022694081075895024
2025-02,10,3,-0.015092739841021097
2025-03,10,3,-0.007605726043686578
2025-04,10,3,0.03194694136827677
2025-05,10,3,0.037141838842923026
2025-06,10,3,0.0033233447145281647
2025-07,10,3,0.02503454914652249
2025-08,10,3,0.04439560878498679
2025-09,10,3,0.017783962429921463
2025-10,10,3,0.003197267094112821
2025-11,10,3,0.017092672150430355
2025-12,10,3,0.030712148886826572
2026-01,10,3,0.029339755487097163
2026-02,10,3,-0.033125666992559824
2026-03,10,3,0.052665236338631974
