Strategy,Metric,Point Estimate,Bootstrap Median,CI Lower,CI Upper,Bootstrap Iterations Requested,Bootstrap Iterations Used,Confidence Level
TabPFN[Direct allocation scorer] Calibration Base,cagr,0.14588334279593962,0.1345192932815028,-0.008155584420723776,0.2609506294306603,50,50,0.95
TabPFN[Direct allocation scorer] Calibration Base,annualized_volatility,0.19379227858940545,0.1929820616003387,0.1512872529494666,0.22210328395092999,50,50,0.95
TabPFN[Direct allocation scorer] Calibration Base,sharpe,0.8003645618911477,0.7073198606912696,0.03542441144951106,1.3299469965939752,50,50,0.95
TabPFN[Direct allocation scorer] Calibration Base | inverse-vol capped top-k,mean_monthly_return,0.01266989140147697,0.012946259979672263,0.004378205858127559,0.02363301008509216,50,50,0.95
TabPFN[Direct allocation scorer] Calibration Base | inverse-vol capped top-k,cagr,0.1430903328522537,0.14346649323667648,0.03497235155269329,0.2869538454210765,50,50,0.95
TabPFN[Direct allocation scorer] Calibration Base | inverse-vol capped top-k,annualized_volatility,0.19043940480058102,0.19439154118123225,0.15021285837129356,0.24440778026844584,50,50,0.95
TabPFN[Direct allocation scorer] Calibration Base | inverse-vol capped top-k,sharpe,0.7983573408924021,0.7881302494019267,0.2758878463724891,1.349809325509608,50,50,0.95
XGBoost[GPU allocation scorer],mean_monthly_return,0.007103760868337131,0.006632470853325379,-0.0040539694179297404,0.017989643588690377,50,50,0.95
XGBoost[GPU allocation scorer],cagr,0.06966681926677065,0.06615894053737581,-0.06432615549838293,0.2147543605917236,50,50,0.95
XGBoost[GPU allocation scorer],annualized_volatility,0.19113382336253984,0.18308367560866373,0.13919052195414275,0.23456893059911238,50,50,0.95
XGBoost[GPU allocation scorer],sharpe,0.4459970973235535,0.4726482110781668,-0.2561736083455225,1.107680833867534,50,50,0.95
XGBoost[GPU allocation scorer] | inverse-vol capped top-k,mean_monthly_return,0.007196436716696688,0.006235515045994574,-0.009228597880327288,0.015065867809054832,50,50,0.95
XGBoost[GPU allocation scorer] | inverse-vol capped top-k,cagr,0.07174948778739343,0.05693818150672203,-0.1191180888681269,0.17668708962814103,50,50,0.95
XGBoost[GPU allocation scorer] | inverse-vol capped top-k,annualized_volatility,0.18666754975923106,0.17574693706922778,0.14253726102273548,0.21349668778813877,50,50,0.95
XGBoost[GPU allocation scorer] | inverse-vol capped top-k,sharpe,0.4626258860297153,0.41734839775979193,-0.6417727202339762,1.0291334969074355,50,50,0.95
XGBoost[GPU allocation scorer] Calibrated,mean_monthly_return,0.010055661972951617,0.009767921387492,-0.0016211096817813561,0.020130192930531723,50,50,0.95
XGBoost[GPU allocation scorer] Calibrated,cagr,0.10778094677757166,0.10224938459365862,-0.033044200834584064,0.24561333053898096,50,50,0.95
XGBoost[GPU allocation scorer] Calibrated,annualized_volatility,0.1917607950270643,0.19142533922982624,0.1458932862789844,0.24956158702755746,50,50,0.95
XGBoost[GPU allocation scorer] Calibrated,sharpe,0.6292628462370989,0.5835021623992644,-0.13733467394600127,1.238378630170882,50,50,0.95
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,mean_monthly_return,0.009841288441494594,0.009096832486882988,-0.002056723916187973,0.022810783143657344,50,50,0.95
XGBoost[GPU allocation scorer] Calibrated | inverse-vol capped top-k,cagr,0.1059051726320499,0.09868727402684208,-0.03906339331824521,0.2888427089057635,50,50,0.95
