month,asset,weight,Strategy
2023-02,EFA,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2023-03,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2023-04,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2023-05,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2023-06,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2023-07,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2023-08,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2023-09,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2023-10,EFA,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2023-11,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2023-12,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2024-01,EFA,0.3303268680310276,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2024-02,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2024-03,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2024-04,EFA,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2024-05,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2024-06,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2024-07,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2024-08,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2024-09,EFA,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2024-10,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2024-11,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2024-12,EFA,0.35000000000000003,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2025-01,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2025-02,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2025-03,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2025-04,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2025-05,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2025-06,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2025-07,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2025-08,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2025-09,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2025-10,EFA,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2025-11,EFA,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2025-12,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2026-01,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2026-02,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2026-03,EFA,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-01,GLD,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-02,GLD,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-03,GLD,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-04,GLD,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-05,GLD,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-06,GLD,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-07,GLD,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-08,GLD,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-09,GLD,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-10,GLD,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-11,GLD,0.340874751627565,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2020-12,GLD,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2021-01,GLD,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2021-02,GLD,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2021-03,GLD,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2021-04,GLD,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2021-05,GLD,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2021-06,GLD,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2021-07,GLD,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2021-08,GLD,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2021-09,GLD,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2021-10,GLD,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2021-11,GLD,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2021-12,GLD,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2022-01,GLD,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2022-02,GLD,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2022-03,GLD,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2022-04,GLD,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2022-05,GLD,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2022-06,GLD,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2022-07,GLD,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2022-08,GLD,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2022-09,GLD,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2022-10,GLD,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2022-11,GLD,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2022-12,GLD,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2023-01,GLD,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2023-02,GLD,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2023-03,GLD,0.35,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2023-04,GLD,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
2023-05,GLD,0.0,XGBoost[GPU allocation scorer] Calibration Base | inverse-vol capped top-k
