stage,device_index,device_name,allocated_mb,reserved_mb,max_allocated_mb,free_mb,total_mb
after_ObjectiveSpecific[top_k_next_3m][XGBoost light]_prediction,1,Tesla T4,9.931640625,22.0,1760.22900390625,14757.8125,14912.6875
after_ObjectiveSpecific[top_k_next_3m][XGBoost light] Calibration Base_calibration,0,Tesla T4,9.125,22.0,1425.10791015625,14753.8125,14912.6875
after_ObjectiveSpecific[top_k_next_3m][XGBoost light] Calibration Base_calibration,1,Tesla T4,9.931640625,22.0,1760.22900390625,14757.8125,14912.6875
after_ObjectiveSpecific[top_k_next_3m][XGBoost searched]_prediction,0,Tesla T4,9.125,22.0,1425.10791015625,14753.8125,14912.6875
after_ObjectiveSpecific[top_k_next_3m][XGBoost searched]_prediction,1,Tesla T4,9.931640625,22.0,1760.22900390625,14757.8125,14912.6875
after_ObjectiveSpecific[top_k_next_3m][XGBoost searched] Calibration Base_calibration,0,Tesla T4,9.125,22.0,1425.10791015625,14753.8125,14912.6875
after_ObjectiveSpecific[top_k_next_3m][XGBoost searched] Calibration Base_calibration,1,Tesla T4,9.931640625,22.0,1760.22900390625,14757.8125,14912.6875
after_objective_xgboost_search_top_k_next_3m,0,Tesla T4,9.125,22.0,1425.10791015625,14753.8125,14912.6875
after_objective_xgboost_search_top_k_next_3m,1,Tesla T4,9.931640625,22.0,1760.22900390625,14757.8125,14912.6875
after_ObjectiveSpecific[top_k_next_3m][TabPFN direct]_prediction,0,Tesla T4,9.125,22.0,1425.10791015625,14753.8125,14912.6875
after_ObjectiveSpecific[top_k_next_3m][TabPFN direct]_prediction,1,Tesla T4,9.931640625,22.0,1760.22900390625,14757.8125,14912.6875
after_ObjectiveSpecific[top_k_next_3m][TabPFN direct] Calibration Base_prediction,0,Tesla T4,9.125,22.0,1425.10791015625,14753.8125,14912.6875
after_ObjectiveSpecific[top_k_next_3m][TabPFN direct] Calibration Base_prediction,1,Tesla T4,9.931640625,22.0,1760.22900390625,14757.8125,14912.6875
after_objective_cv_target_top_k_next_6m_fold_1,0,Tesla T4,9.125,22.0,1425.10791015625,14753.8125,14912.6875
after_objective_cv_target_top_k_next_6m_fold_1,1,Tesla T4,9.931640625,22.0,1760.22900390625,14757.8125,14912.6875
after_objective_cv_target_top_k_next_6m_fold_2,0,Tesla T4,9.125,22.0,1425.10791015625,14753.8125,14912.6875
after_objective_cv_target_top_k_next_6m_fold_2,1,Tesla T4,9.931640625,22.0,1760.22900390625,14757.8125,14912.6875
after_ObjectiveSpecific[top_k_next_6m][XGBoost light]_prediction,0,Tesla T4,9.125,22.0,1425.10791015625,14753.8125,14912.6875
after_ObjectiveSpecific[top_k_next_6m][XGBoost light]_prediction,1,Tesla T4,9.931640625,22.0,1760.22900390625,14757.8125,14912.6875
after_ObjectiveSpecific[top_k_next_6m][XGBoost light] Calibration Base_calibration,0,Tesla T4,9.125,22.0,1425.10791015625,14753.8125,14912.6875
after_ObjectiveSpecific[top_k_next_6m][XGBoost light] Calibration Base_calibration,1,Tesla T4,9.931640625,22.0,1760.22900390625,14757.8125,14912.6875
after_ObjectiveSpecific[top_k_next_6m][XGBoost searched]_prediction,0,Tesla T4,9.125,22.0,1425.10791015625,14753.8125,14912.6875
after_ObjectiveSpecific[top_k_next_6m][XGBoost searched]_prediction,1,Tesla T4,9.931640625,22.0,1760.22900390625,14757.8125,14912.6875
after_ObjectiveSpecific[top_k_next_6m][XGBoost searched] Calibration Base_calibration,0,Tesla T4,9.125,22.0,1425.10791015625,14753.8125,14912.6875
after_ObjectiveSpecific[top_k_next_6m][XGBoost searched] Calibration Base_calibration,1,Tesla T4,9.931640625,22.0,1760.22900390625,14757.8125,14912.6875
after_objective_xgboost_search_top_k_next_6m,0,Tesla T4,9.125,22.0,1425.10791015625,14753.8125,14912.6875
after_objective_xgboost_search_top_k_next_6m,1,Tesla T4,9.931640625,22.0,1760.22900390625,14757.8125,14912.6875
after_ObjectiveSpecific[top_k_next_6m][TabPFN direct]_prediction,0,Tesla T4,9.125,22.0,1425.10791015625,14753.8125,14912.6875
after_ObjectiveSpecific[top_k_next_6m][TabPFN direct]_prediction,1,Tesla T4,9.931640625,22.0,1760.22900390625,14757.8125,14912.6875
after_ObjectiveSpecific[top_k_next_6m][TabPFN direct] Calibration Base_prediction,0,Tesla T4,9.125,22.0,1425.10791015625,14753.8125,14912.6875
after_ObjectiveSpecific[top_k_next_6m][TabPFN direct] Calibration Base_prediction,1,Tesla T4,9.931640625,22.0,1760.22900390625,14757.8125,14912.6875
after_portfolio_bootstrap,0,Tesla T4,9.125,22.0,1425.10791015625,14753.8125,14912.6875
after_portfolio_bootstrap,1,Tesla T4,9.931640625,22.0,1760.22900390625,14757.8125,14912.6875
after_row_bootstrap,0,Tesla T4,9.125,22.0,1425.10791015625,14753.8125,14912.6875
after_row_bootstrap,1,Tesla T4,9.931640625,22.0,1760.22900390625,14757.8125,14912.6875
after_feature_drift,0,Tesla T4,9.125,22.0,1425.10791015625,14753.8125,14912.6875
after_feature_drift,1,Tesla T4,9.931640625,22.0,1760.22900390625,14757.8125,14912.6875
