month,benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][TabPFN direct],benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][TabPFN direct] Calibration Base,benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost light],benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost light] Calibrated,benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost light] Calibration Base,benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost searched],benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost searched] Calibrated,benchmark_outperform_1m | ObjectiveSpecific[benchmark_outperform_1m][XGBoost searched] Calibration Base
2021-07,0.007262256416636248,0.007262256416636248,-0.02408074112804596,-0.0221144893217479,-0.0221144893217479,-0.02408074112804596,-0.015564915675437791,-0.015564915675437791
2021-08,0.010693585616411353,0.010693585616411353,0.011074362694105961,0.015109790015152816,0.015109790015152816,0.009083953924203431,0.0470279656993503,0.0470279656993503
2021-09,-0.002169707446177283,0.007438215400992283,-0.002169707446177283,-0.015774408924497624,-0.015774408924497624,-0.002169707446177283,-0.002169707446177283,-0.002169707446177283
2021-10,-0.017350001548203986,-0.01424570047881361,-0.020350110454779708,-0.000962945591662618,-0.000962945591662618,-0.020350110454779708,-0.020487838322915525,-0.020487838322915525
2021-11,-0.02473567743110368,-0.02473567743110368,-0.021770827729788923,-0.01757112465939333,-0.01757112465939333,-0.021770827729788923,-0.021770827729788923,-0.021770827729788923
2021-12,-0.009932963452192228,0.0516894680657263,0.015391827127690863,0.027698451957161547,0.027698451957161547,0.08020062971634663,0.006847384582914376,0.006847384582914376
2022-01,0.011087995326642211,0.011087995326642211,-0.0012136403674721796,0.03659572604444983,0.03659572604444983,0.021204706631302656,0.03893766178300843,0.03893766178300843
2022-02,-0.0168213784758305,0.005534198291125003,-0.06759516891230458,-0.08667526592807202,-0.08667526592807202,-0.04568873680482314,-0.08667526592807202,-0.08667526592807202
2022-03,-0.023130306053821527,0.0034477254884466672,0.038960517485406514,0.060089451794441875,0.060089451794441875,-0.00037526403341447967,0.032890479591330325,0.032890479591330325
2022-04,-0.0007414209424301639,0.0531721768002991,-0.009326331020338936,-0.00949979791903936,-0.00949979791903936,-0.010255756263224464,-0.010255756263224464,-0.010255756263224464
2022-05,-0.01059794456974228,-0.01059794456974228,0.01598273870632616,0.04668339704521333,0.04668339704521333,0.01598273870632616,0.02323147957877684,0.02323147957877684
